467.7111,105.25603,2488.233	476.7264,153.88826,2452.0366	436.97485,159.76854,2467.095	396.37384,111.261826,2337.9612	476.7264,153.88826,2452.0366	516.96924,147.9353,2436.9783	585.33655,176.90884,2330.2808	485.66547,207.43665,2419.8691	468.57123,265.867,2397.3464	457.3665,379.84232,2273.969	521.3326,258.9608,2378.057	426.51263,473.87234,2396.5823	516.50256,366.47864,2455.8716	468.57123,265.867,2397.3464	513.53534,474.35345,2426.1636	518.5296,217.58817,2377.183	467.39673,72.483734,2180.888	
466.36652,104.052,2485.1458	475.5962,152.92117,2449.5288	435.89755,159.04944,2462.708	394.5563,106.022644,2367.484	475.5962,152.92117,2449.5288	515.72437,146.7266,2436.3496	583.1788,175.8776,2340.0845	485.00397,206.47458,2417.8708	468.44727,265.10272,2394.6533	455.47693,378.9364,2274.1028	521.06146,257.76926,2377.7725	426.16235,473.03735,2398.6665	514.28845,365.87457,2449.451	468.44727,265.10272,2394.6533	512.0884,473.09564,2431.5916	518.24,217.61636,2372.99	454.1124,53.36203,2197.992	
464.93555,103.73862,2487.0896	474.62952,152.28409,2447.6528	434.9651,158.5434,2459.4636	390.48163,103.15164,2397.87	474.62952,152.28409,2447.6528	514.6786,145.9641,2435.842	581.1448,173.89883,2372.0522	484.42398,205.73523,2413.8455	468.26587,264.4908,2387.6023	453.9673,378.5742,2285.579	520.89484,256.89474,2372.4739	424.80304,475.3696,2388.6926	512.2813,365.76724,2437.677	468.26587,264.4908,2387.6023	512.6234,471.67728,2439.0828	527.1258,212.80373,2374.505	432.29153,37.921143,2226.1313	
463.74683,101.09143,2493.5518	473.60126,148.79007,2448.4968	433.9768,154.9158,2459.0076	391.2553,102.625565,2426.6045	473.60126,148.79007,2448.4968	513.5674,142.61151,2437.986	574.4533,176.31293,2424.5337	483.46265,202.00058,2411.0552	467.3606,260.6372,2380.3455	449.72852,374.24957,2301.1655	520.0592,253.12103,2366.8816	423.25827,471.98993,2398.4155	509.33862,362.42853,2430.0872	467.3606,260.6372,2380.3455	512.31494,468.2162,2436.3	532.52966,207.87357,2371.916	407.94785,29.94255,2272.5688	
463.0743,98.23105,2488.303	472.22943,146.22824,2446.0935	432.47232,152.02899,2458.0842	390.06125,100.72966,2450.3345	472.22943,146.22824,2446.0935	512.3783,140.37033,2434.1028	571.33295,177.57161,2458.7734	481.458,199.52902,2408.518	464.6013,258.0094,2378.6233	443.83664,370.66296,2325.5657	517.5283,251.00644,2363.262	421.7798,472.68127,2387.0332	506.4389,360.40277,2428.187	464.6013,258.0094,2378.6233	509.30176,466.75897,2430.273	534.05164,204.9095,2378.7214	387.3361,26.142914,2325.1443	
461.96558,96.97472,2485.6768	470.5598,145.24637,2443.573	430.65704,150.82288,2458.3103	388.26892,99.66637,2467.0403	470.5598,145.24637,2443.573	510.94678,139.60217,2428.8357	564.553,181.16595,2527.8965	479.12164,198.7178,2407.0703	461.4756,257.0951,2380.0083	439.4721,369.21164,2341.6992	514.63043,250.55084,2361.127	422.6434,472.68323,2392.9724	503.93042,361.07556,2412.2744	461.4756,257.0951,2380.0083	508.4002,466.55554,2428.7278	533.68695,204.1654,2386.4307	371.01178,26.892914,2379.781	
461.27567,96.37012,2483.8657	469.44104,144.38635,2440.867	429.4046,149.73438,2458.1519	372.69138,90.47897,2468.0247	469.44104,144.38635,2440.867	510.04852,138.96207,2423.582	568.48663,180.72665,2459.8955	477.43152,197.92767,2403.5667	459.0809,256.19257,2377.3384	437.25992,368.22754,2350.7817	512.517,250.09283,2355.1943	423.3983,472.46997,2396.45	502.48538,362.03125,2389.7288	459.0809,256.19257,2377.3384	509.10364,466.02008,2425.7703	520.44727,210.55426,2398.5103	350.01636,22.341248,2437.9097	
461.1057,96.101776,2483.5112	468.00208,143.90234,2439.4448	427.8,148.52197,2461.28	370.94836,89.4359,2485.5803	468.00208,143.90234,2439.4448	508.93036,139.19928,2417.6096	570.54675,180.44382,2428.8123	474.46692,197.5923,2402.268	454.4038,255.39143,2379.0845	432.99133,366.72195,2371.6267	508.18433,250.52003,2351.0981	420.29184,471.80408,2403.4644	497.69614,363.38272,2373.0063	454.4038,255.39143,2379.0845	506.8225,465.24567,2428.849	515.182,215.08264,2402.7668	335.2761,27.820633,2485.0227	
461.10095,96.52544,2483.8218	466.99808,144.25148,2438.8843	426.70932,148.52625,2465.4248	366.76962,90.480576,2510.8354	466.99808,144.25148,2438.8843	508.17337,139.88263,2412.3438	571.04047,182.58737,2419.3218	472.51562,197.92921,2399.958	451.37726,255.4358,2378.0337	431.98328,366.91486,2378.1553	505.44232,251.28818,2344.0298	421.47562,472.39807,2406.0615	496.5298,365.28265,2353.8777	451.37726,255.4358,2378.0337	508.09155,465.26532,2426.31	512.30774,218.21997,2399.8325	320.49896,39.769897,2557.3657	
460.70538,97.2641,2484.537	464.76663,145.10034,2439.7163	424.45862,148.52365,2472.1052	364.49457,94.4274,2529.5156	464.76663,145.10034,2439.7163	506.15927,141.58493,2407.3274	568.49634,182.76117,2410.1968	468.42126,198.80681,2400.4219	445.32123,255.62625,2381.8853	425.41315,365.9101,2400.011	499.5507,252.95193,2340.3696	418.99017,472.6541,2408.2341	491.8169,367.39673,2347.216	445.32123,255.62625,2381.8853	505.07043,466.8985,2423.45	510.1615,222.72263,2397.21	310.06863,55.154434,2612.7214	
