405.08133,147.0111,2602.099	413.4638,201.28091,2591.2488	391.94418,205.11853,2698.9995	384.1662,252.634,2775.7073	413.4638,201.28091,2591.2488	436.85074,197.11029,2483.498	460.93628,250.49612,2430.47	419.54318,242.91245,2594.1235	410.81403,284.7996,2668.631	411.1268,368.64832,2694.7146	441.2435,284.08432,2525.3655	429.4309,441.30783,2730.2734	431.38922,373.60486,2436.2476	410.81403,284.7996,2668.631	437.41583,460.42053,2455.2324	446.21933,310.66522,2373.8347	373.42905,314.57233,2632.8826	
401.561,146.57253,2588.9753	412.6974,201.17471,2575.5012	389.45615,204.38092,2685.7405	381.45236,252.56516,2761.04	412.6974,201.17471,2575.5012	438.01715,197.68178,2465.262	461.23096,250.56508,2430.098	418.15417,242.9713,2584.0068	408.42764,284.35696,2662.394	408.70364,366.22137,2705.112	439.56192,284.63788,2522.6309	428.73795,440.0338,2738.1821	429.1142,374.80405,2435.278	408.42764,284.35696,2662.394	434.7463,463.21783,2450.4966	446.15396,313.49054,2357.3643	370.6638,314.83054,2619.4893	
399.69672,145.69019,2583.9219	411.85883,200.76427,2563.096	389.49725,203.48817,2681.4412	379.0941,252.28511,2750.154	411.85883,200.76427,2563.096	436.38538,197.77664,2444.7507	459.0703,250.33247,2409.4263	416.43903,242.78572,2571.491	406.52686,283.91537,2654.3113	407.27118,366.29904,2702.2607	436.31122,285.18875,2505.4607	426.12894,439.47174,2744.5498	428.69943,375.48242,2440.897	406.52686,283.91537,2654.3113	435.22382,464.01517,2454.4055	445.018,315.20172,2346.837	368.59793,315.22162,2603.8289	
398.4751,145.18785,2581.9875	410.7808,200.37807,2551.707	388.53232,202.66992,2669.9656	377.9303,252.4878,2744.9285	410.7808,200.37807,2551.707	435.1917,197.86343,2433.4485	457.32187,250.78412,2398.8638	414.41415,242.75592,2560.2627	403.39246,283.91174,2644.7573	401.40778,367.47433,2677.281	433.54553,285.8485,2492.8794	424.13184,438.88916,2751.5723	426.8308,377.63864,2435.0046	403.39246,283.91174,2644.7573	435.31424,464.51193,2454.6436	444.4485,319.08786,2334.9429	366.0613,320.53906,2589.5007	
397.31818,144.64355,2555.0408	409.20697,200.39966,2540.6414	386.65976,202.81734,2659.923	375.78027,253.5271,2730.789	409.20697,200.39966,2540.6414	433.97568,197.74377,2421.3596	456.2478,250.11847,2391.0032	411.6613,243.7417,2544.0557	399.22095,286.00995,2624.431	399.76514,368.91965,2665.323	429.92462,287.9848,2470.509	423.7163,437.3618,2759.9592	422.63074,380.39386,2416.3647	399.22095,286.00995,2624.431	432.26135,467.3111,2441.1362	445.46164,317.97418,2301.157	363.16254,315.29462,2584.7798	
395.29376,143.88666,2542.4524	407.44202,199.81462,2530.5615	385.88583,202.14651,2657.5679	374.88373,250.35349,2712.1653	407.44202,199.81462,2530.5615	431.2763,197.23628,2403.5552	452.86884,249.14838,2372.3274	409.61624,243.46883,2534.0718	397.58624,285.80524,2619.2434	398.96896,369.9899,2662.57	426.92685,288.27887,2455.9207	422.83798,438.33282,2756.2625	420.51996,381.37183,2410.3662	397.58624,285.80524,2619.2434	431.7192,467.60327,2442.0933	443.52713,317.64355,2294.6287	361.80505,313.5881,2575.9934	
394.1004,143.07301,2534.6414	405.12354,199.21416,2522.9353	384.2771,201.81223,2655.8328	374.5209,249.45094,2695.3862	405.12354,199.21416,2522.9353	428.28827,196.32718,2390.0378	449.4647,248.21991,2356.907	407.0683,243.21362,2524.225	395.7079,286.02808,2608.027	397.78613,370.31577,2661.574	423.2129,288.3852,2443.0027	421.76123,439.3168,2747.5176	419.7055,382.2237,2404.6982	395.7079,286.02808,2608.027	431.79764,467.46558,2440.1846	441.49353,316.65524,2276.7268	356.85074,312.26273,2574.0764	
392.92703,142.3563,2525.6296	402.91364,198.58331,2515.9893	381.58502,201.54926,2649.3872	374.19525,250.6734,2694.1365	402.91364,198.58331,2515.9893	426.63058,195.28525,2382.5913	447.1675,248.71361,2324.8933	405.24936,242.66101,2516.196	394.09628,285.8105,2598.2336	395.8858,370.8045,2661.1619	421.9798,287.71436,2434.572	420.65372,441.49832,2727.8147	419.24664,382.8457,2396.342	394.09628,285.8105,2598.2336	431.4352,467.16437,2440.1526	438.97296,317.55228,2265.7651	360.53006,312.42667,2572.836	
391.99738,141.70398,2519.3064	400.69482,198.83522,2505.7495	379.39005,201.73969,2636.2444	373.97437,251.46175,2701.481	400.69482,198.83522,2505.7495	424.34058,195.6116,2375.2546	444.19354,250.68938,2313.1272	403.30905,242.59863,2506.9744	392.15057,285.40866,2590.072	393.75775,370.92065,2660.2195	420.62018,287.29138,2426.3264	413.92148,452.93024,2577.8323	418.731,383.49054,2390.5999	392.15057,285.40866,2590.072	428.97186,467.8916,2441.5205	434.24765,318.00052,2246.76	357.78088,310.13864,2586.7136	
390.8775,141.36716,2517.8252	398.1187,198.30957,2499.7876	377.5958,201.20474,2629.3496	372.62833,251.27017,2696.0076	398.1187,198.30957,2499.7876	420.8853,195.0979,2370.2256	443.04272,250.59494,2307.6	401.21558,242.1197,2502.2563	390.65878,284.91425,2588.2961	392.4917,371.3421,2661.024	418.89612,286.83685,2421.154	413.51013,457.03232,2541.0579	416.5638,385.15,2380.8489	390.65878,284.91425,2588.2961	426.87088,468.11133,2443.23	429.65173,316.014,2236.6584	355.7933,313.99356,2585.327	
389.78296,141.09322,2514.0557	396.74512,197.64523,2495.233	376.6567,200.48085,2625.3223	371.29248,251.31679,2690.2305	396.74512,197.64523,2495.233	419.04333,194.49768,2365.1436	440.62317,250.73906,2293.411	399.92447,241.68576,2498.4204	389.54462,284.6023,2586.7397	390.89102,371.39685,2659.6755	417.60168,286.69714,2416.476	403.67728,454.48065,2516.9536	412.3898,385.4655,2380.763	389.54462,284.6023,2586.7397	422.03622,469.23175,2451.2122	427.46957,314.59274,2225.5295	354.468,312.2762,2588.848	
386.4524,140.46957,2513.3704	395.11426,195.9437,2479.5146	375.6419,198.00381,2603.5051	371.18137,251.1641,2686.5898	395.11426,195.9437,2479.5146	416.63654,193.66669,2355.5242	435.43408,251.62947,2278.0293	398.41943,240.91383,2488.763	388.20715,284.0457,2581.8633	377.69913,370.46246,2636.6914	416.13046,287.1609,2414.1592	393.86758,454.08588,2513.6716	412.59406,385.12354,2378.0835	388.20715,284.0457,2581.8633	420.41858,466.6337,2440.827	415.41693,315.44482,2222.9734	352.36316,315.61526,2582.5776	
