201.26886,147.86041,2137.9888	216.66379,201.92882,2177.6306	180.96448,210.49712,2221.468	164.36198,274.2513,2256.9353	216.66379,201.92882,2177.6306	253.82996,193.00847,2133.7932	265.76633,266.086,2083.1165	232.11923,253.96545,2216.1855	225.14175,308.17487,2281.9138	212.44835,409.23505,2317.1497	269.4849,300.1737,2227.5671	204.17036,511.6461,2287.9866	259.2664,406.0854,2242.5652	225.14175,308.17487,2281.9138	263.64,512.55817,2208.0972	240.48251,345.6043,2082.4136	173.57285,352.25427,2207.7854	
200.41852,147.8438,2139.1123	216.29486,201.48462,2177.927	180.75395,210.60858,2221.9612	164.39137,274.62592,2255.4702	216.29486,201.48462,2177.927	253.30257,191.9841,2133.8928	265.04083,265.8591,2086.0618	232.44728,253.36237,2215.8193	226.21332,307.78473,2281.0105	213.36386,408.7453,2317.7415	270.43542,299.10135,2226.4128	205.46832,510.61496,2293.6929	260.4945,405.0838,2241.8005	226.21332,307.78473,2281.0105	263.1906,510.29996,2219.8513	240.72534,345.6529,2082.7034	173.57803,352.2556,2206.31	
201.02977,147.77158,2139.1775	217.18503,201.31433,2176.5696	181.68323,210.88365,2220.4558	164.163,274.52698,2256.7468	217.18503,201.31433,2176.5696	254.14795,191.35117,2132.6833	264.92862,266.03375,2086.5332	233.73422,253.19055,2212.6875	227.89166,307.9675,2276.011	213.67722,408.3438,2318.487	272.1474,298.72144,2221.5999	206.49951,511.42285,2282.2292	261.19766,404.98322,2235.2922	227.89166,307.9675,2276.011	264.20956,509.97693,2218.4448	240.43481,345.54437,2083.6545	174.22261,352.27167,2204.9763	
200.68286,147.24936,2139.2012	216.40958,201.06488,2176.8625	180.81589,210.30305,2220.506	164.88333,275.22443,2258.3696	216.40958,201.06488,2176.8625	253.45969,191.44868,2133.219	264.32452,265.84775,2086.765	232.54965,253.03807,2213.5127	226.27148,307.68756,2277.2178	210.8411,407.27933,2324.6482	270.58926,298.84253,2223.108	202.55893,510.12057,2287.4312	257.36987,403.93652,2245.6455	226.27148,307.68756,2277.2178	261.93958,509.4754,2217.9875	240.55898,345.96637,2081.1506	173.92154,352.2787,2205.5688	
200.04471,147.2751,2139.7146	215.87662,201.07175,2177.584	180.54404,210.19775,2223.1067	168.7561,275.01785,2262.1897	215.87662,201.07175,2177.584	252.71799,191.55603,2132.0613	263.9215,266.0115,2088.3801	231.981,253.05334,2213.977	225.80121,307.60666,2278.5916	212.45001,407.71063,2323.742	269.8806,298.99258,2222.1487	203.3385,510.77704,2284.261	257.99982,404.01938,2247.9236	225.80121,307.60666,2278.5916	263.50803,510.16754,2212.6995	240.58328,346.26285,2080.5012	173.7461,352.27173,2206.2432	
199.6682,146.94022,2139.4702	215.68733,200.80565,2177.0637	180.22693,209.9723,2221.671	168.77934,274.5345,2264.0872	215.68733,200.80565,2177.0637	252.63129,191.2555,2132.4565	264.08212,266.39255,2087.1997	231.76259,252.82166,2213.316	225.4901,307.46204,2277.2197	211.69766,407.71646,2321.107	269.6927,298.75323,2221.9165	204.54526,510.64893,2285.4014	259.29956,403.80814,2249.4265	225.4901,307.46204,2277.2197	262.8624,510.45972,2209.3733	240.20056,346.06168,2085.0032	173.59737,352.2354,2207.1252	
199.87308,147.56442,2139.8557	216.04059,201.31631,2177.0356	180.53642,210.74817,2220.9353	168.30275,275.6202,2261.5486	216.04059,201.31631,2177.0356	253.0061,191.49626,2133.136	264.68576,266.5948,2085.6099	232.34538,253.29456,2212.416	226.26636,308.12054,2275.0107	211.9616,407.84528,2323.8833	270.54352,299.0426,2220.582	206.31767,511.25348,2282.582	259.70413,404.11804,2248.173	226.26636,308.12054,2275.0107	264.74973,510.78592,2208.0254	240.33228,346.3462,2084.4978	173.55235,352.2222,2208.4304	
200.17175,147.8805,2139.5486	216.48648,201.67429,2176.1846	180.9319,211.40753,2219.3594	166.36708,276.5861,2257.783	216.48648,201.67429,2176.1846	253.48044,191.54703,2133.0098	265.1531,266.54507,2085.8125	233.00156,253.66626,2210.0515	227.0916,308.7791,2270.6836	212.91306,408.6908,2319.769	271.474,299.28525,2217.1533	205.18057,512.38806,2276.52	259.9053,404.37183,2245.5322	227.0916,308.7791,2270.6836	264.92755,511.0183,2207.2039	240.01001,346.2508,2083.3547	173.54039,352.22064,2206.879	
199.8222,147.39224,2139.897	216.16379,201.09975,2175.841	180.63478,211.0159,2218.9065	166.9156,276.21268,2253.8962	216.16379,201.09975,2175.841	253.12762,190.78313,2132.7756	263.98773,266.93982,2085.4158	232.8808,253.06467,2209.4053	227.17804,308.27982,2269.666	211.92099,407.51422,2323.6304	271.545,298.55313,2216.273	204.35269,510.77264,2283.2122	258.33817,403.05493,2249.0488	227.17804,308.27982,2269.666	264.80258,509.4287,2210.5413	240.29755,346.44394,2083.7493	173.55489,352.22888,2206.141	
199.98636,147.59431,2140.5706	215.96774,201.36514,2176.149	180.45024,211.12811,2219.4985	166.1827,275.6026,2253.9583	215.96774,201.36514,2176.149	252.92902,191.20529,2132.7993	263.84088,267.27274,2085.7134	232.44534,253.41112,2209.1453	226.51605,308.6307,2269.0146	211.83197,408.23648,2320.7603	270.89172,299.1056,2215.2686	203.18338,510.9429,2286.611	257.92145,403.81985,2246.6855	226.51605,308.6307,2269.0146	263.58716,509.82974,2213.757	240.4216,346.58667,2083.308	173.54247,352.23712,2207.1052	
