245.96063,136.44333,2466.5386	243.5248,185.03642,2439.305	206.57942,183.66743,2441.9612	189.93921,243.94705,2475.737	243.5248,185.03642,2439.305	280.55072,186.40839,2436.6487	298.7484,247.84634,2411.6746	240.48499,235.19531,2409.185	213.4433,285.66602,2380.7424	208.3247,387.484,2409.1536	261.32687,287.5839,2377.388	196.03009,483.30472,2428.3323	281.779,390.5948,2361.653	213.4433,285.66602,2380.7424	318.22647,486.45248,2342.5647	319.2442,312.36542,2243.5632	154.2293,304.8401,2322.1174	
246.81842,136.56456,2467.8333	243.87407,185.0376,2439.6929	206.94022,183.43857,2442.27	190.3191,243.83345,2475.8677	243.87407,185.0376,2439.6929	280.88605,186.64003,2437.1157	299.1989,247.87428,2408.3384	240.51526,235.16013,2409.1826	213.14523,285.46298,2380.2998	207.55693,386.99316,2412.172	261.02805,287.6754,2377.045	196.58835,483.22046,2428.538	281.3898,390.55963,2364.3699	213.14523,285.46298,2380.2998	318.69366,485.89163,2345.9956	319.142,312.63916,2244.7183	154.33751,304.7606,2322.595	
246.63708,135.66985,2465.9788	243.68881,184.4241,2439.6262	206.77577,182.93553,2442.717	190.33931,243.77916,2474.9316	243.68881,184.4241,2439.6262	280.69553,185.91644,2436.5354	299.2103,248.23563,2409.6648	240.46283,234.57053,2409.8003	213.25745,284.92667,2381.926	208.16574,386.15305,2417.1755	261.0937,287.0227,2378.0227	196.75543,483.68787,2419.3083	282.05682,389.7034,2365.9773	213.25745,284.92667,2381.926	319.5398,485.2959,2343.101	319.04272,312.83624,2244.0862	154.40927,304.82516,2321.08	
246.84634,135.48575,2465.5542	243.78552,184.37933,2438.969	206.84561,182.74649,2441.6128	189.8431,242.94016,2471.4631	243.78552,184.37933,2438.969	280.8056,186.01572,2436.3252	298.74753,247.57796,2411.3315	240.40608,234.54085,2409.4019	213.03271,284.8205,2381.5042	207.81683,385.9327,2418.3	260.8862,287.07867,2378.1653	196.01025,483.90692,2415.787	281.4473,389.6754,2369.0696	213.03271,284.8205,2381.5042	318.89285,485.5443,2341.561	318.96942,312.65417,2249.3633	154.36374,304.82916,2326.336	
247.09544,135.37512,2465.3438	243.9812,184.29346,2439.6355	207.15222,182.67699,2444.1677	189.06529,243.1025,2470.7356	243.9812,184.29346,2439.6355	280.94727,185.91595,2435.1033	298.30957,246.88062,2415.6667	240.49944,234.45175,2410.5671	213.10036,284.6662,2384.3608	208.14867,385.70862,2420.8271	260.82236,287.0056,2378.6367	195.42789,483.16913,2421.2402	281.99844,389.60263,2366.7422	213.10036,284.6662,2384.3608	318.65643,485.48257,2343.8613	318.84067,312.22186,2258.4973	154.27376,304.92944,2319.8113	
247.14914,135.54233,2465.2385	244.05557,184.52386,2439.7458	207.15659,182.85829,2442.8875	189.58559,243.41066,2474.3674	244.05557,184.52386,2439.7458	281.0497,186.19373,2436.6042	298.08127,246.65509,2416.8352	240.61539,234.68584,2410.7021	213.21782,284.90884,2383.642	208.36829,386.4065,2414.893	261.00458,287.23553,2379.6748	195.4766,482.94336,2425.497	282.5713,389.94843,2362.9727	213.21782,284.90884,2383.642	318.50427,485.58972,2347.5508	319.22754,312.33203,2264.198	154.26602,304.91794,2318.6365	
247.34927,135.4282,2465.184	244.1962,184.46082,2439.9685	207.23727,182.66528,2441.7483	190.03647,243.4522,2473.1812	244.1962,184.46082,2439.9685	281.2091,186.25897,2438.1887	297.71982,246.426,2416.4172	240.68503,234.6154,2410.972	213.1793,284.7815,2383.0994	208.41702,386.55817,2411.26	261.02,287.20184,2380.8513	194.58926,481.81458,2432.741	282.55402,389.9414,2362.7876	213.1793,284.7815,2383.0994	318.271,485.90247,2345.0732	318.9575,311.94873,2265.9297	154.2423,304.90305,2321.0686	
247.40042,136.045,2466.1616	244.23611,184.87311,2440.102	207.30725,183.07697,2442.463	189.89774,243.12666,2470.0957	244.23611,184.87311,2440.102	281.23654,186.67271,2437.7412	298.01532,246.78847,2416.2107	240.6435,234.98907,2410.032	213.04898,285.1447,2381.4526	208.37627,387.11298,2408.123	260.90115,287.59973,2378.4712	194.76733,482.08844,2433.4531	282.32596,390.62085,2357.4204	213.04898,285.1447,2381.4526	318.33105,486.03546,2346.849	318.85257,311.88727,2259.009	154.22458,304.96768,2319.061	
248.01971,135.94958,2466.6523	244.51013,184.85693,2440.5337	207.67374,182.87595,2444.3423	190.23196,243.42949,2469.556	244.51013,184.85693,2440.5337	281.46167,186.8441,2436.725	297.27682,245.52328,2423.1091	240.57404,234.96144,2411.002	212.69682,284.92358,2383.8752	207.4247,386.63608,2412.0452	260.432,287.69644,2379.0652	196.68259,482.3352,2433.0461	281.94443,390.5536,2360.4539	212.69682,284.92358,2383.8752	318.2943,485.80536,2348.8518	320.63406,308.50092,2266.7793	154.2031,305.0887,2319.744	
247.8873,136.5896,2466.3916	244.52084,185.32596,2439.4707	207.73041,183.45253,2444.546	190.43546,243.46577,2467.7812	244.52084,185.32596,2439.4707	281.46466,187.20718,2434.3955	296.6222,246.92488,2421.552	240.61635,235.44469,2409.4497	212.78882,285.47787,2382.6333	207.76457,387.28552,2410.4104	260.5021,288.182,2376.224	197.52835,483.39944,2429.1833	282.3934,391.00488,2359.339	212.78882,285.47787,2382.6333	319.28665,486.56128,2342.905	321.89554,309.37137,2273.7837	154.18951,305.1612,2319.478	
