240.11449,136.01163,2517.12	236.61002,183.26907,2483.589	200.96948,182.46063,2497.0896	180.80386,241.09314,2533.8472	236.61002,183.26907,2483.589	272.6401,184.08635,2470.0886	301.7107,241.53693,2413.3098	233.15538,232.29193,2448.3574	206.41861,281.8697,2421.6504	207.62466,380.8934,2467.0845	252.9455,283.62903,2404.601	191.64601,474.8138,2477.9712	260.7124,385.00146,2425.1152	206.41861,281.8697,2421.6504	266.7001,484.8404,2405.1948	326.99112,295.88416,2270.9167	134.40727,297.37253,2446.6648	
239.52731,135.63232,2515.622	236.38968,183.2302,2482.3867	200.70364,182.57236,2495.5178	180.03978,240.88765,2535.4192	236.38968,183.2302,2482.3867	272.4553,183.89505,2469.2556	301.3125,241.84085,2413.6567	233.19073,232.30272,2447.5361	206.69357,282.02374,2420.9773	208.06253,380.71283,2470.7842	253.2652,283.5674,2404.3938	191.22237,474.2433,2482.913	260.76984,384.6266,2429.666	206.69357,282.02374,2420.9773	267.49536,484.78467,2403.2705	326.9227,295.7328,2269.135	134.22852,297.34988,2446.1365	
239.14624,136.4306,2514.8782	236.29663,183.81558,2481.6987	200.50995,183.26866,2493.4883	180.70885,240.67113,2536.7122	236.29663,183.81558,2481.6987	272.42496,184.36774,2469.9092	301.5765,241.87595,2411.8354	233.35712,232.91249,2446.667	207.05695,282.77316,2419.08	208.31885,382.1146,2461.6772	253.75162,284.10245,2404.1904	190.62068,474.18488,2487.6626	260.98514,385.3653,2426.9407	207.05695,282.77316,2419.08	267.10065,485.35132,2404.576	326.91144,295.7975,2265.336	135.4517,297.6269,2442.1855	
238.86014,136.25577,2514.9924	236.36626,183.8161,2481.8347	200.55084,183.35205,2493.1997	180.22346,240.5631,2534.85	236.36626,183.8161,2481.8347	272.51123,184.28442,2470.4697	301.83865,241.65338,2412.4172	233.61981,232.94902,2447.6104	207.51787,282.87817,2420.5623	208.37259,382.1278,2463.611	254.21191,284.0763,2406.2097	191.59491,474.4084,2489.085	260.34073,385.36182,2428.3428	207.51787,282.87817,2420.5623	267.25824,485.35358,2404.6682	326.96814,295.89456,2268.792	136.11029,297.6031,2438.832	
239.15898,135.66301,2515.0464	236.36682,183.33823,2481.9827	200.56656,182.82593,2493.5403	179.8735,240.61955,2533.9329	236.36682,183.33823,2481.9827	272.50208,183.85533,2470.425	301.61713,241.66512,2412.6948	233.53758,232.46149,2447.811	207.36156,282.3421,2420.9375	207.37271,381.36023,2466.559	254.03604,283.61307,2406.3413	191.58533,474.5371,2484.9795	259.8579,384.63196,2432.401	207.36156,282.3421,2420.9375	266.54272,485.11963,2400.8093	326.99008,295.85,2268.7405	136.44057,297.59528,2437.8071	
239.31775,135.29721,2514.5906	236.24503,182.71811,2482.041	200.42117,182.02365,2493.145	179.09543,240.87671,2534.9622	236.24503,182.71811,2482.041	272.3908,183.41882,2470.937	301.14105,241.54958,2412.3474	233.20212,231.82782,2447.968	206.7948,281.5838,2420.9067	207.26154,380.5929,2466.9854	253.48749,283.06833,2406.8833	190.51666,474.0345,2481.5957	260.39746,384.05215,2432.3418	206.7948,281.5838,2420.9067	265.4092,484.85425,2398.1921	327.00345,295.82568,2268.719	136.62593,297.55298,2436.492	
239.34009,135.2835,2514.854	236.27002,182.68771,2481.2683	200.42073,181.94376,2492.1382	178.53952,241.12086,2532.4856	236.27002,182.68771,2481.2683	272.4348,183.43823,2470.3984	300.43756,241.61002,2413.6833	233.14172,231.78052,2446.4785	206.61533,281.52295,2418.5525	207.2196,380.6197,2464.7966	253.36404,283.06082,2404.825	192.2738,474.7799,2476.4534	261.12427,384.34918,2426.3618	206.61533,281.52295,2418.5525	265.63324,484.66437,2401.2893	326.94498,295.87567,2266.7202	136.7156,297.53525,2436.0012	
239.02429,135.2107,2515.9998	236.27792,182.54907,2481.4827	200.43686,181.88971,2492.4692	178.00275,241.698,2532.7512	236.27792,182.54907,2481.4827	272.43777,183.2143,2470.496	300.8954,241.64114,2411.3467	233.2138,231.60405,2445.87	206.74017,281.3936,2417.195	208.02444,380.47797,2464.3672	253.51279,282.82785,2403.32	191.74031,474.39447,2476.4194	260.77383,384.22784,2424.7607	206.74017,281.3936,2417.195	267.38687,483.0697,2414.729	326.9317,296.19144,2262.7944	135.49329,297.391,2435.4146	
238.76514,134.85532,2508.06	236.17445,182.42935,2477.574	200.22554,181.74615,2487.7383	177.87744,241.5316,2529.374	236.17445,182.42935,2477.574	272.41953,183.11818,2467.4097	300.89252,241.53839,2411.173	233.29796,231.68726,2445.0703	207.0138,281.56384,2418.985	208.6105,380.46716,2467.4702	253.79858,282.9848,2406.1482	191.71317,473.3487,2486.6047	260.25568,383.96844,2432.365	207.0138,281.56384,2418.985	268.2869,483.21884,2413.26	326.9427,296.1189,2264.9546	136.09862,297.57425,2435.4536	
238.74123,135.36841,2511.5688	236.09297,182.86002,2478.845	200.13907,182.2235,2488.658	177.52994,241.79013,2530.692	236.09297,182.86002,2478.845	272.33267,183.50162,2469.032	300.77734,241.48503,2411.5955	233.2699,232.06972,2445.4932	207.01999,281.97092,2418.3376	207.63058,380.9737,2465.6824	253.8378,283.31296,2405.945	191.9449,474.67102,2480.1091	259.82965,384.7743,2425.7896	207.01999,281.97092,2418.3376	267.9933,483.65247,2414.0789	326.91937,295.92953,2266.1213	135.19353,297.3801,2436.569	
239.33406,134.90755,2504.3535	236.328,183.007,2476.1636	200.277,182.06412,2484.8962	177.52376,241.91527,2532.3494	236.328,183.007,2476.1636	272.63416,183.95656,2467.431	300.7165,241.46059,2411.7827	233.3436,232.39185,2446.3745	206.94336,282.15573,2422.1	207.75238,381.0453,2469.0198	253.73465,283.83658,2411.0708	191.13997,474.2135,2485.615	259.6168,385.19122,2429.5034	206.94336,282.15573,2422.1	267.77606,483.6682,2420.7808	326.89557,295.7924,2266.702	135.93893,297.60675,2432.119	
238.93506,135.12201,2509.2417	236.11078,182.84303,2477.5854	200.00014,182.12752,2485.0757	177.58624,242.10031,2528.188	236.11078,182.84303,2477.5854	272.44043,183.5629,2470.0952	299.9799,241.20575,2412.3906	233.39906,232.09833,2444.8652	207.1781,282.0299,2416.875	207.26363,381.61063,2457.712	254.14153,283.35245,2407.415	192.11253,475.0882,2477.6555	260.94873,385.1681,2420.3853	207.1781,282.0299,2416.875	267.59753,484.53378,2407.431	326.87347,295.80148,2268.009	135.10094,297.42792,2429.7058	
238.7799,135.27945,2511.6875	235.88051,182.60031,2478.4177	199.802,181.87845,2486.2502	177.61475,241.8487,2526.0994	235.88051,182.60031,2478.4177	272.1878,183.32677,2470.5852	299.8604,240.84146,2414.1992	233.05905,231.77742,2444.1987	206.71516,281.6775,2414.9255	206.81369,381.21542,2457.4067	253.69618,283.02737,2405.034	191.42432,472.74628,2492.9485	260.57977,384.73907,2421.1433	206.71516,281.6775,2414.9255	265.98,484.49423,2404.5046	326.85678,295.55206,2270.4644	135.87314,297.65964,2433.2588	
239.12863,134.86484,2513.9087	236.0462,182.20746,2479.1104	200.0223,181.4074,2487.6536	177.5433,241.83603,2525.5547	236.0462,182.20746,2479.1104	272.31927,183.01306,2470.5671	300.2573,240.66055,2412.6033	233.00555,231.31412,2443.7754	206.4464,281.11835,2413.835	207.35953,380.7447,2456.037	253.41016,282.6084,2403.046	191.64462,471.41394,2498.701	260.4729,384.31323,2420.4575	206.4464,281.11835,2413.835	265.9241,484.09854,2403.8845	326.84576,295.49112,2268.95	135.10103,297.1444,2432.8035	
