377.149,106.01465,2108.446	376.68652,159.46228,2056.3132	329.53256,160.07295,2075.0063	312.50885,234.46538,2077.4155	376.68652,159.46228,2056.3132	424.70563,158.8404,2037.62	443.37595,234.31439,2019.3099	376.3843,217.51318,2013.8362	347.33664,277.78677,1982.2416	344.6016,393.2978,2062.3855	405.12048,278.3478,1960.4767	329.14505,504.62338,2078.2615	425.59485,396.95312,2007.7814	347.33664,277.78677,1982.2416	0.0,0.0,0.0	448.088,313.37228,1940.5225	307.9284,311.6696,2009.6011	
376.66748,106.67679,2105.6807	376.3756,160.04587,2055.544	329.16943,160.43626,2072.637	312.4978,233.99973,2073.995	376.3756,160.04587,2055.544	424.37347,159.64891,2038.451	442.63068,233.32454,2017.0929	375.98816,218.23235,2014.5505	346.87082,278.47757,1983.5084	343.30328,395.08203,2053.7197	404.58948,279.19815,1963.6058	329.5134,506.0171,2077.0623	425.67917,398.86987,1999.0557	346.87082,278.47757,1983.5084	0.0,0.0,0.0	447.54868,311.70642,1926.3739	307.8125,311.0907,2000.6682	
377.037,107.29559,2106.315	376.45892,160.51315,2055.2134	329.24405,160.83289,2072.324	312.44583,234.22765,2069.0144	376.45892,160.51315,2055.2134	424.46655,160.18802,2038.1025	441.813,233.10817,2014.6262	375.98526,218.70328,2013.9943	346.7688,278.9227,1982.7362	342.3593,396.7127,2042.933	404.5064,279.73148,1962.8143	329.4179,506.9447,2075.5083	426.30487,400.44678,1988.0383	346.7688,278.9227,1982.7362	0.0,0.0,0.0	447.11716,310.83218,1913.6002	309.08832,311.07526,1986.2161	
377.0277,107.63957,2105.1135	376.3348,160.71301,2054.731	329.09277,160.93323,2071.087	312.41174,234.2589,2062.933	376.3348,160.71301,2054.731	424.33496,160.48924,2038.3748	441.38092,234.60693,2010.5481	375.82324,218.97763,2014.3601	346.57904,279.18848,1983.5112	341.16608,397.54388,2038.1523	404.28082,280.06665,1964.4675	329.18866,506.8042,2079.3137	425.82797,401.36203,1983.6676	346.57904,279.18848,1983.5112	0.0,0.0,0.0	446.90662,311.7028,1899.4814	310.26804,310.70276,1969.6245	
377.26785,107.468704,2104.0154	376.4786,160.6752,2053.4622	329.1771,160.73605,2068.3337	313.56827,233.75502,2052.3176	376.4786,160.6752,2053.4622	424.4702,160.61346,2038.5905	440.86884,234.09424,2009.1715	375.9382,219.03499,2014.002	346.66092,279.24457,1983.1998	340.20224,397.68927,2036.9501	404.34442,280.21442,1965.8839	329.957,507.03525,2079.102	426.2589,403.69055,1960.9923	346.66092,279.24457,1983.1998	0.0,0.0,0.0	447.11792,310.12796,1887.5566	310.91425,310.08966,1951.9998	
377.69797,107.848694,2103.9644	376.66833,160.74142,2051.6438	329.28918,160.46677,2064.2222	313.66248,234.0893,2040.8889	376.66833,160.74142,2051.6438	424.63202,161.0195,2039.0652	440.47574,234.47354,2011.5851	375.97543,219.11424,2011.6221	346.48608,279.24927,1978.9237	339.34778,397.55154,2035.878	404.23724,280.46902,1964.2772	329.9707,507.47678,2075.2598	426.3195,406.14886,1933.2856	346.48608,279.24927,1978.9237	0.0,0.0,0.0	447.37793,309.5503,1885.1416	312.46628,310.3611,1933.7651	
378.38168,109.15665,2103.4302	377.61572,161.62569,2049.3206	330.14963,160.76271,2058.255	314.52353,233.34392,2030.5482	377.61572,161.62569,2049.3206	425.49753,162.4962,2040.386	440.07977,234.94902,2013.7856	376.64267,220.00072,2008.2173	346.7911,279.9765,1972.3165	340.48767,398.2744,2032.8114	404.61978,281.6585,1961.9117	330.0008,508.02606,2073.7263	427.96057,408.38022,1915.3464	346.7911,279.9765,1972.3165	0.0,0.0,0.0	447.65668,309.26523,1886.3977	313.9022,310.09595,1924.1409	
379.83447,108.02823,2097.169	378.84152,160.9735,2045.0975	331.26132,159.70569,2051.582	315.05798,234.57042,2020.0383	378.84152,160.9735,2045.0975	426.7244,162.24939,2038.613	441.52866,237.0617,2011.8389	377.63937,219.5541,2005.5918	347.54636,279.49118,1969.861	340.83597,397.03217,2037.7346	405.34244,281.4904,1962.3112	330.86444,507.07736,2075.5486	429.34726,408.4881,1908.9823	347.54636,279.49118,1969.861	0.0,0.0,0.0	448.62802,312.37265,1886.4648	316.1841,311.81302,1913.714	
381.32874,107.79442,2090.0408	380.43332,161.15063,2040.4803	332.75104,159.4484,2043.1602	315.42328,234.04636,2011.6438	380.43332,161.15063,2040.4803	428.24097,162.85739,2037.8005	443.04028,237.70178,2014.1007	379.12195,219.95506,2002.3779	348.9076,279.9156,1965.8358	343.51297,397.9185,2032.2463	406.6577,282.16788,1962.7152	330.05203,507.2645,2073.8022	431.00305,409.6188,1900.3545	348.9076,279.9156,1965.8358	0.0,0.0,0.0	449.31116,313.9821,1895.9667	318.86264,311.73914,1908.0176	
382.84485,107.61012,2084.9753	381.62732,161.13055,2036.6189	333.87048,159.03479,2037.0088	316.32788,234.17137,2003.1973	381.62732,161.13055,2036.6189	429.40244,163.22713,2036.229	444.75348,238.51248,2017.0576	380.1091,220.03342,1998.4187	349.64688,279.95053,1960.4454	343.83472,398.88092,2021.6598	407.42325,282.51385,1959.9916	332.33133,506.99756,2075.28	432.27927,410.41995,1891.1346	349.64688,279.95053,1960.4454	0.0,0.0,0.0	450.40802,315.19833,1902.3014	320.27905,312.20026,1899.3011	
