286.60156,115.192795,2153.8042	281.79684,180.42238,2092.0637	234.77382,180.72806,2083.7163	190.22133,144.53955,1971.0978	281.79684,180.42238,2092.0637	328.44608,180.11911,2100.4111	370.25238,153.76459,2001.3767	282.37064,238.49799,2069.3452	255.27124,298.31995,2041.8104	267.88885,420.7493,1993.6998	310.5131,297.40805,2051.443	0.0,0.0,0.0	332.02582,419.70404,1966.8455	255.27124,298.31995,2041.8104	354.34045,526.0469,2030.5756	316.96603,109.841324,2094.3638	244.82596,104.98009,2094.1611	
286.85553,114.83961,2146.2935	281.57623,180.31929,2090.2793	234.49072,180.42062,2081.1921	189.68422,144.99254,1969.0461	281.57623,180.31929,2090.2793	328.25415,180.21884,2099.3665	368.90106,152.5995,2000.8696	281.94403,238.4256,2066.8848	254.58144,298.22443,2038.247	267.81116,420.55075,1994.566	309.917,297.50214,2048.7334	0.0,0.0,0.0	331.30734,419.9609,1965.2395	254.58144,298.22443,2038.247	354.63535,525.18896,2034.312	313.89536,110.82286,2100.9812	244.84187,106.841385,2093.371	
286.3749,113.92639,2143.0415	281.58475,180.35039,2088.8364	234.44366,180.44531,2078.8452	189.41565,145.07289,1968.0245	281.58475,180.35039,2088.8364	328.277,180.25638,2098.8276	368.35748,151.95134,2001.6967	282.01147,238.48892,2065.181	254.67471,298.36377,2035.7606	268.74844,420.6056,1994.4463	310.06503,297.58795,2047.2904	0.0,0.0,0.0	331.8078,419.9319,1967.9452	254.67471,298.36377,2035.7606	356.096,525.3696,2034.213	312.8915,110.44678,2103.8018	244.70433,108.339645,2095.6233	
286.10156,113.75133,2141.4143	281.7794,180.30016,2087.082	234.56137,180.29768,2075.4097	189.17984,145.33232,1966.0125	281.7794,180.30016,2087.082	328.47217,180.30258,2098.7544	369.1734,153.00761,2001.9797	282.21283,238.51605,2064.3364	254.87038,298.41733,2034.8556	268.7987,420.54575,1996.7057	310.25882,297.64346,2048.326	0.0,0.0,0.0	331.6767,419.91064,1971.0476	254.87038,298.41733,2034.8556	356.19452,525.82935,2033.7295	314.41583,110.319336,2104.5007	243.87251,110.60907,2099.973	
286.19635,114.20564,2140.6028	281.8322,180.3134,2085.4353	234.55246,180.32158,2072.6028	188.88304,146.46494,1964.5078	281.8322,180.3134,2085.4353	328.53366,180.30533,2098.2678	368.85336,154.43329,2004.0266	282.36478,238.58423,2062.998	255.10379,298.5704,2033.1564	268.57007,420.80923,1995.9082	310.51328,297.70575,2047.965	0.0,0.0,0.0	331.66235,419.9986,1972.0658	255.10379,298.5704,2033.1564	355.70428,526.6809,2030.974	315.1193,109.88396,2103.7124	244.01616,113.6424,2092.1914	
285.84335,113.58269,2134.6992	281.79938,180.25967,2083.7556	234.4578,180.35031,2069.6396	190.64877,147.34793,1962.0879	281.79938,180.25967,2083.7556	328.5039,180.17024,2097.8716	369.01132,155.09799,2005.3743	282.52228,238.62106,2062.9663	255.4716,298.69604,2034.032	268.88974,420.76978,1998.6992	310.8274,297.64948,2050.322	0.0,0.0,0.0	332.10046,419.8434,1972.4758	255.4716,298.69604,2034.032	355.23584,525.9188,2035.5319	313.43887,111.15506,2098.6748	248.48514,113.00621,2092.6604	
285.81198,114.26167,2137.2449	281.65988,180.36484,2082.428	234.28645,180.67003,2068.18	190.32985,148.9743,1960.7361	281.65988,180.36484,2082.428	328.38947,180.06378,2096.6763	370.00378,158.73642,2007.6886	282.657,238.77034,2062.0225	255.88095,298.99945,2033.3959	268.32648,421.11072,1999.9485	311.24423,297.69254,2049.838	0.0,0.0,0.0	332.11584,419.99628,1971.9502	255.88095,298.99945,2033.3959	355.6673,526.7724,2030.9609	317.67804,117.00193,2086.808	251.89929,114.51386,2082.9753	
285.87012,113.46074,2138.518	281.39856,180.3088,2081.496	234.00584,180.30656,2067.6477	187.37859,152.04593,1956.8016	281.39856,180.3088,2081.496	328.16486,180.31102,2095.3445	373.9014,163.69571,2004.8457	281.98044,238.74982,2061.1616	254.76477,298.8181,2032.8367	266.64972,421.16602,1997.1123	310.1661,297.89636,2048.8176	0.0,0.0,0.0	330.35947,420.35538,1971.6759	254.76477,298.8181,2032.8367	354.79498,527.1089,2029.8906	321.5675,120.984,2076.9006	252.04294,117.32061,2068.1614	
285.94977,114.0505,2138.6558	281.25748,180.30838,2079.7332	233.79718,180.34644,2064.2888	184.84744,156.51048,1954.904	281.25748,180.30838,2079.7332	328.01807,180.27087,2095.1775	374.97894,167.493,2003.9244	281.99973,238.80345,2059.6128	254.92369,298.9935,2030.5809	268.27667,421.37653,1993.9254	310.3474,297.91656,2048.4038	0.0,0.0,0.0	332.09348,419.96838,1975.0137	254.92369,298.9935,2030.5809	355.40842,527.89276,2027.1296	323.5271,123.261986,2069.3079	250.22574,122.43805,2063.6704	
285.79416,113.398384,2138.7217	281.3751,180.15874,2077.9072	233.86133,180.07306,2061.8147	185.592,163.11594,1948.9543	281.3751,180.15874,2077.9072	328.15854,180.2431,2093.9995	373.23083,175.8444,2002.9592	281.98926,238.77222,2060.5142	254.82797,298.87326,2033.8362	268.2362,420.6657,2003.0876	310.14847,297.89847,2052.406	0.0,0.0,0.0	331.84772,419.47787,1984.3315	254.82797,298.87326,2033.8362	354.8858,529.40564,2022.3386	325.10944,125.85066,2060.7417	250.83495,127.12841,2058.3606	
