318.03134,137.66116,2434.9385	313.58157,186.34871,2414.06	283.1996,180.18877,2331.6953	242.86508,233.30846,2285.0667	313.58157,186.34871,2414.06	341.95874,192.10219,2496.4248	359.34082,243.53836,2501.865	310.18207,235.43423,2391.4326	286.7883,283.7271,2315.5754	278.70538,386.58603,2316.762	325.77097,287.11185,2422.035	255.06793,482.42426,2321.0676	342.5228,384.88568,2414.0034	286.7883,283.7271,2315.5754	355.97876,477.41315,2430.7227	387.57913,276.22253,2294.0027	295.92108,269.74466,2212.257	
317.7985,138.69516,2433.0427	313.3432,187.3138,2412.0427	282.7701,181.20789,2330.718	243.85066,232.9975,2284.0444	313.3432,187.3138,2412.0427	341.92194,193.0214,2493.3674	359.65994,243.96336,2496.9185	309.88065,236.45284,2389.6006	286.29834,284.8029,2314.6025	278.54547,387.79053,2315.1418	325.53537,288.1696,2419.7144	254.3948,483.8122,2317.688	342.03036,385.7981,2416.6438	286.29834,284.8029,2314.6025	355.6424,479.261,2423.2478	388.23816,277.76736,2292.0466	296.34833,269.57114,2211.314	
317.67908,138.80946,2432.6357	313.18668,187.3871,2411.341	282.59924,181.15688,2330.1245	243.26163,233.12126,2286.8313	313.18668,187.3871,2411.341	341.7808,193.21133,2492.5576	359.34293,244.5286,2495.495	309.63583,236.51355,2388.0994	285.9339,284.8005,2312.3726	278.26263,387.4703,2319.176	325.22446,288.33234,2417.3428	254.19702,484.87265,2307.2822	342.54254,385.77954,2416.5864	285.9339,284.8005,2312.3726	355.98987,479.7904,2418.2756	388.4602,278.43457,2292.9453	295.88657,270.17108,2207.7551	
317.86115,138.10509,2432.8806	313.25583,187.0258,2411.5242	282.86505,180.55391,2329.2312	242.86624,233.47217,2284.8738	313.25583,187.0258,2411.5242	341.64087,193.07057,2493.8171	359.0976,245.27159,2492.747	309.39685,236.12288,2388.3132	285.49466,284.2507,2311.9175	277.38242,386.81476,2320.1953	324.5514,288.03156,2418.287	256.0608,484.128,2314.6482	341.66077,385.30817,2420.3108	285.49466,284.2507,2311.9175	356.20392,479.06238,2421.5422	388.7214,279.05646,2291.1616	296.04333,271.01355,2208.0854	
317.6086,137.2602,2433.003	313.2239,186.26091,2412.0334	282.92157,179.86789,2329.0662	242.7427,233.39136,2282.3826	313.2239,186.26091,2412.0334	341.51093,192.22876,2495.0007	358.9607,244.71352,2491.8806	309.51755,235.36357,2389.228	285.84564,283.55072,2312.805	278.33173,386.25397,2319.242	324.75232,287.19208,2420.0403	257.69916,483.2597,2318.592	343.0767,384.45883,2417.2751	285.84564,283.55072,2312.805	355.8716,477.50778,2428.5664	388.9085,279.10168,2293.026	296.3531,271.19504,2208.0544	
317.65256,136.86432,2432.0554	313.14197,185.86504,2411.6433	282.7515,179.5568,2329.1108	242.32407,233.31612,2284.599	313.14197,185.86504,2411.6433	341.5212,191.7558,2494.1758	358.8155,244.8998,2489.4036	309.4779,234.99155,2389.408	285.80487,283.22345,2313.8357	279.23135,386.17712,2316.7764	324.8063,286.77835,2420.5095	255.74359,481.76956,2323.4705	342.29938,384.41833,2413.653	285.80487,283.22345,2313.8357	355.6377,477.20294,2428.2205	388.9529,279.41553,2291.1487	295.66882,271.5099,2209.651	
317.43106,137.06787,2432.6125	313.1321,185.95518,2411.4407	282.6926,179.76682,2329.1025	240.84251,232.98279,2282.1233	313.1321,185.95518,2411.4407	341.56158,191.7349,2493.7788	358.85126,244.41568,2488.207	309.72668,235.09055,2388.7122	286.28693,283.42514,2312.772	279.0233,386.38446,2315.7012	325.34625,286.838,2419.1953	256.6125,482.4214,2321.5305	343.4104,384.55374,2410.2715	286.28693,283.42514,2312.772	356.1479,477.82367,2422.4482	388.9088,279.33664,2291.2898	294.82135,271.11432,2212.8496	
317.43628,136.77222,2431.88	312.87842,185.7093,2410.952	282.47745,179.48079,2328.274	239.22981,232.41362,2286.0889	312.87842,185.7093,2410.952	341.26343,191.52478,2493.63	358.86252,244.40887,2488.1396	309.4416,234.85141,2388.2358	285.99396,283.17706,2312.0884	279.22992,386.07083,2317.0107	325.00253,286.61987,2418.9512	254.84518,482.11902,2318.0078	343.19507,384.17297,2412.6821	285.99396,283.17706,2312.0884	354.67627,477.58835,2424.1758	388.91138,279.39658,2292.5312	293.15707,269.9516,2213.5469	
317.74777,136.62918,2439.5244	313.40652,185.1746,2414.738	283.4324,178.64307,2330.0222	240.57346,233.22296,2282.8027	313.40652,185.1746,2414.738	341.34875,191.2634,2499.4539	358.98315,244.28453,2488.5845	310.02237,234.1636,2389.6904	286.86096,282.27908,2309.8848	280.13562,385.19537,2316.0474	325.38007,286.0153,2419.401	255.862,481.7272,2313.5276	343.31857,383.56314,2413.7502	286.86096,282.27908,2309.8848	355.62888,476.99933,2423.7314	388.93597,279.475,2290.8765	294.64883,270.91962,2210.7742	
318.00665,137.1726,2443.355	314.33264,185.54932,2417.1365	284.5883,179.21722,2331.186	238.7627,232.59564,2294.0476	314.33264,185.54932,2417.1365	342.03427,191.44653,2503.087	359.13876,243.87369,2489.8079	311.51447,234.49548,2391.1597	289.0957,282.76666,2309.6375	282.28992,385.6906,2315.7856	327.27637,286.18668,2420.7283	256.80127,481.7035,2315.2732	344.65466,383.7823,2415.0793	289.0957,282.76666,2309.6375	357.53418,477.06805,2425.2937	388.8313,279.4896,2292.2178	292.10233,269.22427,2212.3872	
318.27206,137.77736,2445.7822	314.79584,186.08409,2418.0332	285.0318,179.75963,2332.3794	241.74936,231.76889,2291.0557	314.79584,186.08409,2418.0332	342.52335,191.97583,2503.687	359.1233,244.02104,2488.921	312.11102,234.99309,2391.0393	289.80328,283.2621,2308.6943	279.71735,386.08124,2312.2104	328.0314,286.6956,2419.3965	256.19183,482.05374,2317.724	343.58484,384.8145,2410.6414	289.80328,283.2621,2308.6943	356.3126,477.6089,2427.096	388.7729,279.35492,2292.117	293.54034,268.0006,2208.3794	
318.24173,137.43893,2445.9717	315.09375,185.71564,2419.0483	285.4635,179.73143,2332.4062	239.41147,231.49313,2297.6382	315.09375,185.71564,2419.0483	342.6749,191.286,2505.6904	359.11426,244.55406,2488.4663	312.912,234.65509,2393.0444	291.2486,283.16415,2311.0444	280.5777,385.7572,2315.8477	329.2178,286.1059,2423.0366	256.53247,481.45776,2321.3997	345.00543,384.08582,2413.5586	291.2486,283.16415,2311.0444	355.6961,476.5276,2434.3926	388.81122,279.15384,2290.3357	291.75235,266.76804,2208.5002	
318.43045,137.86876,2439.5535	315.00247,186.22668,2416.3877	285.0785,180.55656,2331.1238	237.9307,231.73064,2297.7395	315.00247,186.22668,2416.3877	342.88663,191.51028,2501.6516	359.13315,244.70625,2487.2273	312.79065,235.2994,2392.835	290.9473,284.01666,2314.1768	279.62363,386.55884,2316.7495	329.23206,286.61835,2424.3877	254.38214,481.56763,2325.2368	342.83127,384.91995,2413.6892	290.9473,284.01666,2314.1768	355.5751,477.91876,2426.7957	388.8559,279.24628,2288.758	291.2009,266.6955,2211.2136	
318.10068,138.48184,2443.3684	314.8363,186.73752,2416.8208	285.0396,180.777,2330.9917	239.83926,232.63147,2291.8374	314.8363,186.73752,2416.8208	342.58923,192.28923,2502.65	358.81512,244.90509,2485.132	312.54272,235.73251,2390.9697	290.65372,284.28992,2309.652	278.88562,386.96,2312.7146	328.8485,287.23798,2420.5852	254.26646,482.9068,2316.008	342.63998,385.737,2409.0154	290.65372,284.28992,2309.652	355.00385,478.73254,2424.489	389.06393,279.43045,2287.099	293.32254,268.9644,2210.622	
317.94818,138.01724,2437.258	314.33768,186.49635,2413.882	284.26547,180.59918,2329.389	240.78842,232.74263,2286.3535	314.33768,186.49635,2413.882	342.3758,191.99466,2498.3752	358.86823,245.11424,2485.5632	311.73816,235.59384,2389.9514	289.3762,284.18695,2311.4155	277.60837,386.47363,2318.8992	327.90665,287.1145,2420.626	253.60332,482.61023,2319.5503	342.8942,385.40735,2409.5781	289.3762,284.18695,2311.4155	354.0269,477.4769,2434.3987	389.16254,279.3602,2288.2253	294.3338,270.3354,2210.8064	
317.67242,138.40817,2434.213	313.7901,186.96959,2410.664	283.4617,180.91846,2327.603	239.022,233.04541,2291.0962	313.7901,186.96959,2410.664	342.09818,192.61761,2493.725	359.0248,244.76015,2484.7817	310.82928,236.11627,2386.5894	287.90912,284.6307,2308.8342	277.25183,387.19672,2315.6836	326.82288,287.82587,2416.195	253.41296,483.82886,2313.5886	342.71255,386.17383,2405.0571	287.90912,284.6307,2308.8342	353.84796,478.67014,2427.7888	389.16217,279.60333,2288.4707	292.8874,269.33954,2211.64	
318.1537,137.96637,2434.1895	313.8947,186.60362,2411.189	283.34607,180.38683,2329.8567	237.51762,232.74617,2296.0356	313.8947,186.60362,2411.189	342.4497,192.4147,2492.5212	359.42642,245.159,2485.893	310.58234,235.71011,2386.956	287.1381,284.0294,2310.159	278.5123,386.4128,2321.278	326.39264,287.5403,2415.2874	252.98996,482.95938,2313.57	344.09964,385.47098,2406.4424	287.1381,284.0294,2310.159	353.06735,477.7785,2432.3665	389.10034,279.6663,2287.7087	291.19196,268.22827,2211.5764	
318.1547,138.31647,2432.6729	313.71326,186.99359,2409.5627	282.977,180.70465,2329.4224	240.04538,234.08029,2284.8164	313.71326,186.99359,2409.5627	342.4708,192.87764,2489.7031	359.52835,244.78172,2485.4397	310.18152,236.12383,2385.317	286.38092,284.3898,2309.281	277.0577,387.1631,2314.5154	325.90656,288.056,2412.861	255.43188,483.36615,2320.14	342.96695,386.01624,2407.3818	286.38092,284.3898,2309.281	354.98053,478.52173,2427.8193	389.15143,279.60052,2288.073	294.67178,270.21,2209.026	
318.0813,138.49767,2423.898	313.58167,187.53683,2405.3975	282.66348,181.44203,2325.927	241.28864,234.70169,2280.8567	313.58167,187.53683,2405.3975	342.5222,193.2418,2484.868	359.32318,245.05067,2486.7156	309.82257,236.82384,2384.2688	285.72495,285.2388,2311.783	277.91977,387.80536,2320.2007	325.40524,288.67096,2414.4973	254.26746,483.96545,2320.155	342.73138,386.5385,2408.802	285.72495,285.2388,2311.783	354.33145,477.70978,2440.7344	389.14523,279.42993,2288.9397	296.04474,271.5123,2208.8362	
