255.02753,140.16077,2296.9814	252.54211,188.50969,2240.1843	215.65996,181.42453,2169.0906	177.41014,254.29424,2112.9453	252.54211,188.50969,2240.1843	287.1553,195.15898,2311.278	317.88846,252.39478,2399.165	249.21112,241.69592,2194.545	220.79723,294.77213,2102.583	211.25299,404.2468,2162.7788	269.62744,299.41058,2195.228	186.0639,506.6653,2184.046	291.64117,407.54425,2205.7905	220.79723,294.77213,2102.583	319.1892,509.02228,2215.5308	367.0775,212.28885,2327.3704	194.1235,329.87097,1979.3352	
255.0632,140.02701,2296.3591	252.52127,188.6069,2238.5684	215.5691,181.46266,2168.0278	176.89738,254.4911,2114.973	252.52127,188.6069,2238.5684	287.21576,195.31465,2309.109	316.65955,251.37228,2396.0833	249.09662,241.79892,2192.354	220.51598,294.85468,2100.1765	210.58429,404.48822,2159.6997	269.48425,299.6071,2192.1028	186.0067,506.53088,2185.37	291.0631,407.6645,2206.6047	220.51598,294.85468,2100.1765	319.69833,509.8567,2207.9048	364.1581,209.74512,2326.657	197.24683,324.4231,1963.404	
254.72891,140.89603,2296.0479	252.3522,189.04001,2237.6558	215.4838,181.77686,2166.209	175.75864,254.29785,2118.9863	252.3522,189.04001,2237.6558	286.9391,195.8537,2309.1025	315.0842,250.49654,2395.0437	248.94928,242.20888,2190.4775	220.42278,295.242,2096.7446	210.99118,404.3144,2162.5845	269.30844,300.08957,2189.854	185.39139,507.54935,2177.5317	290.6802,407.91187,2208.941	220.42278,295.242,2096.7446	320.33984,510.06744,2207.3408	361.62225,208.58948,2319.4468	199.80096,318.33456,1952.8628	
254.68843,141.26732,2295.892	252.27176,189.36032,2238.3691	215.37665,182.12297,2167.2827	175.49802,254.40096,2131.4915	252.27176,189.36032,2238.3691	286.89557,196.15211,2309.4556	314.28763,250.19188,2391.524	248.84198,242.51839,2191.1921	220.26897,295.5429,2097.6968	211.16426,404.237,2166.435	269.1965,300.38422,2190.3335	185.85422,507.77704,2178.6216	290.62988,408.0227,2211.1719	220.26897,295.5429,2097.6968	319.78326,510.21378,2209.698	360.24283,208.03421,2311.2847	201.20975,308.07922,1941.455	
254.60208,141.56343,2295.813	252.131,189.5392,2238.0671	215.258,182.27023,2166.695	175.638,254.85597,2137.7454	252.131,189.5392,2238.0671	286.7249,196.35886,2309.4392	314.25256,250.03505,2390.7615	248.6354,242.72624,2191.2378	220.01518,295.75415,2097.9036	211.12527,404.5997,2165.51	268.89902,300.613,2190.9133	185.97435,507.9439,2179.6772	291.1203,408.37222,2208.1106	220.01518,295.75415,2097.9036	319.72238,509.73532,2215.638	358.65186,207.04796,2303.7036	201.67679,297.7538,1929.4727	
254.2108,141.64474,2297.272	251.97519,189.52802,2238.657	214.97879,182.32428,2168.604	178.4291,257.0946,2141.3713	251.97519,189.52802,2238.657	286.72644,196.29457,2308.71	314.3589,250.06941,2392.3784	248.53574,242.63937,2190.746	219.861,295.63556,2097.1875	210.97644,405.0495,2160.4883	268.97763,300.512,2188.483	186.64206,507.03336,2186.3672	291.50388,408.36487,2205.3726	219.861,295.63556,2097.1875	320.64102,509.79926,2212.3508	356.70282,207.56807,2290.824	201.02362,288.47195,1914.8071	
254.08028,141.27191,2296.5022	251.67328,189.32327,2238.829	214.72939,181.97208,2168.3613	178.75484,257.72455,2137.1855	251.67328,189.32327,2238.829	286.36252,196.22583,2309.2969	313.92694,250.21443,2391.1865	248.04361,242.42761,2191.061	219.20322,295.32397,2097.3777	210.65007,404.80594,2160.4182	268.25034,300.3661,2189.2083	186.06894,506.55664,2187.6067	290.53564,407.82642,2210.8052	219.20322,295.32397,2097.3777	320.01062,509.4918,2213.0278	356.53833,209.5073,2280.9731	198.70915,282.48346,1902.9604	
254.4454,141.0635,2297.1199	251.96646,189.1065,2240.1406	214.98592,181.79608,2170.3564	179.47153,258.5149,2127.0938	251.96646,189.1065,2240.1406	286.71262,195.97522,2309.9248	314.18704,250.90044,2388.0955	248.24486,242.21053,2193.0667	219.29831,295.0721,2100.5225	211.78859,404.24557,2165.6697	268.38165,300.10974,2191.463	185.46486,506.1919,2186.9897	292.351,407.2581,2211.1511	219.29831,295.0721,2100.5225	319.82343,509.19284,2215.4607	356.3036,211.80301,2265.4114	196.6094,279.59702,1887.1667	
254.54034,140.15298,2296.4265	251.80576,188.67325,2240.6577	214.8934,181.30708,2170.2266	177.8013,257.741,2116.0452	251.80576,188.67325,2240.6577	286.46826,195.59042,2311.0884	312.37674,251.74194,2383.5464	248.01645,241.79137,2194.2585	219.06183,294.61847,2101.9678	210.92554,404.1109,2163.4653	268.019,299.68228,2193.751	186.28087,506.4745,2185.607	292.0695,407.00232,2209.9292	219.06183,294.61847,2101.9678	318.62454,508.71637,2218.4521	356.13898,216.79938,2247.983	193.22783,279.98285,1873.5396	
254.57468,139.84749,2296.0835	251.58885,188.54654,2240.6392	214.49567,181.30566,2171.9912	176.45105,256.18225,2103.025	251.58885,188.54654,2240.6392	286.47668,195.35692,2309.287	311.9456,253.62823,2378.776	247.71526,241.68843,2194.7612	218.55733,294.53668,2104.1497	210.32036,404.23538,2162.9255	267.77072,299.55768,2193.617	186.42157,507.12506,2183.0151	291.5113,407.02722,2208.9832	218.55733,294.53668,2104.1497	319.44547,509.254,2210.742	355.30972,219.77548,2232.9656	188.30777,284.87616,1863.6667	
254.4628,140.37946,2296.9104	251.47264,188.961,2241.4043	214.22502,181.79358,2174.6504	174.18373,253.91652,2091.5137	251.47264,188.961,2241.4043	286.5658,195.71384,2308.1582	314.25317,255.10771,2368.8892	247.52646,242.05284,2194.869	218.16643,294.8613,2104.8354	210.09024,404.73938,2161.8628	267.65033,299.92563,2191.8315	187.06448,507.87985,2182.0059	291.60916,407.51367,2206.303	218.16643,294.8613,2104.8354	318.7683,510.11334,2207.9277	355.9263,225.13232,2203.714	181.99109,290.55606,1857.1934	
254.62207,140.31827,2303.8242	251.74,188.46133,2245.0066	214.71985,180.98097,2176.9463	173.24387,251.98987,2078.7515	251.74,188.46133,2245.0066	286.58157,195.50148,2313.067	316.3772,255.30843,2353.4517	247.78972,241.2917,2195.7725	218.50807,293.77826,2102.1912	210.48976,403.7137,2160.2002	267.79022,299.20087,2190.8855	187.99654,507.4835,2177.5618	291.16193,406.7591,2207.8677	218.50807,293.77826,2102.1912	320.58276,508.79865,2208.197	358.17722,231.15723,2173.9573	176.52669,296.2814,1851.0669	
254.70436,140.03806,2321.7852	252.42578,187.04291,2254.8022	215.78258,178.94421,2185.8086	175.79915,250.12987,2055.8447	252.42578,187.04291,2254.8022	286.89313,194.6607,2323.796	317.93802,255.20714,2338.7686	248.57817,239.06433,2197.9536	219.45757,290.6359,2096.1465	212.05661,400.8891,2155.3276	268.5638,296.9284,2186.0635	187.8395,504.02765,2175.9705	291.57245,404.5772,2206.0068	219.45757,290.6359,2096.1465	321.45175,507.1351,2201.7844	360.06918,236.32863,2148.5505	172.34691,303.3082,1841.6538	
254.88039,140.44162,2330.7634	252.81723,186.377,2259.9685	216.4251,177.94495,2189.9314	176.17493,247.35406,2043.4146	252.81723,186.377,2259.9685	287.02155,194.30215,2330.0056	319.7103,255.45131,2324.3982	249.12137,237.9681,2199.0654	220.23386,289.06274,2092.529	212.67377,398.9801,2156.348	269.15207,295.7901,2183.7957	188.75162,501.51962,2181.3005	290.46066,403.77075,2205.174	220.23386,289.06274,2092.529	321.67056,504.82516,2210.2207	361.67258,241.9356,2123.1375	167.08568,305.6388,1833.2441	
255.03568,140.87154,2335.7458	253.17741,186.39423,2262.6677	216.78252,177.96204,2193.2888	177.94984,244.25938,2033.7041	253.17741,186.39423,2262.6677	287.4068,194.3247,2332.0466	320.47626,255.26128,2308.6965	249.63809,237.76608,2199.5864	220.86322,288.696,2091.3022	213.34073,398.32242,2158.2166	269.87927,295.50293,2181.708	188.8142,500.28836,2185.4646	291.2978,403.34064,2205.8347	220.86322,288.696,2091.3022	320.21558,505.13785,2210.056	363.23456,248.56425,2097.3994	162.28758,304.08942,1823.4915	
