248.98996,135.99324,2450.2764	245.74536,185.3448,2428.0464	208.81934,183.5184,2433.922	188.05724,244.07584,2455.0583	245.74536,185.3448,2428.0464	282.85056,187.18005,2422.1707	307.4448,247.32776,2396.7532	242.055,235.87268,2403.126	214.47275,286.12195,2381.9158	209.64865,386.539,2426.6753	262.1762,288.80118,2374.4954	197.77908,482.1814,2442.4897	283.70428,391.41693,2364.479	214.47275,286.12195,2381.9158	319.47452,488.32275,2335.1948	339.24594,299.10565,2241.7437	151.95699,304.8409,2308.658	
249.54608,135.36874,2451.208	246.01395,184.59073,2428.6475	209.10884,182.63057,2434.6204	188.1122,243.80457,2450.5261	246.01395,184.59073,2428.6475	283.10104,186.56055,2422.6746	307.47824,247.50508,2397.376	242.11761,235.07469,2403.3394	214.33023,285.20642,2381.803	209.81773,385.44864,2429.0125	262.02206,288.0645,2374.2595	197.08237,481.3327,2440.9143	283.58374,390.6062,2365.675	214.33023,285.20642,2381.803	319.36493,486.93372,2342.1982	339.72375,299.3909,2243.1804	152.53781,304.24286,2302.826	
249.6576,135.62161,2450.6802	245.99591,184.91908,2428.0186	209.04022,182.81192,2433.089	188.14053,243.55042,2448.2642	245.99591,184.91908,2428.0186	283.10623,187.03505,2422.948	307.50842,247.2266,2400.1846	241.97385,235.42061,2403.0098	214.03348,285.48752,2381.203	210.44397,385.773,2428.7424	261.76523,288.48523,2374.799	196.2273,481.58093,2439.464	283.01794,390.9901,2367.6545	214.03348,285.48752,2381.203	318.9234,487.16525,2344.493	338.7811,299.81766,2246.0967	152.84773,303.8627,2299.914	
250.09354,135.73285,2449.41	246.24313,184.88719,2426.944	209.20355,182.5474,2430.4585	188.28218,242.95462,2445.129	246.24313,184.88719,2426.944	283.39017,187.23378,2423.4297	306.93225,246.72394,2403.087	242.02472,235.40652,2402.2466	213.83835,285.3712,2379.7683	210.64812,385.57806,2429.1357	261.6436,288.58264,2375.3298	196.0037,481.5539,2437.7078	283.24487,391.04697,2367.1902	213.83835,285.3712,2379.7683	318.60605,487.41815,2344.4631	338.44476,299.93585,2254.6711	153.68654,303.58377,2295.9265	
249.87015,135.31213,2450.7888	246.28107,184.44882,2427.082	209.13123,182.27693,2428.547	188.09377,242.65892,2443.0771	246.28107,184.44882,2427.082	283.47577,186.62335,2425.617	306.7644,246.59296,2404.049	242.39137,234.93936,2400.9746	214.43825,285.09824,2375.7922	211.4754,385.4016,2426.1355	262.41278,287.98288,2373.9421	197.69992,481.87054,2432.535	284.29276,390.5569,2363.8386	214.43825,285.09824,2375.7922	319.90393,486.814,2343.0686	338.5589,300.0944,2259.217	154.16187,303.49176,2291.0227	
249.74455,135.0249,2448.9683	246.4126,184.2268,2425.795	209.16638,182.01903,2425.6375	187.52583,241.92418,2435.5405	246.4126,184.2268,2425.795	283.654,186.43431,2425.9524	308.2318,247.72809,2404.0256	242.607,234.7626,2400.1733	214.69293,284.96912,2374.4524	211.71729,385.34003,2424.702	262.7436,287.80875,2374.6511	196.98703,480.65466,2440.2783	284.27643,390.38214,2365.3345	214.69293,284.96912,2374.4524	318.58417,486.96637,2345.4082	340.32938,301.44193,2260.4988	153.8586,302.88446,2283.8018	
250.07327,134.72905,2449.5566	246.58023,183.9426,2425.5737	209.28494,181.61066,2424.287	186.88618,240.96393,2431.7686	246.58023,183.9426,2425.5737	283.83597,186.27205,2426.8604	309.2129,248.64873,2405.5117	242.67108,234.45744,2399.3826	214.60802,284.61758,2372.379	211.10461,384.9553,2423.6973	262.7268,287.55597,2374.004	197.85223,480.32153,2441.2236	283.86856,390.1543,2366.2285	214.60802,284.61758,2372.379	318.6811,486.98346,2341.0273	341.42642,302.48062,2263.2778	154.06113,300.06396,2269.5374	
249.77884,134.90988,2449.9126	246.88434,184.1341,2425.1213	209.37071,182.10834,2418.5662	186.56036,240.487,2425.4417	246.88434,184.1341,2425.1213	284.1957,186.14894,2431.6765	310.99316,250.33707,2398.8057	243.76541,234.67632,2398.2786	216.34937,285.23395,2367.294	212.31728,385.46918,2421.5212	264.71793,287.4876,2375.5776	200.04565,481.7848,2432.6155	286.01596,390.0592,2366.4453	216.34937,285.23395,2367.294	320.83707,486.4157,2346.3765	343.81964,304.35516,2258.8335	154.85059,297.3042,2249.4128	
250.07178,134.83319,2449.5383	247.3818,184.018,2424.763	209.76848,182.07097,2415.8179	184.2151,238.56609,2398.2312	247.3818,184.018,2424.763	284.71863,185.95073,2433.708	313.0941,249.25272,2397.9094	244.54875,234.57458,2397.7131	217.38113,285.27347,2365.016	212.46597,385.39032,2420.8625	265.8056,287.2915,2376.3105	197.88249,480.71777,2437.6628	285.64264,390.35046,2362.772	217.38113,285.27347,2365.016	320.19315,486.83752,2344.295	347.1032,303.95108,2270.5518	157.75212,289.20755,2188.626	
250.08188,134.94804,2448.863	247.62866,184.30818,2423.6826	209.89545,182.29858,2411.185	183.43678,237.58081,2377.124	247.62866,184.30818,2423.6826	284.97473,186.29715,2436.1802	314.4996,248.23734,2395.4617	244.97421,234.90712,2396.879	217.91989,285.69708,2362.1833	212.22,385.77246,2418.9866	266.438,287.5976,2377.967	197.19427,481.19348,2435.26	285.19727,390.79456,2364.382	217.91989,285.69708,2362.1833	320.00125,487.3329,2343.6018	351.36902,300.81555,2271.4216	161.43489,278.06262,2135.659	
