379.5489,130.08913,2648.9978	379.5393,175.5264,2634.5967	345.28418,175.90091,2652.86	338.04926,219.6994,2529.1323	379.5393,175.5264,2634.5967	414.27267,175.14667,2616.3333	427.75928,229.82263,2553.402	379.39835,220.62114,2618.7788	358.0511,266.10907,2614.1018	348.95746,356.0011,2635.6814	400.64258,266.42017,2591.82	332.051,450.63123,2578.8254	413.29257,360.0778,2492.4768	358.0511,266.10907,2614.1018	442.79388,453.36743,2416.07	401.09137,249.5863,2349.5925	354.57315,194.69258,2290.7803	
379.60968,130.14117,2653.4634	380.06793,175.21216,2634.492	345.79507,176.07504,2651.7673	340.45462,220.24689,2523.594	380.06793,175.21216,2634.492	414.79324,174.33789,2617.2166	426.82874,230.41315,2557.1973	380.63254,220.21542,2615.2568	359.9354,266.05444,2606.558	350.35294,356.06305,2630.0776	402.64902,265.71533,2585.4854	333.54907,450.15918,2578.688	415.65698,359.55994,2485.0667	359.9354,266.05444,2606.558	444.57748,453.0109,2414.2996	402.26123,249.2901,2347.756	354.81012,194.48401,2289.2305	
380.21716,129.41013,2646.2974	380.43875,174.9721,2630.4055	346.1177,175.6997,2648.5483	341.97812,220.0968,2510.796	380.43875,174.9721,2630.4055	415.23657,174.23439,2612.2627	427.34286,230.69351,2554.581	380.77475,220.10417,2613.1772	359.8485,265.90045,2607.0132	348.25854,355.50806,2633.0679	402.5639,265.76956,2584.8848	331.68707,449.3161,2585.0674	414.07953,359.76886,2483.6677	359.8485,265.90045,2607.0132	441.85117,453.09717,2420.9216	402.82495,249.31085,2347.8354	352.8574,194.28195,2273.4321	
381.08557,130.05013,2642.634	380.82532,175.58398,2627.3528	346.46133,175.95616,2645.5925	342.02988,220.38754,2507.3943	380.82532,175.58398,2627.3528	415.6698,175.20659,2609.113	428.11523,230.26654,2551.7766	380.6892,220.80745,2611.532	359.28262,266.42422,2606.8354	347.77646,356.86517,2616.0623	402.00327,266.7415,2584.587	331.11252,450.03662,2582.6418	414.972,360.61267,2479.1526	359.28262,266.42422,2606.8354	441.2705,454.18652,2422.0989	404.5503,249.2135,2344.0203	352.1875,193.84552,2269.0654	
381.73392,130.58649,2641.534	381.0489,175.90456,2624.7134	346.6699,175.94774,2644.0627	341.66385,220.69101,2511.2085	381.0489,175.90456,2624.7134	415.93854,175.86073,2605.364	428.85553,231.84952,2547.3877	380.41367,221.17622,2609.188	358.49768,266.60403,2605.464	347.41504,357.57037,2606.0303	401.23853,267.37924,2581.861	330.93823,449.8699,2582.0505	416.34985,360.78473,2458.545	358.49768,266.60403,2605.464	442.59106,453.60748,2422.2432	404.67584,249.72697,2336.611	351.20786,194.50266,2268.834	
382.57477,130.58502,2640.2896	381.68768,176.01337,2622.5645	347.2806,176.10008,2642.346	342.70468,220.18585,2516.5984	381.68768,176.01337,2622.5645	416.61774,175.92535,2602.783	428.25403,233.88606,2546.6406	381.0938,221.33987,2607.5703	359.211,266.82202,2604.6404	349.08466,358.26782,2597.5203	401.97412,267.56277,2580.512	332.8097,449.31018,2584.886	419.45898,360.23816,2439.9214	359.211,266.82202,2604.6404	446.8847,450.39215,2435.2031	407.63364,249.90137,2326.5166	350.4385,195.03792,2268.963	
383.42438,131.2026,2640.722	382.40894,176.69653,2620.1118	348.07013,176.99783,2644.46	345.84525,221.33116,2508.3103	382.40894,176.69653,2620.1118	417.3919,176.38956,2595.7637	430.0632,235.35692,2541.8184	381.8423,222.01463,2602.895	359.9687,267.60196,2600.5344	349.94534,359.48828,2586.6086	402.81372,268.27438,2570.822	332.34247,450.28406,2581.2922	420.38837,360.79803,2414.5095	359.9687,267.60196,2600.5344	451.35333,448.6601,2429.7073	412.9499,249.94968,2313.0083	348.58075,194.59952,2260.4111	
384.7743,131.9843,2630.446	384.0549,177.36758,2612.3022	349.533,177.63216,2633.5662	346.57687,223.88786,2508.1555	384.0549,177.36758,2612.3022	419.14343,177.09866,2591.0383	432.01404,237.6805,2538.9194	383.64725,222.89099,2597.725	361.88098,268.63452,2596.1165	352.16315,360.7731,2581.2283	404.8045,269.22485,2570.1794	333.58804,450.4206,2580.787	422.89313,361.91003,2414.7234	361.88098,268.63452,2596.1165	458.12878,448.0462,2431.3652	419.8849,250.09294,2299.1428	344.99918,195.68466,2265.9028	
387.09326,132.29308,2625.2107	386.93304,178.15744,2604.0444	352.5219,179.36394,2633.4133	349.63766,227.81662,2512.0164	386.93304,178.15744,2604.0444	422.12924,176.9234,2574.6755	435.72333,241.22458,2554.3528	387.34433,223.75266,2586.25	366.3561,270.0931,2586.3933	357.27832,362.42596,2577.2817	409.4676,269.86456,2550.5178	336.47058,450.83423,2577.8672	426.42505,363.207,2386.9895	366.3561,270.0931,2586.3933	465.84137,448.47217,2405.7332	435.4535,249.05634,2303.5408	340.3851,199.63205,2280.4705	
389.32,133.11409,2613.1577	390.3731,178.93927,2592.136	355.8007,181.08255,2622.418	348.72,230.95398,2518.9795	390.3731,178.93927,2592.136	425.76282,176.7453,2561.854	443.27588,243.63957,2565.161	392.0385,224.71841,2574.0059	372.23547,271.81677,2574.3347	362.3129,363.8189,2579.3264	415.53238,270.46756,2537.4167	337.33224,451.5974,2572.8606	428.44397,365.00696,2380.0388	372.23547,271.81677,2574.3347	469.289,448.16516,2411.883	452.21188,242.93578,2316.6008	336.64832,202.4673,2296.8933	
