307.71072,123.613754,2432.3071	305.44925,171.40428,2395.787	269.57916,166.21802,2339.1294	259.48148,225.26733,2193.9072	305.44925,171.40428,2395.787	339.66193,176.35092,2452.4453	354.1887,236.91142,2374.0317	303.0062,221.783,2366.2432	277.48843,271.6997,2301.06	273.97983,379.51746,2275.1763	322.82285,275.11948,2372.338	263.76846,479.4971,2301.4028	329.8808,381.03522,2252.7246	277.48843,271.6997,2301.06	326.61127,471.60812,2354.555	355.02466,243.4642,2094.1582	314.3199,236.25887,2008.2588	
307.8408,123.9767,2424.57	305.27454,172.30722,2391.2173	269.62347,166.75787,2330.7632	264.40164,227.78732,2172.941	305.27454,172.30722,2391.2173	339.1674,177.58289,2451.6714	352.61227,235.20142,2373.6072	302.48026,222.83463,2363.0889	276.76874,272.73044,2296.9324	273.64236,381.1095,2263.2551	321.7362,276.3691,2372.9885	263.96317,480.20435,2300.7693	328.4025,382.3686,2250.382	276.76874,272.73044,2296.9324	320.89874,471.94037,2357.2415	356.4559,249.63423,2100.0442	322.9981,241.8844,1991.3657	
308.3351,125.218666,2420.7312	305.3203,173.82672,2388.649	269.53818,167.9531,2329.5432	269.3445,232.10039,2152.987	305.3203,173.82672,2388.649	339.3744,179.41669,2447.7546	352.96466,236.86865,2370.8079	301.83875,224.40678,2361.0894	275.32413,274.09036,2296.3452	274.6711,383.13287,2243.0862	320.50586,278.2072,2370.7144	263.4728,479.85626,2301.784	325.91272,384.52872,2249.5498	275.32413,274.09036,2296.3452	319.3992,475.38715,2349.0542	358.64246,255.33202,2100.6892	331.6007,246.80069,1974.6876	
308.6361,128.09859,2426.2976	305.52237,176.18823,2387.942	269.35034,170.34879,2334.4688	272.17734,234.79124,2140.9795	305.52237,176.18823,2387.942	340.10986,181.7719,2441.415	354.8142,238.02592,2364.2847	302.1279,226.52179,2353.763	275.26892,276.08798,2285.9097	277.2851,386.09763,2208.244	321.32925,280.5249,2353.2583	265.09003,480.62598,2289.262	327.05762,387.81244,2232.045	275.26892,276.08798,2285.9097	319.72006,478.529,2335.726	360.67108,258.10654,2095.2334	335.3196,251.29248,1957.1112	
309.19586,130.72028,2421.081	306.37704,179.24721,2386.6284	270.06638,173.8059,2334.346	272.26987,236.9943,2139.9768	306.37704,179.24721,2386.6284	341.13095,184.45523,2438.911	356.39594,241.08377,2357.15	303.03122,229.82341,2356.357	276.244,279.70078,2293.1887	280.46356,389.64282,2204.0425	322.3012,283.67502,2358.9822	265.56787,480.4228,2305.0918	328.40515,390.82492,2253.4883	276.244,279.70078,2293.1887	318.17117,478.5758,2367.288	364.87555,259.6406,2084.5854	337.38574,253.61276,1952.6116	
309.4022,133.71341,2418.9543	307.25488,182.1794,2385.777	270.7859,177.58655,2334.7642	268.3101,235.83087,2151.9602	307.25488,182.1794,2385.777	342.19696,186.57996,2436.79	359.29678,244.227,2344.5642	304.72614,232.94917,2358.0405	278.74387,283.42606,2298.1924	283.09808,393.33405,2187.1196	324.89453,286.38818,2362.4155	267.0804,480.15872,2311.4934	330.2475,393.59338,2255.4392	278.74387,283.42606,2298.1924	318.86282,481.98077,2363.8984	368.99042,258.3151,2067.668	331.68826,254.4493,1967.7196	
307.8727,133.28464,2425.3828	306.82687,181.43307,2387.9988	270.22882,177.45619,2338.6008	266.2308,233.39915,2164.4778	306.82687,181.43307,2387.9988	341.9415,185.24875,2437.3967	364.7425,243.11954,2329.2314	305.30322,232.06133,2357.1223	280.22354,282.87286,2295.151	281.34027,393.13284,2189.1812	326.63437,285.16367,2357.3408	268.9832,481.0172,2311.3708	326.846,392.5053,2259.705	280.22354,282.87286,2295.151	319.0002,483.16486,2355.2622	372.86804,248.99176,2050.042	326.36923,250.14832,1976.7051	
306.01056,128.12164,2436.6086	305.47797,175.65196,2394.4656	268.8232,171.88506,2346.8496	267.04483,228.4775,2170.2366	305.47797,175.65196,2394.4656	340.70334,179.27199,2442.0815	365.18466,234.97678,2312.5896	304.51483,225.91438,2359.8179	279.90558,276.58255,2295.198	277.7574,385.76767,2225.7893	326.5392,278.73914,2355.1423	266.8457,480.58072,2296.6003	323.05554,385.21594,2286.5613	279.90558,276.58255,2295.198	315.98218,479.59955,2350.9958	369.30927,234.00363,2030.6316	325.1464,240.97844,1982.3448	
304.09747,122.87283,2441.739	303.74582,169.88156,2397.5269	267.0517,166.09332,2350.659	267.11896,222.07732,2175.6233	303.74582,169.88156,2397.5269	339.03284,173.52454,2444.3948	362.63962,225.07544,2298.7937	302.98364,219.8865,2360.497	278.5095,270.34857,2293.9663	275.04135,378.86926,2247.6409	325.2909,272.59363,2352.9683	266.6487,477.6643,2287.919	319.70392,378.3556,2306.5	278.5095,270.34857,2293.9663	314.87952,476.601,2335.2437	361.28906,223.9641,2015.5913	323.53827,234.85333,1990.7213	
301.1935,118.39557,2452.801	301.68695,164.32968,2402.9175	265.02374,160.67851,2355.9407	266.83704,215.44269,2172.1414	301.68695,164.32968,2402.9175	336.9441,167.84085,2449.8943	358.33453,218.23639,2269.8835	301.63773,213.80428,2360.3955	277.82385,264.02994,2288.3018	272.58722,372.16492,2258.484	324.75082,266.13147,2347.4453	269.13492,472.17786,2291.0034	317.93994,371.59366,2314.9114	277.82385,264.02994,2288.3018	315.525,471.8499,2325.395	355.43335,220.2606,1987.5156	322.2823,231.0798,1991.269	
