246.01285,147.67874,2515.312	255.97263,194.30368,2502.1877	227.39621,195.81363,2388.7878	183.76488,239.22783,2305.9102	255.97263,194.30368,2502.1877	282.07117,192.92467,2615.5876	288.31818,253.87311,2615.9111	267.24963,241.64961,2482.398	261.41028,293.55685,2391.2	279.99332,395.77853,2276.0378	295.03058,286.17032,2534.0164	264.69257,474.59296,2426.2039	344.1709,199.7521,2346.332	261.41028,293.55685,2391.2	433.2245,256.43216,2263.973	300.39896,310.64642,2493.5854	209.22415,190.69809,2110.3308	
246.30014,149.5777,2515.0894	256.3055,196.02124,2502.0942	227.99512,197.53854,2387.471	182.39342,238.36134,2298.4583	256.3055,196.02124,2502.0942	282.1357,194.63687,2616.7175	287.13348,255.67447,2616.8772	267.80896,243.3142,2481.7056	262.3978,295.22473,2389.174	280.78738,398.60458,2271.6462	295.6339,287.775,2533.4597	264.90863,476.69885,2425.0657	343.69867,199.91199,2351.5188	262.3978,295.22473,2389.174	443.22803,234.2729,2252.839	298.01215,313.7038,2505.902	211.04323,188.8776,2107.7395	
246.70511,151.29044,2516.4763	256.89166,197.74173,2502.29	228.57912,199.41483,2387.8127	181.76012,238.42831,2295.737	256.89166,197.74173,2502.29	282.72696,196.21503,2616.7673	286.72604,257.32544,2616.8315	268.83148,244.89177,2480.4116	263.88058,296.80722,2386.478	282.1854,400.8941,2267.4714	297.1131,289.17834,2530.5884	264.5782,477.4463,2426.6921	344.31122,200.36989,2360.135	263.88058,296.80722,2386.478	448.1656,210.46823,2247.7952	296.54303,316.34943,2516.3118	212.08041,187.9264,2103.7224	
248.7926,152.46677,2524.634	258.40903,198.67053,2506.6619	230.8728,199.31404,2389.0005	181.5971,238.32991,2290.3318	258.40903,198.67053,2506.6619	283.47607,198.08472,2624.3232	286.66647,259.0664,2624.334	269.8307,245.76228,2481.1213	264.80624,297.20233,2381.4568	286.7679,393.2664,2249.5623	297.196,290.66238,2529.7048	264.41675,470.16376,2406.5852	347.06625,208.05412,2368.6025	264.80624,297.20233,2381.4568	444.2591,187.0416,2257.9385	295.5016,318.68805,2533.399	211.62363,187.66565,2094.576	
250.18124,152.73239,2527.752	259.57635,198.85468,2507.31	232.11707,199.10388,2389.3425	183.1267,238.5344,2291.673	259.57635,198.85468,2507.31	284.5679,198.62785,2625.2776	287.11935,259.61758,2625.26	270.72598,245.95026,2479.9224	265.46802,297.2282,2378.2976	289.75964,387.83948,2240.099	297.80243,291.15112,2526.7717	264.12823,466.13306,2389.107	347.7563,210.29926,2374.411	265.46802,297.2282,2378.2976	438.63126,163.98949,2270.0696	295.10123,319.77438,2543.0793	213.20778,187.3805,2097.3123	
252.16084,153.2883,2522.3467	260.845,199.76306,2503.2957	232.51224,200.31427,2389.3362	183.96104,238.77309,2291.3804	260.845,199.76306,2503.2957	286.71048,199.25983,2617.2551	288.75793,260.4559,2617.2246	271.5017,247.09744,2476.6558	265.11206,298.6982,2378.2397	290.90286,387.65045,2231.6138	298.68472,292.40848,2521.792	263.66074,464.57465,2386.6372	347.3955,211.13628,2378.9758	265.11206,298.6982,2378.2397	429.80054,145.34064,2291.4595	296.02408,321.23584,2543.0159	215.88113,188.42444,2098.3628	
253.47823,154.54843,2518.1067	262.121,201.22153,2499.0237	233.29051,201.92229,2387.349	183.66193,240.39197,2296.202	262.121,201.22153,2499.0237	288.485,200.58072,2610.6982	290.12708,261.9429,2610.663	272.61847,248.68549,2471.8647	265.7334,300.48868,2374.42	293.46902,388.13446,2219.923	299.98035,294.10297,2514.9917	264.68445,463.74176,2380.9353	347.51318,211.67177,2383.8933	265.7334,300.48868,2374.42	424.0433,134.39699,2304.4233	296.72687,323.2226,2543.697	213.41608,191.10056,2097.713	
254.70038,154.75479,2516.9646	262.66022,201.7657,2498.6514	233.9512,202.0519,2386.2593	184.04347,241.06937,2299.0925	262.66022,201.7657,2498.6514	288.89767,201.50415,2611.0435	290.21118,262.86612,2611.0085	272.40982,249.4185,2471.8328	264.80096,301.16827,2374.2783	292.5101,386.49017,2218.2573	298.95752,295.23672,2515.75	263.08517,461.4937,2381.8716	345.09006,212.0146,2390.876	264.80096,301.16827,2374.2783	417.55945,128.30682,2320.8245	296.1564,324.3785,2550.61	212.06583,192.37183,2095.439	
255.34799,154.74008,2515.8987	262.78998,201.83064,2497.7388	234.20088,201.86891,2384.6428	182.36401,247.59557,2321.5356	262.78998,201.83064,2497.7388	288.90225,201.79568,2610.8347	289.9531,263.16763,2610.8025	272.11273,249.60765,2471.3394	264.1247,301.33707,2373.7544	293.14948,386.61487,2214.7043	298.158,295.661,2516.1255	261.89136,461.00513,2378.586	345.403,213.30887,2390.433	264.1247,301.33707,2373.7544	416.81998,124.881165,2324.4084	295.301,324.8461,2556.3508	205.70187,200.26863,2118.7612	
255.12222,154.7732,2516.8826	262.5025,201.8375,2497.4114	234.09767,201.5974,2383.3079	182.06674,250.2032,2331.2688	262.5025,201.8375,2497.4114	288.4252,202.05663,2611.515	289.26562,263.41577,2611.4863	271.79993,249.58519,2469.6187	263.89774,301.19495,2369.9978	294.00214,386.7674,2211.3694	297.72525,295.80325,2513.654	261.05624,461.40735,2371.6067	346.84415,214.51837,2388.1492	263.89774,301.19495,2369.9978	418.74628,124.3664,2320.052	294.06525,325.1886,2562.4126	205.32391,203.96921,2129.7932	
255.0057,154.2734,2515.859	262.2827,201.46167,2496.4656	234.10031,201.02135,2381.233	182.02693,246.37314,2317.122	262.2827,201.46167,2496.4656	287.9782,201.86313,2611.6982	288.65048,263.22003,2611.6736	271.36102,249.28236,2469.0718	263.37326,300.8588,2369.1367	292.1369,385.10223,2215.6882	296.91626,295.64816,2514.2192	261.59637,461.618,2370.925	348.2461,215.81165,2388.9175	263.37326,300.8588,2369.1367	421.54224,126.052666,2320.8254	292.9594,325.05377,2567.4587	207.27025,201.07611,2113.469	
255.20811,153.83182,2515.3457	262.2101,201.1206,2496.988	234.05661,200.56717,2381.6	181.41272,241.08148,2298.0522	262.2101,201.1206,2496.988	287.87653,201.62515,2612.376	288.41415,262.9674,2612.355	270.87717,249.03961,2470.6807	262.4713,300.6069,2371.7375	290.65845,384.74475,2218.3801	295.99417,295.52426,2517.009	261.7647,461.30798,2375.8503	348.77728,217.10822,2387.534	262.4713,300.6069,2371.7375	426.24078,129.82866,2318.4304	292.28723,324.82196,2572.5269	212.09528,195.62607,2104.1843	
254.59714,153.3617,2516.5935	261.63574,200.40685,2497.2913	232.98804,200.0206,2384.0828	182.59465,238.65724,2292.5254	261.63574,200.40685,2497.2913	287.79877,200.75958,2610.4998	288.22916,262.14676,2610.4822	270.41147,248.27394,2470.4016	261.78552,299.85843,2372.2307	289.37213,382.77136,2216.8965	295.97775,294.68167,2514.7932	261.79874,459.2731,2377.6787	350.1657,216.98024,2386.3435	261.78552,299.85843,2372.2307	433.69913,135.14096,2306.6094	291.71432,324.05527,2574.612	214.1153,191.94043,2096.7444	
254.43779,151.4976,2516.2107	261.3254,198.56009,2497.4124	232.89175,197.9588,2383.1301	181.7829,236.05203,2287.2478	261.3254,198.56009,2497.4124	287.2707,199.10876,2611.6946	287.6148,260.46835,2611.6802	269.84286,246.48238,2471.4568	261.092,297.97763,2373.5615	288.3215,381.15735,2218.025	294.99298,293.01224,2517.441	261.38773,457.2852,2381.8992	348.46167,214.26503,2398.3176	261.092,297.97763,2373.5615	441.57886,144.52536,2298.5776	290.74164,322.33282,2579.3792	215.33197,189.63312,2094.029	
254.7073,149.8768,2523.5134	261.48492,196.52,2502.3162	233.89595,195.05087,2384.7034	181.74847,234.88596,2290.6025	261.48492,196.52,2502.3162	286.59686,197.85722,2619.929	286.8713,259.0243,2619.917	269.6837,244.3075,2474.113	261.11642,295.2864,2371.8235	288.76202,378.98535,2216.1287	294.02963,291.23053,2519.9963	262.22562,455.71722,2378.8901	345.46143,210.95682,2405.1824	261.11642,295.2864,2371.8235	449.92346,161.0451,2287.0225	289.66742,320.67206,2590.8335	212.16885,188.65034,2085.862	
254.5585,148.42578,2527.7004	261.29266,195.04976,2504.4907	233.62532,193.28606,2387.1602	183.42125,232.66647,2291.324	261.29266,195.04976,2504.4907	286.4837,196.65561,2621.8213	286.70306,257.77872,2621.8115	269.36285,242.74652,2474.7275	260.6092,293.49384,2371.1272	288.28333,377.82318,2221.2039	293.65192,289.826,2518.8015	261.99548,456.0172,2376.6313	342.21304,207.4429,2408.966	260.6092,293.49384,2371.1272	455.26105,182.19028,2273.6057	289.21536,319.35846,2595.6272	214.40984,185.869,2086.2166	
254.75595,146.90973,2530.7986	261.3825,193.46165,2505.2256	233.67615,191.40126,2388.0552	182.47543,230.03784,2289.1882	261.3825,193.46165,2505.2256	286.613,195.33792,2622.396	286.78845,256.44775,2622.3882	269.32196,241.09814,2474.0947	260.38666,291.64502,2369.2144	283.18768,386.50494,2244.1628	293.53998,288.3518,2516.7134	260.81445,464.92712,2396.678	337.5676,199.7276,2403.4211	260.38666,291.64502,2369.2144	455.15506,206.07849,2268.241	289.04913,317.98645,2598.816	216.25739,183.11469,2089.3577	
254.29956,145.43817,2530.8157	261.138,191.77713,2505.8616	233.52719,189.95793,2388.2783	182.5891,228.10687,2289.583	261.138,191.77713,2505.8616	286.2738,193.43326,2623.4448	286.41406,254.51875,2623.4385	269.47037,239.35568,2476.0232	261.03333,289.9474,2372.1665	280.04852,390.05084,2261.757	293.98166,286.35132,2520.2031	262.25958,469.51498,2410.0425	336.31985,194.91866,2403.7185	261.03333,289.9474,2372.1665	448.3725,230.02322,2277.1282	288.44424,315.9985,2602.2188	217.26111,181.46115,2094.8657	
254.35927,144.14474,2531.3132	261.13055,190.50705,2507.0237	233.51164,188.6196,2389.5088	181.73877,226.89352,2291.2754	261.13055,190.50705,2507.0237	286.27618,192.22548,2624.5386	286.38834,253.28555,2624.5334	269.28867,238.10283,2477.7646	260.66064,288.64148,2374.5312	276.8946,391.4314,2269.531	293.6269,285.1367,2522.48	260.42645,470.93,2417.5066	336.3541,193.72379,2395.4033	260.66064,288.64148,2374.5312	438.0831,252.0675,2283.6082	288.21402,314.71082,2605.4326	216.03471,180.35371,2093.771	
254.2236,143.68713,2531.5693	261.00565,189.99898,2507.251	233.51497,188.00024,2389.1782	182.44756,232.51057,2313.12	261.00565,189.99898,2507.251	286.02356,191.81792,2625.3237	286.11328,252.85976,2625.3196	268.9638,237.64249,2478.5757	260.2069,288.1522,2375.5706	276.04428,392.13055,2271.65	293.01428,284.7535,2524.2302	260.28012,471.37814,2421.2402	337.0456,195.37115,2383.327	260.2069,288.1522,2375.5706	426.58978,270.82556,2296.9294	287.75363,314.2432,2608.1267	207.98221,186.33722,2104.0845	
254.9375,144.1527,2531.698	261.6432,190.5162,2508.374	234.4521,188.51903,2389.2695	181.6485,236.64221,2323.5444	261.6432,190.5162,2508.374	286.3691,192.33234,2627.4785	286.44083,253.32413,2627.475	269.43585,238.22092,2481.0269	260.7046,288.76715,2378.6968	277.83432,392.97656,2276.0884	293.10953,285.31628,2528.6626	261.0167,471.69733,2426.3882	339.3384,198.04019,2377.737	260.7046,288.76715,2378.6968	415.47134,285.30698,2314.0383	287.91748,314.6385,2611.9998	206.62845,190.72153,2120.6787	
256.0227,144.58974,2531.2644	262.6613,191.22797,2510.7112	235.50064,189.56311,2391.8225	183.24062,234.83641,2316.2605	262.6613,191.22797,2510.7112	287.366,192.74231,2629.5999	287.4233,253.68492,2629.5972	270.23373,239.02847,2486.4138	261.30396,289.7491,2387.272	277.37787,394.09326,2281.4666	293.62476,285.91232,2536.961	261.7473,471.6742,2437.4998	340.1777,199.56073,2374.467	261.30396,289.7491,2387.272	404.8772,295.67993,2331.1174	288.75613,314.9297,2615.6685	209.97943,189.29958,2117.1252	
257.58945,144.9751,2531.0686	263.57465,191.71622,2513.2761	236.21739,190.1852,2395.511	185.35217,231.00645,2296.6423	263.57465,191.71622,2513.2761	288.4829,193.1102,2631.0413	288.52872,254.01944,2631.039	270.54117,239.63763,2491.4695	260.8429,290.4339,2395.5232	276.38873,394.6455,2284.861	293.43994,286.49496,2543.8025	260.57333,473.7029,2432.3347	340.5177,202.15324,2371.934	260.8429,290.4339,2395.5232	395.85355,302.18585,2339.7593	289.73264,315.2103,2618.5024	215.23993,185.28639,2104.3445	
258.40445,146.01422,2531.9968	263.5451,192.77359,2513.1067	235.55551,191.2533,2398.0833	186.03398,233.04417,2310.3613	263.5451,192.77359,2513.1067	289.0847,194.1608,2628.1301	289.1214,255.13751,2628.1284	269.8611,240.81851,2491.8325	259.04526,291.66083,2398.1252	275.0324,395.77148,2284.355	292.54437,287.83313,2542.9915	259.5901,476.2685,2424.409	340.5837,203.85805,2360.7253	259.04526,291.66083,2398.1252	388.90686,307.645,2337.638	290.20847,316.3799,2616.845	215.49779,188.67174,2112.5544	
259.57513,146.21878,2523.4556	264.15424,193.2634,2506.8958	235.08244,191.99323,2396.9246	186.45769,232.81508,2318.7131	264.15424,193.2634,2506.8958	290.78262,194.4268,2616.867	290.81207,255.66597,2616.8655	270.1639,241.48483,2485.7495	258.2974,292.54672,2395.3123	277.18793,396.21878,2279.498	293.27267,288.6309,2533.8943	260.08417,476.2725,2420.9507	343.26633,204.5347,2358.6526	258.2974,292.54672,2395.3123	386.71722,309.34763,2330.109	291.8011,317.1539,2606.7102	216.0947,189.41202,2118.0415	
261.00497,145.70966,2519.1462	264.65543,193.13513,2505.0823	235.58829,191.57938,2394.9006	186.85362,231.52794,2308.856	264.65543,193.13513,2505.0823	291.27338,194.55981,2615.264	291.29697,255.83652,2615.2627	269.8206,241.53181,2485.662	257.09567,292.5341,2396.92	281.32904,387.29526,2271.6814	292.05588,288.94803,2535.564	259.22867,466.66168,2414.1052	341.51794,204.19562,2380.0605	257.09567,292.5341,2396.92	381.78647,309.20627,2341.7888	292.18918,317.34247,2606.1226	219.31943,188.87662,2114.57	
261.69287,145.7525,2525.0042	265.16046,193.31026,2508.615	236.59483,191.4741,2396.3044	185.57986,233.55602,2321.4282	265.16046,193.31026,2508.615	291.27792,194.98904,2620.9255	291.2967,256.1334,2620.9246	270.35907,241.60806,2487.8164	257.97375,292.4382,2396.3223	286.84653,383.13843,2265.0225	292.3323,289.09796,2537.7134	261.0219,462.95285,2402.4165	342.74777,204.41301,2385.2761	257.97375,292.4382,2396.3223	382.149,309.25287,2343.1404	292.09784,317.48776,2612.6985	213.55338,191.23502,2117.7935	
262.32758,145.98839,2527.939	265.73172,193.34357,2511.022	237.35062,191.37184,2398.0466	185.98784,233.1629,2315.714	265.73172,193.34357,2511.022	291.66895,195.1455,2623.9973	291.68393,256.21826,2623.9966	270.9051,241.58488,2489.558	258.60745,292.31073,2396.989	288.5763,379.99106,2263.456	292.74582,289.11197,2539.1995	262.15903,459.7872,2401.7522	343.31302,203.89008,2391.0596	258.60745,292.31073,2396.989	381.80402,309.30115,2344.4917	292.4051,317.4828,2616.593	217.2818,190.76299,2121.5603	
263.33783,145.3511,2529.3733	266.72763,192.72104,2514.2085	238.89923,190.4405,2399.1475	187.98112,230.30704,2302.8367	266.72763,192.72104,2514.2085	292.1204,194.80199,2629.2695	292.1323,255.75229,2629.269	271.4831,240.96092,2493.5095	259.0962,291.50934,2400.37	289.1603,376.93872,2265.7712	292.55978,288.59286,2545.251	262.18475,456.63382,2404.3699	342.8799,203.10248,2400.821	259.0962,291.50934,2400.37	380.77808,308.9535,2352.5374	292.78113,316.8757,2622.6057	221.12437,186.8619,2110.544	
264.1721,145.26999,2531.1165	267.28406,192.62376,2515.1235	238.91411,190.5056,2402.7021	190.4932,227.86935,2296.4243	267.28406,192.62376,2515.1235	293.22635,194.56067,2627.545	293.23584,255.55098,2627.5444	271.9696,240.85843,2494.5686	259.15295,291.4262,2403.231	289.5592,377.22284,2271.5627	293.33508,288.4482,2544.7964	260.79236,457.0201,2405.1685	344.77512,203.82837,2398.964	259.15295,291.4262,2403.231	380.8726,310.5179,2352.3223	293.82263,316.69873,2621.5474	225.74307,183.08585,2107.3516	
264.87662,144.10468,2540.4612	267.61685,191.13788,2520.0051	239.8729,188.05745,2405.2007	192.68909,225.22441,2287.1824	267.61685,191.13788,2520.0051	292.94305,193.94984,2634.8096	292.95056,254.772,2634.809	271.74948,239.21497,2495.8027	258.70093,289.21466,2399.3066	282.58588,384.06232,2290.3594	292.2441,287.30832,2543.894	259.87558,466.69327,2410.832	344.54718,203.91103,2395.3083	258.70093,289.21466,2399.3066	376.7272,311.93512,2363.4873	293.47656,315.73508,2629.4116	230.50565,179.7688,2101.0398	
266.2232,142.15436,2536.6433	268.11728,189.26863,2518.1396	240.50195,185.90128,2402.7256	194.25296,221.52762,2286.5806	268.11728,189.26863,2518.1396	293.31216,192.34082,2633.5537	293.3181,253.19199,2633.5535	271.56702,237.47034,2495.6216	257.89505,287.37216,2400.4714	277.9918,386.30087,2320.732	291.28345,285.77438,2545.7356	259.7852,473.30255,2412.407	346.6317,205.80017,2401.4895	257.89505,287.37216,2400.4714	372.91284,315.95602,2377.079	293.7924,314.16843,2628.6958	233.5835,176.60403,2096.426	
267.46393,137.3128,2551.6772	268.69022,183.99911,2528.1003	242.22646,179.43181,2408.8894	197.19089,217.682,2288.7253	268.69022,183.99911,2528.1003	292.77063,188.15506,2647.3113	292.7753,248.68999,2647.311	271.26788,231.9599,2503.5625	257.35098,281.01324,2403.9146	272.96182,381.63715,2350.96	289.46912,280.73547,2554.1348	262.10553,472.39618,2417.2085	346.5782,204.99739,2411.0103	257.35098,281.01324,2403.9146	364.22015,325.95712,2400.9941	293.19897,309.3301,2642.9392	237.52786,174.32553,2095.7344	
267.7997,134.45392,2559.2637	269.0736,180.85936,2533.1582	243.02719,175.8848,2412.564	201.32336,215.04657,2292.8518	269.0736,180.85936,2533.1582	292.75278,185.3818,2653.7524	292.75644,245.7698,2653.7522	271.33502,228.71574,2508.539	257.36542,277.43073,2408.0393	270.40826,378.99274,2365.4116	288.95215,277.6055,2559.8005	263.84647,471.16553,2422.8762	350.2968,274.6495,2417.292	257.36542,277.43073,2408.0393	359.0742,343.27386,2414.6057	293.13675,306.2485,2649.8176	243.48238,172.28775,2102.6753	
268.53592,132.63608,2563.5698	269.83096,178.70853,2535.446	243.6973,173.53647,2415.3894	203.55954,211.95874,2293.439	269.83096,178.70853,2535.446	293.6016,183.41292,2655.5027	293.60446,243.76111,2655.5024	271.85477,226.51306,2510.701	257.50406,275.03348,2410.122	268.81952,377.31415,2366.5806	289.3618,275.49115,2561.7896	264.2689,467.76413,2439.2615	368.7783,304.0281,2315.319	257.50406,275.03348,2410.122	380.57043,405.5644,2309.3367	293.94763,304.1888,2651.9612	246.75159,171.32623,2100.4048	
269.40717,131.62474,2565.7136	270.65417,177.27142,2537.5542	245.18837,171.81494,2415.285	204.65274,215.02133,2313.2126	270.65417,177.27142,2537.5542	293.7787,182.22624,2659.8235	293.78094,242.4764,2659.8235	272.59714,225.02406,2512.6763	258.61163,273.36942,2410.6787	268.6168,375.8296,2373.735	289.58612,274.0723,2564.918	264.42392,467.2489,2438.8623	345.38586,333.19165,2439.3848	258.61163,273.36942,2410.6787	346.5513,367.637,2433.1646	294.08945,302.79688,2656.6365	244.78802,174.31438,2114.1958	
269.89587,130.2729,2567.3086	271.43857,176.0051,2541.0366	247.02481,170.63608,2415.3425	204.61423,216.91638,2324.1252	271.43857,176.0051,2541.0366	293.55087,180.86798,2666.7307	293.5526,240.96208,2666.7307	273.69897,223.72354,2518.0283	260.7649,272.0973,2415.7915	268.75336,374.45172,2384.5078	290.2994,272.53305,2574.2485	264.46542,466.05313,2446.088	339.00845,345.77316,2464.3887	260.7649,272.0973,2415.7915	337.12,387.72778,2451.374	293.82925,301.11792,2663.8623	243.87256,177.17776,2126.5605	
271.0126,129.1965,2576.0833	272.31668,174.72253,2547.6426	248.59457,168.99289,2420.0762	206.65776,218.21786,2328.5579	272.31668,174.72253,2547.6426	293.77643,179.90576,2675.209	298.34097,233.14818,2682.504	274.47958,222.28061,2523.7114	261.8892,270.3286,2419.4622	265.75192,372.81683,2387.4363	290.5575,271.1437,2580.0984	263.60992,464.833,2446.1829	335.34875,351.1062,2461.3215	261.8892,270.3286,2419.4622	327.72855,406.93805,2458.3784	310.7998,284.47223,2595.7466	246.40442,178.34802,2131.6733	
271.93848,128.4384,2580.9746	273.32254,173.98964,2552.9243	250.23753,168.17471,2423.6523	207.75409,220.3478,2345.2773	273.32254,173.98964,2552.9243	294.18234,179.24403,2682.1963	300.90793,230.75053,2697.9314	275.53564,221.45222,2529.349	263.4121,269.36475,2424.3936	264.98257,371.85114,2390.1658	291.26404,270.22318,2587.1543	263.62274,463.92282,2448.3098	331.99814,354.25613,2460.8699	263.4121,269.36475,2424.3936	320.662,421.06177,2472.7842	324.8537,274.0165,2556.1997	247.96637,182.11075,2151.7114	
272.66327,129.67606,2582.916	274.25253,175.14297,2553.8835	251.08646,169.43384,2424.9797	208.23178,218.5069,2344.6487	274.25253,175.14297,2553.8835	295.1924,180.30348,2682.7874	302.95154,231.18901,2707.383	276.47235,222.6023,2530.4067	264.30737,270.5627,2425.7954	263.93323,373.2663,2385.7632	292.2556,271.314,2588.0645	262.8396,465.16614,2446.4907	331.10275,356.3177,2435.1155	264.30737,270.5627,2425.7954	311.4435,430.06274,2496.788	335.65936,262.72562,2534.2524	250.7377,184.77461,2156.681	
272.89227,129.73694,2583.8762	275.05206,175.10376,2553.8076	251.09103,169.53915,2427.6396	212.896,220.57347,2349.8123	275.05206,175.10376,2553.8076	296.75705,180.14444,2679.9756	304.52454,230.54474,2713.6057	277.5119,222.50989,2529.1553	265.07697,270.4782,2425.0469	264.9273,373.26462,2384.6726	294.0443,271.1975,2583.959	262.05722,465.50284,2442.5435	334.40384,352.55188,2418.4775	265.07697,270.4782,2425.0469	306.20007,427.90384,2508.0308	343.07703,250.41817,2524.7332	253.49084,185.80203,2163.2039	
273.72296,130.11797,2584.8606	276.14307,175.47772,2555.0781	251.67886,170.1572,2430.794	216.7457,224.32518,2356.3987	276.14307,175.47772,2555.0781	298.3377,180.30466,2679.3623	304.68695,229.52391,2719.776	278.8481,222.84111,2530.1938	266.35904,270.87482,2427.072	266.36377,373.50375,2389.525	295.93124,271.39954,2583.547	263.74673,466.91608,2436.3125	323.5916,359.96826,2441.5632	266.35904,270.87482,2427.072	301.12366,438.76324,2537.6208	347.11987,239.32619,2528.6067	255.62964,189.62885,2174.8396	
274.41922,131.38646,2585.347	277.57016,176.87563,2555.791	252.8435,171.94826,2432.601	220.43582,228.04498,2364.1877	277.57016,176.87563,2555.791	300.02274,181.34984,2678.981	309.9846,224.00316,2698.3213	280.97577,224.1621,2530.248	269.07166,272.3567,2427.1633	270.38647,375.05743,2387.6077	298.9064,272.4659,2582.2468	264.29495,468.94626,2428.9575	313.6019,365.47766,2464.5645	269.07166,272.3567,2427.1633	296.8721,447.39517,2553.1519	355.22327,201.37701,2540.7783	257.44162,193.19441,2186.5942	
274.61053,132.24448,2585.5522	278.41724,177.6713,2555.5696	252.66367,173.36627,2436.455	224.43948,229.41455,2370.5493	278.41724,177.6713,2555.5696	301.87698,181.59288,2674.684	313.3179,240.30615,2691.0574	282.39572,224.91591,2529.878	270.43018,273.35855,2429.142	271.33588,376.262,2380.932	301.549,272.9146,2579.2305	263.58392,469.33734,2429.84	305.51025,368.115,2475.3977	270.43018,273.35855,2429.142	287.42535,449.03912,2573.2454	359.993,229.5021,2509.421	261.26996,194.97086,2192.981	
275.50555,132.9154,2586.185	279.75363,178.39223,2557.6306	252.91025,174.77701,2443.5024	226.1536,232.43394,2381.7488	279.75363,178.39223,2557.6306	304.3037,181.6986,2671.7588	316.2953,222.71147,2714.6199	283.981,225.6216,2533.0005	271.58374,274.30914,2436.4722	273.66287,377.11755,2378.9712	304.06784,273.27737,2580.2686	263.2654,468.8779,2436.2783	300.1901,369.22498,2486.6687	271.58374,274.30914,2436.4722	280.06378,451.12775,2574.5532	354.15085,208.49518,2534.2083	263.26926,198.39755,2205.7703	
275.92798,133.57495,2594.5115	280.37677,178.7946,2563.382	252.98444,175.28381,2452.043	228.52545,235.00534,2383.3586	280.37677,178.7946,2563.382	305.4886,182.0131,2674.7212	319.6676,239.4938,2717.7397	284.88187,225.80342,2536.256	272.41925,274.33746,2439.0762	276.045,377.15607,2372.124	305.6225,273.3475,2579.184	262.59824,469.1535,2426.5298	295.4335,369.33154,2495.4917	272.41925,274.33746,2439.0762	275.0242,452.83722,2570.267	361.83063,236.29814,2509.2595	267.36343,200.86287,2213.004	
