377.73102,124.201,2622.8777	377.83093,169.24117,2591.851	343.21686,170.68646,2617.9478	323.12857,237.35176,2635.7075	377.83093,169.24117,2591.851	413.14914,167.76648,2565.7544	404.4496,212.29034,2450.7075	378.34277,214.47897,2559.8604	357.1253,261.19583,2543.7927	362.5542,355.54016,2530.95	400.88556,260.52347,2511.9465	369.37155,445.66574,2535.5425	411.67053,357.1242,2447.8733	357.1253,261.19583,2543.7927	435.1905,445.13443,2475.1938	362.6716,197.16402,2287.8198	348.50433,212.07126,2408.9702	
377.98172,124.12104,2621.4878	378.03564,169.23074,2590.8374	343.35086,170.54475,2615.148	322.77097,237.04099,2642.1074	378.03564,169.23074,2590.8374	413.37747,167.89185,2566.5269	403.1189,212.27983,2450.3599	378.5284,214.51787,2559.5444	357.27682,261.21555,2543.0764	362.50125,355.46234,2533.548	401.04663,260.63318,2513.4265	369.28683,445.3625,2539.89	411.62842,357.2425,2446.0056	357.27682,261.21555,2543.0764	435.22177,444.8919,2476.9768	359.8235,197.95813,2288.9368	345.92752,212.82393,2409.3457	
378.41983,123.864334,2620.2876	378.4208,169.21893,2590.8213	343.67133,170.34186,2612.675	325.4587,232.57712,2621.5415	378.4208,169.21893,2590.8213	413.7615,168.0769,2568.9675	401.15753,212.43085,2443.1846	378.866,214.53261,2560.1284	357.5408,261.16888,2542.7642	362.44263,355.29565,2536.7266	401.33395,260.72073,2516.107	369.59772,445.64264,2535.9863	412.00385,357.25854,2445.266	357.5408,261.16888,2542.7642	434.8647,444.61456,2480.7344	361.45963,195.1306,2259.507	346.1378,210.18326,2381.6975	
378.8706,123.20628,2619.7744	379.78027,168.53789,2589.5957	344.92822,169.8526,2603.8945	325.65958,226.46371,2589.357	379.78027,168.53789,2589.5957	415.01935,167.20857,2575.2969	402.13068,210.89932,2423.6765	381.10092,213.80388,2557.7698	360.58456,260.71942,2534.6743	365.50122,355.2771,2525.5664	404.4768,259.6981,2517.2134	372.16388,445.66995,2529.5618	415.33118,356.19287,2441.3867	360.58456,260.71942,2534.6743	437.61996,443.87994,2476.65	360.7424,193.58504,2233.838	345.4192,207.10353,2343.7612	
379.28348,122.79723,2619.4695	380.55304,168.07028,2588.9429	345.6517,169.42764,2598.6074	325.85052,223.62733,2582.2046	380.55304,168.07028,2588.9429	415.7159,166.70273,2579.2783	402.26437,211.34618,2396.3662	382.32324,213.29602,2556.2285	362.267,260.3312,2529.4072	364.0773,354.06378,2541.2183	406.114,259.05453,2517.621	370.08417,444.4292,2512.4836	414.03656,355.6877,2440.0881	362.267,260.3312,2529.4072	435.98117,443.87982,2472.272	355.20172,196.77524,2222.2812	344.46454,207.91846,2328.9624	
379.53125,122.89042,2619.3154	381.26242,168.12476,2588.6272	346.35837,169.69707,2594.8909	325.88086,220.8318,2559.6182	381.26242,168.12476,2588.6272	416.33582,166.54482,2582.3635	409.71207,214.18779,2433.0723	383.60202,213.36058,2556.3682	364.14383,260.5985,2527.9292	364.39783,354.87094,2531.2415	407.92523,258.90427,2520.289	370.01672,444.45636,2529.1755	415.19403,355.47086,2433.4983	364.14383,260.5985,2527.9292	436.49005,442.93048,2475.305	368.74487,210.62753,2238.9119	343.95728,208.36775,2299.8113	
379.7099,123.15782,2619.2324	381.56284,168.47443,2588.168	346.6568,170.14862,2592.8647	326.61295,218.17116,2534.7979	381.56284,168.47443,2588.168	416.5958,166.79413,2583.4712	413.55905,218.76164,2457.258	384.16846,213.72,2556.025	364.98645,261.06204,2526.7466	363.46417,355.74518,2522.1655	408.7441,259.1719,2521.017	369.0511,444.64093,2537.7866	415.14868,355.65912,2422.043	364.98645,261.06204,2526.7466	436.81552,442.35333,2472.712	377.84268,225.66714,2251.1465	342.27554,208.26193,2268.9963	
380.33237,122.631035,2610.6943	381.72308,168.49628,2586.1074	346.77243,169.9465,2591.3098	327.91257,218.14728,2518.4124	381.72308,168.49628,2586.1074	416.8146,167.04019,2580.905	415.86304,221.9798,2476.4004	383.89673,214.027,2559.806	364.32806,261.29178,2536.6782	361.9084,355.96677,2523.1008	407.95758,259.7124,2530.3306	367.73093,443.904,2551.5098	414.88748,355.78018,2424.3652	364.32806,261.29178,2536.6782	437.94138,442.3415,2472.4482	385.04065,238.31065,2266.1638	343.7443,212.09369,2251.6416	
380.55933,123.11369,2598.421	381.75897,169.32901,2580.7666	346.7227,170.61957,2587.1929	322.281,217.49069,2489.7249	381.75897,169.32901,2580.7666	416.97015,168.03198,2574.3408	417.1595,225.07338,2488.917	383.53085,215.2047,2561.4045	363.60107,262.43704,2545.963	361.3833,357.34955,2513.137	407.1255,261.11942,2538.1216	368.4633,444.3744,2554.147	416.10065,356.60205,2419.512	363.60107,262.43704,2545.963	441.2838,443.4124,2461.798	390.7163,249.72502,2280.4417	345.9879,214.02472,2237.3394	
381.10904,123.52091,2591.275	382.27502,169.94653,2577.9407	347.19495,171.1728,2585.3516	324.27588,220.30205,2489.3564	382.27502,169.94653,2577.9407	417.55734,168.71317,2570.5298	418.32904,227.11465,2501.2617	383.87238,215.95807,2560.9966	363.7713,263.1772,2548.5745	362.52786,358.45398,2489.4087	407.2881,261.98572,2539.5305	368.95206,444.07526,2550.6924	419.1295,356.92664,2408.1658	363.7713,263.1772,2548.5745	446.59277,444.44467,2442.1694	395.8248,258.80276,2298.7778	343.65292,219.00294,2232.5342	
