280.38278,130.20746,2473.5469	276.39337,185.2738,2445.9814	245.04358,184.94872,2453.252	229.6711,245.68616,2410.9934	276.39337,185.2738,2445.9814	307.93008,185.60083,2438.711	328.98712,241.56021,2461.2363	275.48157,228.3275,2438.0764	253.58932,271.27243,2435.0002	233.32513,373.05405,2434.399	295.6219,272.0517,2425.3425	214.9418,456.65887,2538.9778	322.24026,371.06415,2349.399	253.58932,271.27243,2435.0002	346.66904,460.71136,2405.0942	293.2189,240.58426,2218.3015	227.79129,231.04109,2120.0554	
280.39612,129.99728,2471.9622	276.40363,185.05319,2444.2664	245.12387,184.63542,2448.9932	229.33083,246.07187,2400.087	276.40363,185.05319,2444.2664	307.8046,185.47256,2439.5396	329.21796,241.5389,2461.087	275.4841,227.7912,2436.545	253.75018,270.4129,2431.9463	233.69656,373.2116,2434.877	295.4209,271.19,2425.7007	214.59984,456.77875,2540.6335	322.48062,370.90833,2348.6614	253.75018,270.4129,2431.9463	346.70322,459.40863,2406.5332	294.93887,241.06358,2220.4731	222.50621,234.90897,2170.8152	
280.4515,129.84906,2471.0496	276.75522,184.97821,2442.2217	246.07153,185.18143,2455.9832	228.88965,246.60898,2415.0825	276.75522,184.97821,2442.2217	307.78665,184.7727,2428.4602	331.01315,241.34467,2444.9717	276.5427,228.93335,2440.7324	256.96216,272.7593,2447.9016	233.7396,372.4126,2423.389	295.83566,273.1263,2430.5847	214.5282,457.20764,2524.0547	323.1142,373.162,2360.1785	256.96216,272.7593,2447.9016	345.50705,459.63312,2416.44	298.87396,239.58693,2204.1858	224.8324,229.31581,2166.5923	
280.418,129.84447,2470.5186	276.8133,184.93437,2441.4424	246.36618,185.25198,2460.6228	225.10641,248.04834,2448.9663	276.8133,184.93437,2441.4424	307.74258,184.61174,2422.262	332.3649,241.18854,2437.0234	276.87082,229.15247,2445.6267	258.3455,272.99332,2461.5212	233.33746,371.54312,2414.4856	295.6893,273.4478,2438.1008	214.61319,454.04446,2498.5364	322.53558,373.12762,2364.882	258.3455,272.99332,2461.5212	343.88885,458.3955,2414.9243	305.41547,237.15797,2185.957	222.27663,226.99475,2138.6064	
280.31512,129.8686,2469.1694	276.02386,185.51044,2435.2407	244.83957,186.13562,2453.795	226.18657,247.43127,2442.3005	276.02386,185.51044,2435.2407	307.687,184.87566,2416.6865	335.39465,240.55879,2429.225	276.67108,229.75261,2442.141	258.03986,273.7195,2460.5376	234.46222,372.15723,2406.4377	296.77124,273.77167,2437.5454	214.4425,455.57007,2502.4636	322.38727,372.4463,2368.772	258.03986,273.7195,2460.5376	345.65088,457.86975,2399.2476	311.59653,234.20198,2153.13	222.05615,225.33229,2151.183	
280.2987,129.78096,2466.928	276.78815,185.47952,2433.96	245.28583,185.7808,2455.8662	226.08937,247.23366,2438.2253	276.78815,185.47952,2433.96	308.86264,185.17276,2412.0537	338.37506,239.4837,2429.2122	276.91144,229.89107,2440.7842	257.31134,273.74896,2461.353	234.36185,371.65326,2407.1235	296.97955,274.36444,2433.8638	214.83514,453.83807,2498.1343	322.34418,372.5508,2368.2869	257.31134,273.74896,2461.353	345.52893,458.43567,2389.2957	320.73822,231.75261,2148.2922	214.71051,228.33817,2174.8992	
280.34073,129.61348,2464.9124	277.32843,185.49992,2433.345	245.31396,185.39905,2455.2998	223.23026,245.81404,2435.9873	277.32843,185.49992,2433.345	309.92587,185.60263,2411.3901	340.9919,239.25595,2424.4128	276.9416,229.61986,2440.824	256.95212,272.92664,2461.7861	234.67154,371.5714,2410.7073	296.37918,274.01984,2434.8198	214.51956,454.33893,2503.792	322.29053,372.59906,2365.7903	256.95212,272.92664,2461.7861	345.6489,459.5639,2394.3315	330.71075,230.1264,2141.5923	228.60258,226.81763,2241.4338	
280.15533,129.64536,2462.6667	277.75854,185.72066,2434.2402	245.26546,185.16931,2454.668	219.29865,243.45082,2426.0615	277.75854,185.72066,2434.2402	310.8016,186.28134,2413.8125	344.3242,239.10329,2411.2969	276.72876,228.79283,2439.688	255.27356,270.87628,2458.004	234.70393,372.54935,2414.3293	296.34976,272.47833,2432.2676	214.42575,455.47314,2503.859	322.46396,371.37912,2359.1782	255.27356,270.87628,2458.004	345.2664,458.18954,2390.0105	341.4985,227.47752,2122.9287	228.46243,224.63074,2227.2979	
279.57266,129.49811,2456.4717	277.98703,185.91205,2433.693	245.3417,185.49997,2456.0269	217.20612,238.59123,2445.352	277.98703,185.91205,2433.693	311.23706,186.33179,2411.3594	345.96164,238.47162,2411.139	277.16864,229.16272,2440.308	256.11105,271.4372,2460.8057	234.54626,372.0189,2413.9844	296.82928,272.93033,2433.0405	213.63058,455.03485,2499.682	323.1577,372.38855,2359.6702	256.11105,271.4372,2460.8057	346.94547,459.07263,2382.7139	356.22916,228.11638,2104.841	221.98114,225.95808,2241.8452	
279.35974,129.46855,2452.7117	278.51672,186.34933,2429.347	245.09888,185.9556,2454.189	216.86594,234.38179,2476.2192	278.51672,186.34933,2429.347	312.62506,186.75119,2404.505	361.25687,232.246,2402.3984	277.74088,229.43681,2436.4944	256.93835,271.51456,2458.566	231.97108,370.7613,2414.0857	297.2469,273.03925,2428.7178	213.34236,454.45786,2500.8564	323.72583,372.76196,2359.5752	256.93835,271.51456,2458.566	344.6939,456.90942,2412.6963	368.07556,227.40451,2102.1062	214.50754,227.32724,2260.4722	
