301.61115,122.13399,2331.0483	297.88,172.8477,2306.7385	259.62738,167.52396,2261.7244	231.32431,226.71043,2172.7651	297.88,172.8477,2306.7385	334.6682,177.96762,2351.7527	354.42657,234.80502,2346.795	293.49854,225.4711,2288.353	264.63046,276.90613,2241.6218	245.53821,386.0824,2217.726	312.85953,280.9374,2298.3132	229.23224,491.07605,2217.7148	326.10925,387.85577,2279.5454	264.63046,276.90613,2241.6218	364.43073,479.2513,2316.3687	352.48462,227.01466,2070.426	264.72372,282.97696,2046.219	
302.34354,121.920555,2335.4382	298.0146,172.4107,2307.9448	259.9778,166.47916,2260.466	229.81824,224.31683,2150.3574	298.0146,172.4107,2307.9448	334.51794,178.10312,2355.4236	354.02304,236.31079,2355.3916	293.09265,224.90747,2287.584	263.7544,275.98944,2237.331	246.6911,385.80872,2211.0723	311.77707,280.64346,2297.1152	230.67574,491.67206,2206.836	327.2674,387.4046,2276.1765	263.7544,275.98944,2237.331	366.99387,478.42416,2312.564	354.57578,227.70287,2077.2642	265.09042,281.81833,2037.8398	
302.8265,122.70702,2338.132	298.31778,172.74185,2308.0103	260.63022,166.23207,2256.0212	229.8009,220.79572,2121.6511	298.31778,172.74185,2308.0103	334.34485,178.96481,2359.9993	354.77014,236.55905,2353.6904	293.07913,225.13628,2285.1428	263.563,275.996,2229.5347	248.18768,386.63568,2199.6997	311.21652,281.10986,2295.016	230.69989,491.4812,2206.1428	327.85117,387.7684,2274.8506	263.563,275.996,2229.5347	366.46292,478.98218,2313.6309	356.15448,227.71535,2077.2104	265.3208,281.0011,2022.6892	
303.39835,123.77364,2339.977	299.0333,173.68881,2308.1543	262.00662,166.61041,2248.6582	228.62527,218.87628,2108.8044	299.0333,173.68881,2308.1543	334.1991,180.41147,2367.6504	352.4028,238.88841,2356.33	293.60855,226.0346,2284.0361	264.27325,276.7693,2222.4233	249.40488,387.88342,2192.2256	311.0861,282.137,2297.4126	231.83574,492.02808,2206.916	328.60904,388.5499,2277.2896	264.27325,276.7693,2222.4233	366.12997,479.64325,2319.2158	353.45874,227.4023,2081.2856	265.33804,278.82776,2004.2732	
303.7782,124.63217,2347.434	299.6925,174.01082,2311.1245	263.5926,166.33762,2243.2114	225.21811,218.07207,2103.4106	299.6925,174.01082,2311.1245	333.73135,181.24594,2379.0376	351.19458,240.40848,2351.6887	294.36014,226.1838,2283.829	265.63898,276.76093,2213.7383	250.29001,388.53534,2178.192	311.2928,282.37067,2299.329	232.0481,491.0793,2208.3335	329.36136,388.73343,2276.803	265.63898,276.76093,2213.7383	367.12567,479.54492,2320.1975	351.128,225.51549,2079.8015	265.3496,273.87067,1981.765	
304.22406,125.61532,2351.1428	300.15643,174.45316,2313.8342	265.12463,166.28226,2237.4727	225.76924,209.19016,2075.2097	300.15643,174.45316,2313.8342	332.94986,182.10194,2390.1958	350.789,240.32416,2351.3333	294.79886,226.5477,2285.9294	266.7309,277.01456,2209.924	250.02357,388.96478,2171.138	310.94492,282.72348,2306.1252	232.13132,490.27484,2212.6648	328.60678,388.91165,2282.1487	266.7309,277.01456,2209.924	367.62418,479.60828,2320.8086	348.8837,224.38765,2084.3694	267.87003,265.44067,1956.0796	
304.53052,126.607346,2346.454	300.22696,175.90793,2313.197	267.0979,167.41992,2224.295	229.363,197.8791,2039.0865	300.22696,175.90793,2313.197	330.9038,183.76767,2402.099	349.5664,240.6758,2350.5928	294.70004,228.13518,2288.728	267.69507,278.7762,2208.1167	249.86626,390.84772,2166.0547	309.37875,284.0749,2320.4014	231.88,491.8277,2211.334	327.1411,389.8349,2291.1782	267.69507,278.7762,2208.1167	366.66763,480.4344,2325.898	346.05875,223.37381,2089.1504	271.6101,256.45612,1928.5071	
304.7709,127.893036,2350.153	300.5904,177.35616,2318.1116	268.5835,168.75961,2222.5771	233.99622,187.88661,2012.0598	300.5904,177.35616,2318.1116	330.06354,185.27217,2413.646	348.56378,238.8737,2355.2747	295.06918,229.52206,2294.6292	268.9151,280.19882,2211.1174	250.63837,392.51614,2158.5146	308.8958,285.20233,2331.176	231.42014,491.44608,2217.1667	328.25558,390.80057,2285.7795	268.9151,280.19882,2211.1174	369.02188,481.14606,2320.0945	343.11725,222.72485,2095.0742	277.65085,245.14743,1904.6544	
304.1932,129.60469,2345.5017	300.02124,179.54176,2318.4365	268.33704,171.21414,2220.2292	229.57677,174.34271,2004.5247	300.02124,179.54176,2318.4365	329.1303,187.19255,2416.6438	346.48413,237.85173,2356.6348	294.5202,231.79349,2297.3276	268.6513,282.70767,2214.5215	248.78995,395.10214,2149.6775	308.11328,287.1993,2337.916	230.08984,492.88104,2218.1013	327.4059,393.004,2278.9658	268.6513,282.70767,2214.5215	368.57025,483.34058,2314.2432	338.05573,221.84805,2098.7314	278.81866,226.08415,1903.7014	
304.09225,132.11258,2351.18	299.7682,181.65047,2325.9875	268.38834,173.38354,2226.3923	232.11082,161.49312,2000.7544	299.7682,181.65047,2325.9875	328.5711,189.2385,2425.5828	359.80496,236.70013,2252.9407	294.26025,233.75246,2304.9272	268.56024,284.5701,2221.2424	248.29901,397.02896,2141.653	307.6689,288.94077,2346.4915	229.63068,492.6951,2223.9705	327.25897,394.62903,2277.8662	268.56024,284.5701,2221.2424	368.27966,483.68628,2322.654	319.62808,220.7781,2115.28	286.04025,202.19992,1886.7053	
