325.45837,118.74721,2512.734	324.96313,164.66397,2474.9993	291.10757,160.03014,2421.6975	302.04294,211.74898,2281.0398	324.96313,164.66397,2474.9993	357.3912,169.10243,2528.301	374.03403,238.39862,2533.221	324.11557,212.29105,2436.9966	301.23932,259.80154,2365.2004	282.36414,348.55414,2497.441	344.6317,263.00742,2432.7874	279.7898,446.92728,2404.674	353.44232,360.99203,2452.3384	301.23932,259.80154,2365.2004	382.50006,454.85916,2408.9846	360.21292,225.09016,2275.3367	354.41782,190.97098,2114.672	
325.85767,118.873116,2513.02	325.08774,164.88455,2475.3796	291.26895,160.26733,2421.651	299.97568,212.70486,2288.0076	325.08774,164.88455,2475.3796	357.46964,169.3056,2529.1084	374.1974,238.6908,2536.3796	324.25345,212.5516,2437.901	301.42703,260.10522,2366.359	282.9947,349.757,2491.5515	344.74445,263.26422,2434.4854	281.1185,448.5142,2395.6343	355.37488,361.37628,2447.311	301.42703,260.10522,2366.359	383.70944,455.274,2409.9526	360.24353,225.57455,2278.4653	352.25034,193.02567,2116.58	
326.21198,118.57383,2513.7756	325.3589,164.53271,2476.2737	291.57294,159.78699,2422.485	299.9059,213.49266,2286.003	325.3589,164.53271,2476.2737	357.70825,169.07666,2530.0623	373.463,239.31383,2533.9517	324.35852,212.18095,2438.7964	301.37708,259.63168,2367.2168	282.52808,349.5561,2489.4087	344.66205,262.95407,2435.4214	281.10767,448.3182,2396.167	355.19635,361.08154,2447.8276	301.37708,259.63168,2367.2168	383.999,455.5955,2399.0571	360.032,225.91635,2275.5212	353.0263,193.63832,2117.085	
326.1593,118.23605,2506.182	325.23633,164.79634,2472.5962	291.27838,160.32329,2420.1064	295.70508,214.01573,2295.9946	325.23633,164.79634,2472.5962	357.7825,169.08344,2525.086	373.972,242.14139,2543.393	324.2547,212.65495,2437.6577	301.22513,260.37262,2369.4382	282.8701,350.3455,2491.1575	344.6623,263.39633,2436.0002	280.54492,449.05603,2398.1038	355.356,361.9297,2440.2102	301.22513,260.37262,2369.4382	383.62558,455.78528,2406.8972	360.66086,225.87587,2288.1733	349.7711,197.37714,2129.4795	
326.23492,118.20623,2509.8572	325.26984,164.46149,2474.9265	291.45044,159.7555,2421.2812	296.87888,213.7668,2289.493	325.26984,164.46149,2474.9265	357.6542,168.96779,2528.5718	373.98404,243.60867,2550.1372	324.12982,212.24002,2439.4197	301.0157,259.77325,2369.9004	282.8586,349.97394,2490.1648	344.2844,263.04047,2437.9253	280.2565,448.80316,2393.9	354.01627,361.66248,2441.0483	301.0157,259.77325,2369.9004	383.69855,454.95255,2409.3127	361.44968,226.98929,2294.4788	352.9132,197.04343,2127.9685	
327.17133,117.63485,2512.1306	325.63922,163.92685,2475.3835	291.84732,158.79785,2422.1091	298.47498,214.01964,2286.2502	325.63922,163.92685,2475.3835	358.00726,168.83975,2528.658	374.96655,241.80428,2550.695	323.88986,211.65852,2439.7002	300.14374,258.86465,2370.2388	282.74023,350.8695,2475.4717	343.42526,262.6959,2437.795	279.90616,449.8875,2391.565	353.0099,361.60333,2435.8003	300.14374,258.86465,2370.2388	382.899,454.7589,2408.0542	361.69873,230.1654,2292.2266	353.917,198.80469,2116.9414	
327.30634,118.288284,2504.8074	325.7865,164.72148,2469.8867	291.87265,159.78094,2416.9993	294.0745,212.34653,2281.6199	325.7865,164.72148,2469.8867	358.27838,169.45488,2522.7742	372.12775,237.84763,2543.348	324.06268,212.68141,2436.316	300.30643,260.16254,2369.2148	284.7761,354.0529,2459.1055	343.6699,263.75043,2436.2754	280.7342,453.2076,2388.8113	354.01538,363.1712,2422.537	300.30643,260.16254,2369.2148	383.84912,455.8274,2407.427	361.00787,234.29561,2282.4583	351.2015,200.01485,2121.4692	
327.82935,118.95778,2500.6584	325.98163,165.42401,2466.711	291.96512,160.36624,2414.855	290.78702,212.453,2273.8198	325.98163,165.42401,2466.711	358.59738,170.27351,2518.567	373.2207,232.32625,2533.1748	323.7801,213.5381,2435.306	299.49335,260.99512,2371.0232	284.79883,357.30975,2433.748	342.9543,264.7719,2436.7786	278.25717,454.00964,2409.1497	354.467,364.5071,2411.7449	299.49335,260.99512,2371.0232	382.78137,456.84906,2409.8137	361.0745,237.4096,2278.4329	349.43063,202.07877,2119.0405	
328.41013,120.39794,2498.615	326.14948,166.669,2464.6	291.92953,161.37111,2415.878	286.3701,210.5187,2262.9539	326.14948,166.669,2464.6	359.04266,171.76147,2513.3223	378.13657,228.14944,2521.6108	323.12448,214.87613,2435.0864	297.86765,262.11798,2374.6743	284.12872,360.14673,2415.9082	341.62088,266.35986,2436.4712	277.61432,455.67432,2416.3328	355.47714,366.2583,2398.4912	297.86765,262.11798,2374.6743	382.15622,458.37576,2408.9736	362.5878,241.89436,2279.2773	347.21634,206.20421,2128.7422	
329.09097,121.202034,2498.558	326.6055,167.64438,2463.6096	292.36523,162.22018,2415.2908	286.7275,208.81868,2242.4817	326.6055,167.64438,2463.6096	359.5285,172.85986,2511.9285	381.8872,227.28235,2510.3054	323.36722,215.86261,2433.8225	297.87503,263.03653,2373.4048	286.3604,362.54813,2399.1836	341.66437,267.45862,2434.666	279.658,457.89056,2410.8809	358.8612,367.1944,2387.7773	297.87503,263.03653,2373.4048	382.74136,459.63507,2406.3662	365.624,245.9885,2276.2244	350.77023,207.0171,2123.825	
