307.69043,126.457664,2474.7014	302.16006,174.18158,2450.871	266.06,168.57968,2414.242	252.10428,222.03764,2300.7942	302.16006,174.18158,2450.871	337.197,179.61852,2487.5002	348.30444,246.82602,2437.2644	296.69867,223.55263,2432.0784	268.07886,271.08917,2390.2139	278.1997,374.43408,2361.9146	313.7885,276.24673,2436.3574	276.23358,470.90637,2392.418	326.7899,378.86383,2334.5054	268.07886,271.08917,2390.2139	323.01886,473.88644,2384.3667	367.8244,311.33823,2311.498	297.55014,203.70067,2109.0896	
311.58783,126.91397,2469.2278	305.21786,174.51892,2444.6006	269.30655,168.1112,2404.3179	252.19792,220.82283,2294.3599	305.21786,174.51892,2444.6006	339.96484,180.71889,2484.8833	349.9746,246.1321,2437.5637	298.80878,223.94444,2427.016	269.37326,271.08292,2384.0764	278.09415,374.6306,2360.5354	314.76144,277.0372,2434.7869	276.2496,472.0629,2382.935	327.74777,379.6834,2321.2578	269.37326,271.08292,2384.0764	320.2408,474.41003,2375.592	373.09048,309.18213,2314.4167	299.9237,207.61873,2105.7527	
316.38995,128.38443,2457.95	308.84344,176.06969,2435.1392	273.22656,168.699,2390.1506	251.21812,219.15427,2286.6274	308.84344,176.06969,2435.1392	343.16815,183.17296,2480.1277	353.73926,246.73499,2438.6423	301.10394,225.5827,2421.2231	270.55737,272.19125,2378.9792	277.6692,375.52057,2367.199	315.4641,279.0642,2435.635	276.42523,473.85226,2378.5579	327.62656,381.92316,2324.716	270.55737,272.19125,2378.9792	317.79547,476.6302,2376.487	378.16217,309.26196,2311.1558	301.82935,211.36043,2107.583	
322.71048,129.36267,2452.8015	313.77866,176.65991,2428.2239	278.6295,167.9343,2379.4253	254.20917,217.88528,2276.2412	313.77866,176.65991,2428.2239	347.54288,185.04173,2477.0225	358.6723,248.58284,2433.6863	304.30396,226.01152,2414.5166	272.253,271.69745,2370.0803	278.0028,375.4278,2360.279	316.6213,280.049,2431.5383	276.7579,472.85938,2382.507	327.28888,383.33295,2325.5884	272.253,271.69745,2370.0803	316.39322,479.3871,2365.474	385.57352,310.58368,2308.3674	305.87143,215.63356,2099.564	
329.59735,130.66193,2442.2683	318.7869,177.61826,2418.9207	284.02676,167.51367,2368.3416	256.52673,218.23665,2268.6272	318.7869,177.61826,2418.9207	352.12317,187.30891,2469.4998	363.55786,251.65419,2428.7112	307.23087,226.75336,2407.9272	273.34476,271.2986,2365.0945	277.88983,374.9427,2362.2375	317.21017,281.24753,2428.7732	275.44385,472.46942,2382.8865	326.67944,384.81348,2331.0364	273.34476,271.2986,2365.0945	313.68607,481.8109,2359.004	392.76517,314.71805,2308.035	309.10983,221.08444,2095.2737	
337.37747,134.2073,2429.1375	323.98846,180.40277,2406.093	289.54205,168.50027,2357.703	261.0737,218.23615,2257.9836	323.98846,180.40277,2406.093	357.07666,191.83595,2454.4832	369.1657,255.37785,2417.3325	309.63083,229.0666,2396.9897	273.09012,271.86627,2357.405	275.9517,375.97287,2353.5881	316.6809,284.1795,2418.368	274.87195,472.80634,2383.5452	325.2435,388.36807,2327.611	273.09012,271.86627,2357.405	311.75415,486.59174,2345.786	399.3224,321.06772,2309.198	313.57422,227.47891,2086.787	
345.54507,138.43625,2408.0317	329.38678,184.02783,2389.6672	295.41797,170.20554,2342.18	265.44537,219.60416,2249.1755	329.38678,184.02783,2389.6672	362.03186,197.31148,2437.1545	375.08066,260.03995,2407.0466	311.92334,232.03993,2384.9172	272.62616,272.79315,2350.2615	275.66354,376.96503,2351.0188	315.61407,287.5093,2410.073	275.1823,473.77036,2382.281	323.42,392.0193,2332.6558	272.62616,272.79315,2350.2615	311.39,490.56497,2347.8467	404.43988,328.42728,2301.1716	318.6279,233.88394,2081.0967	
353.85605,145.39218,2389.527	334.75113,190.37555,2371.3108	301.3638,174.49155,2325.8672	269.84744,222.00543,2234.2515	334.75113,190.37555,2371.3108	366.88284,205.6622,2416.7544	382.12793,267.16275,2392.5215	314.20013,237.57883,2366.7776	272.10455,276.1515,2333.6196	274.87564,381.27832,2331.0723	314.52203,293.56403,2390.8691	273.02283,475.9565,2383.9639	323.26218,398.7531,2325.313	272.10455,276.1515,2333.6196	310.9285,497.7873,2338.587	408.54956,338.92416,2293.7063	324.25308,241.64107,2073.2588	
362.0435,154.61237,2367.51	339.4261,198.31195,2351.5002	306.7782,179.94675,2312.2466	276.9071,229.77605,2216.5425	339.4261,198.31195,2351.5002	371.00186,216.07407,2390.754	388.08337,277.26562,2377.474	315.19528,244.17767,2346.9214	269.80606,279.64758,2317.5837	272.77524,385.19934,2319.9163	311.49277,300.5766,2367.1013	269.2256,477.20807,2393.576	320.54224,406.1034,2322.626	269.80606,279.64758,2317.5837	308.20486,505.37054,2334.6953	412.466,351.96976,2281.7808	333.48956,252.00485,2059.4375	
371.2566,165.65417,2346.8364	345.22864,208.00208,2333.979	313.79773,187.10625,2297.5005	284.51266,239.3048,2199.0723	345.22864,208.00208,2333.979	375.6922,228.25479,2370.4575	393.36603,289.55588,2363.2336	317.20676,252.07031,2331.1926	268.829,284.0069,2305.4292	271.1761,389.4787,2316.9268	309.01013,308.24197,2351.3833	264.95987,480.22742,2398.1409	320.95465,412.86948,2331.072	268.829,284.0069,2305.4292	307.48672,511.73184,2342.0176	416.96832,365.89035,2274.8647	343.61707,264.08124,2042.6685	
379.78268,177.64996,2321.2993	350.3816,219.23239,2316.9548	320.0765,196.54903,2278.8767	290.51202,247.00668,2184.1853	350.3816,219.23239,2316.9548	379.70667,241.18222,2355.033	398.66638,305.35107,2349.8625	319.30692,261.6269,2321.0312	268.82428,290.62817,2301.1638	267.76172,395.83167,2317.8416	307.46033,316.84732,2349.0515	255.57208,482.36243,2417.7952	321.92563,420.5978,2340.4778	268.82428,290.62817,2301.1638	306.2016,517.53,2360.1208	423.06177,383.9688,2267.5437	352.61676,274.96948,2033.5574	
