341.43274,121.19369,2448.94	339.80844,168.99568,2433.9282	304.10593,166.72131,2406.27	288.53888,218.76953,2358.181	339.80844,168.99568,2433.9282	374.70862,171.21896,2461.5864	403.2038,237.94656,2444.426	338.2557,218.46513,2424.9583	313.94998,267.581,2398.4456	297.21265,368.01587,2377.4658	359.105,269.01242,2433.531	287.56735,458.94052,2435.2068	367.62616,370.2116,2374.6616	313.94998,267.581,2398.4456	384.21558,461.18866,2422.9734	401.6136,255.15228,2187.7837	308.87317,222.91008,2107.3066	
339.68054,122.34961,2449.6758	338.73453,170.28598,2431.7148	302.80276,168.62549,2409.224	289.23615,223.74962,2338.5503	338.73453,170.28598,2431.7148	374.0077,171.91606,2454.2056	402.97174,239.2045,2419.1643	337.77722,219.84636,2421.5898	313.901,269.35684,2397.203	293.52045,369.40283,2370.6824	359.4533,270.28348,2425.7268	286.92142,461.54785,2422.4548	366.0628,372.1407,2361.3044	313.901,269.35684,2397.203	385.2184,463.4317,2407.346	392.98996,262.11197,2177.006	309.39365,224.80463,2081.9712	
338.58536,124.26906,2441.0767	338.02454,172.42712,2427.9966	301.92447,171.20627,2408.831	286.02005,226.75186,2345.7495	338.02454,172.42712,2427.9966	373.55917,173.62888,2447.162	403.4525,241.03352,2396.5818	337.32303,222.15926,2421.6147	313.67462,271.88266,2403.0852	291.11633,371.20593,2378.0417	359.33136,272.42303,2427.3806	287.08273,462.98462,2431.6042	363.1713,374.44086,2360.5256	313.67462,271.88266,2403.0852	384.51147,463.6689,2418.361	385.42377,266.37143,2168.308	306.69632,228.42433,2091.4731	
337.6939,126.2972,2435.8154	336.92722,174.84624,2425.0168	300.6813,173.71259,2412.9036	283.68738,228.89975,2357.4014	336.92722,174.84624,2425.0168	372.8128,175.96861,2437.1301	403.0807,243.05792,2375.3171	335.9278,224.6824,2420.7925	311.88467,274.29092,2408.883	285.841,372.87198,2374.6868	357.81906,275.09213,2424.2532	284.8521,464.2207,2433.1047	359.21097,377.4945,2348.424	311.88467,274.29092,2408.883	383.94754,464.69998,2417.113	378.06198,267.93958,2158.9985	304.48553,230.70107,2103.801	
337.24887,128.49977,2441.6707	336.33987,176.83061,2426.695	300.08432,175.78375,2420.819	285.4195,231.46568,2346.2058	336.33987,176.83061,2426.695	372.42026,177.87242,2432.571	403.4626,242.0496,2347.6775	335.2318,226.5947,2419.0337	310.99875,276.1621,2407.6465	284.7227,375.05402,2367.4946	357.16333,277.18634,2415.0981	284.7931,465.54742,2434.4075	358.9166,380.18063,2332.5276	310.99875,276.1621,2407.6465	385.5316,465.41672,2414.3892	370.38895,268.89,2149.6702	305.70587,232.00482,2087.932	
336.64517,131.62007,2445.0708	335.87253,179.72435,2427.914	299.6496,179.02724,2427.8699	281.87167,232.34724,2363.086	335.87253,179.72435,2427.914	372.09412,180.42142,2427.9583	402.94937,241.53348,2326.3245	334.9716,229.46721,2419.0034	310.92938,279.13385,2410.0647	284.32712,378.10474,2364.6365	357.198,280.02194,2410.1208	285.9793,467.9746,2436.4753	357.97797,383.2583,2334.292	310.92938,279.13385,2410.0647	387.19632,467.75824,2414.7031	363.2203,267.06836,2140.8872	303.35056,233.92067,2109.5374	
335.75262,134.57452,2454.781	335.42117,181.8247,2431.462	299.24057,181.37482,2433.2192	278.82114,234.36482,2374.0508	335.42117,181.8247,2431.462	371.65408,182.27525,2429.7046	401.7588,238.5314,2303.1436	334.79935,231.36687,2415.797	310.94116,281.22064,2401.2458	284.2021,380.80157,2350.1943	357.4192,281.8911,2399.0188	284.91068,470.74564,2424.9292	356.95224,385.75977,2317.7542	310.94116,281.22064,2401.2458	387.34937,468.09833,2412.4597	356.4029,262.7097,2133.7927	299.8374,234.66225,2125.4211	
335.26703,136.22958,2468.3052	331.40738,182.87088,2440.1064	296.00296,180.62592,2456.1912	277.4849,236.06294,2385.5332	331.40738,182.87088,2440.1064	367.28165,185.14561,2424.0217	397.32306,232.65129,2284.389	327.29376,231.79248,2418.4124	300.26346,279.73132,2406.9033	278.21457,380.15027,2357.74	346.14285,283.4841,2386.5332	279.2008,469.64807,2433.9434	350.1026,387.5531,2305.6648	300.26346,279.73132,2406.9033	381.64,466.18634,2421.6155	349.48578,256.33667,2126.0464	296.23404,237.61632,2134.2542	
334.81522,138.24164,2474.7332	328.7413,184.55664,2443.3547	294.00015,181.35782,2470.4883	275.69525,235.2376,2387.501	328.7413,184.55664,2443.3547	364.2627,187.82732,2416.2212	392.48428,224.23291,2262.1208	322.3403,233.0985,2418.1992	293.34372,279.88477,2410.2285	279.5784,381.59412,2348.6277	338.59073,285.47714,2375.859	280.68015,470.37817,2431.8264	350.70834,389.37048,2295.2532	293.34372,279.88477,2410.2285	382.80765,466.4145,2420.7222	342.19128,247.92154,2121.4688	294.0456,238.02199,2137.7012	
335.54156,139.11835,2486.7104	328.04276,184.82436,2449.0415	293.67676,181.08002,2481.4026	274.74286,234.1143,2391.281	328.04276,184.82436,2449.0415	363.3291,188.66898,2416.6804	388.32028,214.87064,2231.7126	320.20438,232.88905,2418.6333	289.90173,278.90964,2408.7	281.91083,381.48804,2336.0876	334.81607,285.50232,2367.7502	282.39157,468.6992,2432.615	353.5807,388.82007,2288.3508	289.90173,278.90964,2408.7	384.62808,465.0677,2421.676	333.53516,238.26079,2115.056	292.73993,236.3613,2143.7722	
