428.29312,127.20086,2640.9756	429.68018,172.77582,2626.8767	396.6897,176.20374,2694.4124	375.1683,216.65262,2580.1868	429.68018,172.77582,2626.8767	464.4118,169.167,2559.341	481.95026,226.44003,2532.2444	431.52536,218.04604,2614.4912	412.82394,264.4606,2643.2883	431.37808,353.86923,2613.6587	454.61365,263.01086,2560.923	428.03748,439.661,2587.3928	445.48264,353.25842,2383.444	412.82394,264.4606,2643.2883	452.4168,445.1068,2424.3123	500.83624,216.55917,2284.8987	369.72983,200.6383,2328.0044	
429.85492,125.31322,2639.6018	430.36905,170.5349,2619.9338	397.39883,173.71625,2689.3345	375.60388,214.98279,2574.1067	430.36905,170.5349,2619.9338	465.1335,167.18042,2550.5332	485.16113,226.2971,2533.1729	431.37048,215.81686,2603.3464	411.78192,262.19696,2629.0886	432.9774,350.5345,2622.306	453.67307,261.14496,2544.4294	425.88687,440.3003,2584.4902	443.7318,352.71875,2380.3958	411.78192,262.19696,2629.0886	448.4986,444.04315,2428.6685	507.31128,208.67032,2294.6895	371.32434,200.9553,2318.8135	
431.7098,124.526634,2629.3206	431.6742,169.48671,2607.057	398.12427,172.10475,2670.9338	378.90375,214.91948,2568.9856	431.6742,169.48671,2607.057	466.9095,166.73715,2543.18	486.86624,227.8842,2527.0432	432.09076,214.97691,2589.744	411.5564,261.34634,2611.4185	435.38425,348.33563,2627.7134	454.1145,260.80432,2533.4434	425.7846,443.037,2579.137	443.3129,353.7363,2389.0767	411.5564,261.34634,2611.4185	448.72058,444.95352,2435.1953	513.16376,201.76025,2304.4192	375.7935,199.45572,2310.7432	
433.41104,123.41356,2606.2744	433.5191,169.08408,2589.935	399.37067,171.2701,2648.323	382.35477,215.4517,2556.4963	433.5191,169.08408,2589.935	469.24274,166.79721,2531.547	486.85773,229.2482,2519.5083	433.78256,214.96237,2575.7556	412.79828,261.44305,2597.1975	436.81262,347.94745,2629.4768	455.899,261.25143,2525.9548	426.66254,445.337,2578.2585	443.85117,354.8531,2393.112	412.79828,261.44305,2597.1975	449.28397,446.1625,2437.0994	517.54626,196.3114,2312.6245	378.14282,198.56737,2301.4119	
435.63885,123.22401,2595.199	435.30432,169.0189,2578.1409	400.91965,170.851,2636.2124	385.05676,216.26349,2535.2349	435.30432,169.0189,2578.1409	471.27368,167.10237,2520.0693	489.22705,230.9227,2506.246	435.10498,215.12949,2564.8457	413.55026,261.59018,2586.9487	432.4728,350.3249,2609.844	456.8577,261.8547,2516.1523	425.54868,446.33545,2579.9966	442.65094,355.3973,2382.5322	413.55026,261.59018,2586.9487	447.54797,446.00348,2436.0012	522.1282,193.32413,2312.2263	377.5041,198.80899,2284.6326	
437.40308,123.72552,2588.7058	436.66357,169.45201,2568.9907	402.37415,171.17155,2631.1482	388.04248,216.81511,2515.149	436.66357,169.45201,2568.9907	472.65344,167.64722,2506.8333	492.115,233.24422,2491.6553	436.00897,215.69798,2554.7773	414.02405,262.1641,2578.4773	427.9949,353.37573,2575.3132	457.3161,262.76773,2502.6506	424.83612,446.1162,2578.135	441.66425,356.50378,2367.277	414.02405,262.1641,2578.4773	447.12366,446.56268,2429.1047	525.85596,193.70793,2301.2341	379.22522,198.10081,2267.7085	
439.86215,124.4091,2569.4084	439.4187,170.61815,2553.8594	405.89203,172.67007,2628.1316	390.12857,216.09863,2494.0398	439.4187,170.61815,2553.8594	474.95386,168.4433,2479.5872	497.61792,233.53389,2468.8003	438.74484,217.2238,2543.0193	417.16785,263.8581,2577.636	419.29602,356.32718,2543.358	459.72662,264.6124,2486.7224	422.22845,440.1794,2575.4426	443.3555,358.67624,2346.8245	417.16785,263.8581,2577.636	448.67654,447.85098,2420.578	527.49725,197.16284,2263.7869	380.5904,196.38567,2253.4814	
441.14566,125.08123,2550.1738	441.3586,172.04843,2541.9705	408.72806,174.3649,2627.1362	394.07324,217.6182,2484.3784	441.3586,172.04843,2541.9705	476.25153,169.57138,2456.8047	503.70306,233.50137,2441.7993	441.03574,218.97185,2536.8687	420.4638,265.62988,2583.7747	408.6172,356.571,2520.929	461.8086,266.55792,2479.759	417.5473,429.8502,2570.9653	443.04987,360.63303,2345.8513	420.4638,265.62988,2583.7747	448.2291,448.789,2427.0022	527.8019,199.78632,2226.8035	382.71225,193.18938,2254.0522	
442.23398,124.87856,2533.5508	443.2207,172.60825,2531.7556	411.17926,175.20027,2624.0107	396.34827,218.658,2473.0586	443.2207,172.60825,2531.7556	477.6856,169.82018,2439.5005	508.85123,233.82791,2416.812	443.55698,219.77028,2531.3918	424.0833,266.49814,2587.2249	400.82733,354.8174,2506.4734	464.60303,267.41394,2474.8313	413.32626,417.47662,2551.4578	443.94485,361.2976,2344.1025	424.0833,266.49814,2587.2249	448.96405,448.93542,2429.422	526.6795,200.41736,2199.5552	385.1162,190.61334,2248.8916	
442.65677,123.73266,2523.7646	444.52673,171.77084,2524.5596	412.92987,174.84541,2621.6174	400.3089,218.86584,2473.4387	444.52673,171.77084,2524.5596	478.6502,168.45042,2427.5017	511.998,233.87418,2397.351	445.65814,219.0739,2525.8643	427.2285,266.065,2586.286	382.4716,336.63892,2460.566	467.2854,266.60382,2468.052	404.3522,403.13748,2517.558	444.21637,360.255,2344.7346	427.2285,266.065,2586.286	449.1192,447.56317,2432.6143	526.5144,197.44199,2179.9668	387.62625,188.40266,2249.2947	
442.89435,121.458145,2519.4229	445.30432,169.66425,2520.513	414.12393,173.10901,2621.288	402.66397,219.04343,2483.1855	445.30432,169.66425,2520.513	479.08185,165.93253,2419.7378	513.261,229.66396,2382.6501	446.87134,217.04446,2522.1821	429.0981,264.24097,2585.256	368.00128,308.88165,2455.7405	468.73883,264.48904,2462.4465	393.7234,387.47913,2488.7366	445.03464,358.61877,2353.863	429.0981,264.24097,2585.256	447.64905,446.84216,2434.3882	526.3079,192.19592,2166.1418	388.18616,187.46506,2261.5603	
443.0896,118.93879,2517.2427	445.9944,166.99393,2517.9844	415.4619,170.92291,2623.2883	404.2379,215.42523,2476.0518	445.9944,166.99393,2517.9844	479.19208,162.72202,2412.6804	514.1012,227.15503,2371.2913	448.03912,214.40692,2519.179	431.08286,261.85187,2584.5881	359.77682,287.42682,2461.725	470.0744,261.694,2456.159	381.9604,373.303,2458.2231	446.61707,356.56525,2371.3108	431.08286,261.85187,2584.5881	447.86047,446.79755,2431.68	526.8166,185.25935,2159.9207	386.7584,184.56781,2261.3535	
443.7364,116.70934,2515.2063	446.5359,164.86472,2515.409	416.7281,168.9298,2625.2944	405.7624,212.53807,2481.541	446.5359,164.86472,2515.409	479.06696,160.42827,2405.5234	514.1577,223.44354,2362.663	448.4293,212.33382,2516.0508	431.7517,259.8359,2583.7097	353.19775,269.8723,2470.8713	469.90778,259.71835,2449.6755	368.1351,361.7947,2424.6204	447.5152,355.36847,2381.3699	431.7517,259.8359,2583.7097	447.97842,446.79993,2429.3562	527.48206,178.29398,2161.2761	385.41983,182.7169,2268.8452	
443.8684,114.91055,2515.6821	446.65964,163.1113,2514.0544	417.31342,167.44351,2626.675	407.55408,209.90405,2481.284	446.65964,163.1113,2514.0544	478.75836,158.37274,2401.4338	516.8787,220.93086,2353.8372	448.5147,210.59167,2512.9678	432.06354,258.2738,2580.5334	350.65027,256.36075,2481.684	469.70795,257.94342,2443.2288	353.66708,349.72504,2389.5586	448.68347,354.3187,2381.8452	432.06354,258.2738,2580.5334	450.36932,446.04718,2427.4475	530.3191,172.86835,2161.3826	383.1086,180.84691,2275.9756	
444.68695,113.959114,2516.9243	447.33572,162.24353,2514.0715	418.40237,166.68973,2629.0547	407.0773,206.95613,2480.659	447.33572,162.24353,2514.0715	479.04254,157.37112,2399.0884	518.63354,219.73767,2343.4277	449.0227,209.71622,2511.8293	432.64246,257.45395,2579.6934	350.61816,245.90929,2494.5483	469.8216,257.0832,2439.481	339.1781,337.4202,2355.4856	449.80835,353.8875,2387.3875	432.64246,257.45395,2579.6934	453.35736,446.1287,2425.9253	532.6569,168.74957,2162.2732	381.88507,179.16788,2275.429	
445.827,114.51798,2515.0579	448.00934,162.60333,2513.0513	419.57288,166.77979,2630.7341	405.65796,205.3041,2484.3604	448.00934,162.60333,2513.0513	479.23996,158.01651,2395.3684	521.26196,219.9621,2333.7488	449.08377,210.11293,2511.0352	432.42126,257.6507,2580.793	350.67316,239.66797,2503.278	468.9433,257.74994,2437.245	325.27618,326.77643,2319.2466	447.17798,354.27203,2382.6655	432.42126,257.6507,2580.793	454.38043,446.66342,2418.622	536.9594,167.84915,2159.7576	381.2604,177.47498,2283.209	
447.17877,115.94435,2514.1182	449.10797,163.98346,2511.3218	421.10526,168.0935,2631.3684	404.39902,204.86221,2488.707	449.10797,163.98346,2511.3218	479.9223,159.46072,2391.2751	523.25653,220.29321,2325.398	449.77737,211.5166,2508.0967	432.9803,259.02737,2578.0808	352.015,237.33592,2509.3525	468.96854,259.32565,2431.6624	316.3311,317.36234,2280.3367	446.6612,355.9963,2370.4075	432.9803,259.02737,2578.0808	456.503,448.00394,2411.0017	540.3248,168.73679,2151.4778	381.8754,175.74759,2284.399	
448.42096,118.18023,2514.1309	450.06268,166.32266,2509.7693	422.52325,170.59518,2632.0977	402.54773,204.39009,2489.3726	450.06268,166.32266,2509.7693	480.42432,161.6123,2387.441	524.21985,222.93185,2320.2058	450.66528,213.85559,2504.3083	434.05682,261.49933,2573.4539	351.97452,250.93173,2456.0742	469.54376,261.69916,2424.241	312.7283,311.61884,2243.3655	444.3049,357.90277,2366.6763	434.05682,261.49933,2573.4539	457.82657,449.60468,2406.1519	541.6216,172.93192,2140.9304	382.1516,174.74953,2282.9043	
