282.0431,132.34224,2507.5486	281.44653,180.21819,2497.4253	245.2991,179.58844,2489.5361	237.82535,239.27516,2386.8547	281.44653,180.21819,2497.4253	317.36633,180.84396,2505.3145	343.74738,237.72522,2513.1924	280.8415,229.2652,2496.038	257.47824,278.16614,2489.6843	254.13797,379.02612,2426.2205	302.9028,278.56662,2499.6174	250.63507,466.21936,2509.0063	306.67603,379.20618,2421.6624	257.47824,278.16614,2489.6843	313.7211,474.49918,2438.8835	335.89145,234.23521,2210.7876	268.4294,238.0511,2544.3923	
280.6963,132.8938,2493.6643	280.94937,181.18169,2489.508	244.77911,181.20467,2485.6663	239.81578,235.6113,2387.046	280.94937,181.18169,2489.508	317.00815,181.15878,2493.3499	342.9186,238.49496,2497.5898	281.15863,230.37526,2494.9758	258.7029,279.46317,2498.0244	254.33496,380.04794,2431.769	303.98718,279.24445,2502.8628	252.00514,467.09094,2514.5366	307.22812,379.80728,2423.9543	258.7029,279.46317,2498.0244	314.75623,474.4235,2446.266	332.34464,236.96257,2197.5862	285.7984,216.3074,2477.0745	
279.07562,133.90088,2487.205	279.81317,182.22232,2484.4006	243.7822,182.82317,2486.9583	239.61465,236.7126,2387.0232	279.81317,182.22232,2484.4006	315.91843,181.62024,2481.843	343.76498,238.0697,2477.7488	280.7163,231.50652,2492.75	259.05856,280.77454,2502.7104	252.93567,381.25247,2429.7627	304.1973,280.1484,2499.4883	251.80307,468.7724,2509.6648	306.47168,380.92212,2419.6748	259.05856,280.77454,2502.7104	314.83835,476.1098,2437.5186	329.20975,239.28117,2180.9104	290.12866,206.85649,2378.8584	
277.2541,134.66412,2483.9482	278.5998,183.07748,2480.4893	242.84091,184.40207,2490.3225	237.51218,236.68954,2392.5764	278.5998,183.07748,2480.4893	314.64334,181.74234,2470.656	343.27475,237.73141,2452.7944	280.38562,232.41672,2489.4912	259.75372,281.98688,2504.6873	253.16815,382.46942,2428.353	304.6748,280.81107,2492.299	252.54935,470.2381,2506.7139	307.66763,381.80725,2417.4568	259.75372,281.98688,2504.6873	315.20377,477.53638,2431.626	322.07022,240.57625,2164.6475	285.2156,204.11887,2296.5508	
274.9575,135.57738,2482.2173	277.11996,183.96826,2476.2778	241.98141,186.35211,2496.773	234.76086,237.61292,2399.354	277.11996,183.96826,2476.2778	312.845,181.54462,2455.7827	342.0581,236.34953,2415.7163	280.18118,233.32776,2484.4968	261.10944,283.35223,2505.6409	253.4572,383.82565,2426.717	305.56555,281.36096,2479.7908	255.66782,471.6981,2504.446	308.5877,382.89758,2405.4883	261.10944,283.35223,2505.6409	315.34384,477.79672,2431.6577	310.3323,241.15558,2149.0664	274.32706,207.30876,2241.7244	
272.04605,136.89423,2489.3237	275.16748,184.59763,2475.4146	240.98544,188.27435,2507.441	223.42508,238.14542,2403.9192	275.16748,184.59763,2475.4146	310.24557,180.82452,2443.3882	339.53033,235.03062,2374.6057	279.51663,233.8653,2477.5596	262.17096,284.5777,2499.8975	252.67761,385.1914,2421.2275	305.90173,281.4926,2459.5117	257.4807,473.99536,2492.7192	308.3844,383.65472,2396.216	262.17096,284.5777,2499.8975	314.6221,478.2764,2428.3186	298.3881,241.05928,2131.8354	228.70938,223.85966,2149.1768	
267.68695,138.08707,2501.6296	271.00574,185.05023,2477.5933	240.06824,190.39687,2534.569	210.21783,238.23758,2379.9685	271.00574,185.05023,2477.5933	303.39963,179.45192,2420.6174	336.50055,233.67052,2329.3894	276.59177,234.06163,2471.263	262.0489,285.3525,2501.2722	250.32819,385.4134,2434.7563	302.96735,281.23633,2428.593	258.04138,476.3194,2483.4346	304.43124,384.51508,2373.8481	262.0489,285.3525,2501.2722	311.12372,479.02884,2413.881	282.52914,234.15132,2132.5083	227.87558,223.95432,2141.694	
264.504,139.08208,2517.286	267.18826,184.86417,2481.6702	239.74158,191.73889,2559.6135	205.58661,239.01747,2522.3699	267.18826,184.86417,2481.6702	296.41495,177.54362,2403.7268	320.9994,228.2712,2266.7256	272.55923,233.45592,2460.7559	260.06613,285.3954,2488.8345	247.99895,386.00388,2421.827	296.71436,280.26297,2390.8486	257.73386,478.89896,2456.7397	300.6267,384.3031,2359.5393	260.06613,285.3954,2488.8345	309.08423,478.3547,2406.7437	255.4668,225.45,2123.6077	213.90009,232.25223,2266.9111	
262.00604,140.1485,2532.129	263.93738,185.09341,2490.238	241.30463,193.0618,2589.7205	211.4655,247.62895,2560.0889	263.93738,185.09341,2490.238	288.45364,176.4619,2390.7556	303.19885,221.98097,2224.5588	269.0838,233.37463,2462.5303	259.2388,285.52075,2497.7622	248.9473,385.57236,2442.5728	290.2578,279.84186,2371.8828	260.02902,478.60516,2468.6187	296.099,382.77124,2371.1694	259.2388,285.52075,2497.7622	309.7357,476.05322,2415.6636	230.78925,222.01892,2132.2512	215.56532,252.63776,2290.4915	
260.61957,140.69493,2549.2908	261.9587,184.85217,2502.7205	247.43541,193.84308,2625.2085	210.79918,248.87111,2622.0542	261.9587,184.85217,2502.7205	277.97678,174.93591,2380.2324	284.2626,217.04034,2196.7139	266.5669,232.67972,2467.8774	261.2409,284.88083,2511.8984	252.00522,384.63013,2450.0315	282.04764,278.67215,2354.1704	262.90668,479.3817,2456.6023	291.43427,382.12982,2354.6433	261.2409,284.88083,2511.8984	308.93094,473.18024,2416.4827	209.3153,218.30731,2155.4282	213.2528,252.43927,2355.0347	
