316.2531,125.39586,2465.0232	314.91708,172.69269,2424.4893	278.2865,172.94008,2439.3723	280.4769,225.60274,2295.7866	314.91708,172.69269,2424.4893	352.00015,172.44226,2409.6062	375.14383,243.34332,2302.1562	313.68872,222.04285,2384.774	288.5363,272.8265,2354.4282	292.09525,375.25293,2379.3157	336.4929,273.30457,2335.689	282.42023,475.01776,2366.3608	336.35913,376.68665,2359.359	288.5363,272.8265,2354.4282	344.7412,479.88535,2318.6301	365.22104,181.64897,2403.1138	300.99466,194.00809,2055.8215	
316.20947,125.12415,2464.4849	314.877,172.29633,2424.0012	278.28262,172.59027,2439.9434	280.41782,225.65085,2295.4019	314.877,172.29633,2424.0012	351.95593,171.99847,2408.059	374.95877,243.66656,2302.7866	313.59454,221.6345,2384.0151	288.40112,272.41992,2354.0654	292.0047,374.76392,2380.4675	336.3408,272.8941,2333.9927	282.06702,474.4455,2367.8977	336.96603,376.29663,2358.4255	288.40112,272.41992,2354.0654	344.3928,479.98682,2312.697	365.81058,181.48007,2400.6553	300.0446,194.33656,2054.2183	
316.26587,125.146996,2464.6907	314.72638,172.26425,2423.6885	278.1324,172.53247,2439.741	278.96625,225.57747,2299.726	314.72638,172.26425,2423.6885	351.80838,171.99245,2407.636	375.10315,243.82373,2300.5193	313.3815,221.58185,2383.2378	288.1146,272.34665,2352.8926	291.3877,375.01532,2375.545	336.0726,272.86057,2332.6816	280.6527,473.7915,2373.484	336.95056,376.7245,2351.2505	288.1146,272.34665,2352.8926	344.5592,479.87924,2315.9307	365.754,181.671,2399.3813	297.50986,195.29861,2055.5789	
316.42307,124.82116,2464.785	314.70892,171.92581,2423.3027	278.17337,172.21353,2440.8237	277.05844,225.6476,2298.8691	314.70892,171.92581,2423.3027	351.7766,171.63388,2405.7817	374.81305,244.12541,2300.6792	313.24197,221.25137,2383.015	287.8863,271.99103,2353.7576	290.83508,374.7198,2375.221	335.78836,272.55853,2331.6965	281.2195,473.1,2378.5186	337.10864,376.66534,2347.3435	287.8863,271.99103,2353.7576	344.18747,479.77966,2315.24	366.09613,181.6416,2397.3936	297.2848,194.83582,2060.5032	
316.81085,124.14795,2464.8325	315.13107,171.19771,2422.7578	278.4995,171.43398,2438.2092	274.5246,223.69662,2300.9353	315.13107,171.19771,2422.7578	352.23288,170.9584,2407.3064	373.10126,241.05974,2304.3462	313.79495,220.50558,2382.109	288.50766,271.26465,2351.188	291.3168,374.11493,2372.6836	336.5167,271.7885,2331.732	282.3803,473.0663,2372.1213	338.10486,376.30048,2341.071	288.50766,271.26465,2351.188	345.7942,479.25604,2313.5833	363.81006,179.16028,2394.7966	296.93732,194.62152,2058.118	
316.96878,124.30407,2465.3325	315.19943,170.94998,2421.807	278.5419,171.12271,2437.0212	272.1339,223.21994,2301.949	315.19943,170.94998,2421.807	352.32047,170.77505,2406.5925	373.32648,243.12291,2296.716	313.81512,220.30673,2381.79	288.4781,271.05408,2351.3506	290.23294,373.65735,2376.5007	336.48523,271.64902,2332.1958	281.9092,473.12567,2369.5112	336.9728,376.70776,2332.0457	288.4781,271.05408,2351.3506	346.40936,479.20404,2312.3176	363.31863,180.37245,2385.6665	294.50006,194.3659,2061.6372	
317.23145,124.21838,2456.5972	315.28864,171.56122,2416.8486	278.6056,171.72134,2433.264	269.33908,222.11925,2303.4746	315.28864,171.56122,2416.8486	352.4734,171.39888,2400.4333	370.36868,237.03056,2284.853	313.87802,221.2266,2380.7876	288.5763,272.08124,2355.0608	291.0004,374.73245,2376.9084	336.48294,272.76105,2334.3923	281.49463,473.74295,2373.4314	336.93396,378.40414,2321.4558	288.5763,272.08124,2355.0608	349.33176,480.08765,2311.419	360.01038,177.16217,2386.3855	294.75443,195.35927,2072.3137	
317.62863,123.48758,2452.7366	316.0244,171.02927,2414.98	279.22302,171.139,2429.212	265.7302,221.31134,2272.8408	316.0244,171.02927,2414.98	353.26212,170.91824,2400.748	372.38303,235.52718,2275.6345	314.83868,220.8869,2382.2402	289.7645,271.82104,2358.4607	291.8778,374.91388,2371.2942	337.65805,272.44937,2340.5403	282.87958,473.54626,2374.433	339.21198,378.48016,2312.6465	289.7645,271.82104,2358.4607	353.29544,478.5816,2318.962	359.05518,175.0645,2377.668	306.1136,196.22049,2079.2625	
318.61993,123.31132,2442.291	317.25052,171.48312,2411.0327	280.46332,171.87631,2427.483	265.68396,222.10403,2255.764	317.25052,171.48312,2411.0327	354.54315,171.08453,2394.5825	371.59836,232.52408,2307.3362	316.45334,221.70615,2384.9146	291.92007,272.85114,2369.151	293.54813,375.89496,2375.4011	339.56616,273.23334,2348.442	283.90787,474.60373,2375.5603	341.98788,379.53302,2303.242	291.92007,272.85114,2369.151	357.8971,479.25684,2314.623	368.47305,180.16782,2468.9321	291.10706,189.07973,2041.0493	
319.53497,123.17656,2444.6086	318.6779,171.22098,2409.6934	282.6235,172.77417,2439.2349	262.26202,224.50142,2326.3801	318.6779,171.22098,2409.6934	355.62726,169.62924,2380.1519	371.20367,233.30351,2314.175	318.29736,221.3277,2380.1533	294.4939,272.90442,2369.2517	294.60687,376.91324,2356.6116	341.69485,272.4798,2331.9749	284.9937,475.37134,2366.617	343.58286,380.03662,2268.4954	294.4939,272.90442,2369.2517	364.46304,478.9459,2291.1233	376.40753,191.65912,2518.4648	274.565,200.85947,2084.235	
320.3738,122.79056,2445.761	320.21008,170.53857,2408.3525	284.93478,173.27399,2449.0237	258.4856,225.75429,2358.1582	320.21008,170.53857,2408.3525	356.6973,167.70918,2367.6814	370.29984,232.96555,2317.9897	320.40417,220.566,2376.4736	297.67773,272.63693,2370.1716	295.5212,376.99768,2349.4583	344.03503,271.25574,2319.0178	286.02014,475.13208,2365.3857	345.8962,379.2246,2264.6128	297.67773,272.63693,2370.1716	366.2912,477.41968,2295.8755	381.98508,203.10272,2550.39	264.33276,208.9497,2101.5918	
321.3691,123.01337,2438.8691	321.58765,171.02097,2402.647	287.1683,174.61574,2454.1035	259.76636,228.72224,2382.095	321.58765,171.02097,2402.647	357.51355,167.26884,2351.191	369.09628,233.84001,2313.7244	322.07178,221.17859,2370.6436	300.17642,273.66,2370.9634	294.7683,378.5017,2334.1301	345.58957,271.73132,2306.317	285.72183,474.8018,2370.556	345.1835,380.0626,2260.5142	300.17642,273.66,2370.9634	366.42822,478.02118,2294.0474	385.6375,215.63654,2561.69	260.40103,216.53372,2116.9312	
