292.62082,120.793396,2399.728	290.5057,169.8808,2370.423	253.10886,166.28532,2326.5212	243.2828,226.53792,2217.3875	290.5057,169.8808,2370.423	326.5425,173.34552,2414.325	326.48618,239.72197,2413.8901	288.7208,221.05864,2346.755	262.95282,272.2283,2295.4011	262.8626,380.39307,2269.1506	310.28217,274.30557,2350.7722	252.17435,477.58234,2318.5564	325.36185,380.30377,2274.9155	262.95282,272.2283,2295.4011	331.95108,477.81842,2323.2947	320.78717,306.2945,2377.9287	312.8848,226.95905,2120.0256	
291.44876,120.49929,2407.338	289.66168,169.50423,2375.232	252.7102,165.46976,2324.0593	242.13684,226.09393,2211.7534	289.66168,169.50423,2375.232	325.05453,173.36853,2426.4045	325.0095,239.41454,2426.0566	287.96664,220.51562,2349.8328	262.55756,271.51413,2292.1602	262.90784,379.60236,2270.5654	309.2631,273.73862,2356.707	251.72095,476.78888,2319.2764	323.4622,379.42303,2288.3186	262.55756,271.51413,2292.1602	329.13794,475.77957,2341.9539	319.90356,305.70053,2393.6233	312.7362,227.19739,2123.2659	
290.402,121.34894,2411.1624	288.73276,169.9583,2376.5398	251.91357,165.77414,2322.9624	240.36697,225.49486,2211.457	288.73276,169.9583,2376.5398	323.9284,173.95795,2430.1172	323.89233,239.90317,2429.8389	287.1386,220.88036,2349.3872	261.90485,271.83673,2288.4678	262.84268,380.042,2268.1074	308.433,274.11655,2356.0015	250.8271,476.922,2318.9712	322.63388,379.77747,2291.3555	261.90485,271.83673,2288.4678	328.70273,477.2418,2335.291	319.3045,306.1276,2400.596	311.5693,227.95709,2126.1396	
289.60947,121.65699,2413.575	288.03714,170.16504,2377.824	251.331,165.9006,2322.4348	239.53883,225.44228,2209.3096	288.03714,170.16504,2377.824	323.0721,174.23535,2433.2131	323.0432,240.09668,2432.9905	286.50345,221.04643,2350.2703	261.38403,271.97696,2287.7815	262.33096,380.05896,2270.5747	307.78485,274.2587,2357.6516	251.50058,477.05173,2320.9204	322.0394,379.78766,2295.5415	261.38403,271.97696,2287.7815	328.7862,476.83978,2341.1616	318.92148,306.25775,2406.6304	311.74872,229.4897,2128.947	
289.39456,121.634476,2414.2815	287.74826,170.09225,2378.1116	251.30766,165.60327,2318.9688	239.80952,224.87709,2205.7366	287.74826,170.09225,2378.1116	322.42032,174.36336,2437.2544	322.39722,240.1155,2437.0762	286.22943,220.96469,2350.5176	261.29144,271.85272,2285.5994	263.38315,380.28815,2262.5962	307.318,274.20105,2360.2478	251.07637,475.43048,2326.5776	321.61813,379.56476,2299.804	261.29144,271.85272,2285.5994	329.11685,476.826,2342.0852	318.6966,306.17444,2413.3196	312.71094,230.15007,2123.5103	
289.2709,121.34596,2415.1448	287.69043,169.92004,2379.232	251.44998,165.26054,2317.6812	239.475,225.1603,2190.9565	287.69043,169.92004,2379.232	322.10306,174.34456,2440.7827	322.08456,240.00165,2440.6401	286.22095,220.73462,2350.8286	261.45496,271.55765,2283.5854	263.58276,380.028,2262.0015	307.21094,273.986,2361.2651	251.80617,475.52167,2324.55	321.75284,379.32202,2298.3477	261.45496,271.55765,2283.5854	329.74954,476.91397,2338.2812	318.76343,305.96356,2419.234	314.18237,233.03842,2119.3657	
289.24478,121.642006,2415.5762	287.5424,170.22359,2378.8342	251.53003,165.26115,2314.5342	241.46979,225.90163,2174.064	287.5424,170.22359,2378.8342	321.65915,174.92484,2443.1343	321.64435,240.51875,2443.0203	286.0481,220.97568,2348.6538	261.36734,271.69867,2277.8923	263.48093,380.48334,2255.6223	306.86615,274.35306,2359.0544	251.64713,476.09045,2319.241	321.1578,379.82486,2296.7517	261.36734,271.69867,2277.8923	329.42023,477.53024,2336.1338	318.66058,306.41537,2423.7346	317.88477,238.21364,2123.8853	
289.42282,121.846275,2415.2917	287.79193,170.36813,2378.9595	252.20456,165.08537,2310.2363	246.70044,227.40039,2153.1191	287.79193,170.36813,2378.9595	321.38092,175.35423,2447.6826	321.3691,240.82628,2447.5913	286.30716,221.09654,2348.245	261.90494,271.74298,2274.15	264.66556,380.57263,2254.2908	306.82037,274.54376,2360.9116	252.08788,475.75397,2320.5544	321.49103,379.909,2297.37	261.90494,271.74298,2274.15	329.8908,476.88428,2342.135	318.69147,306.59177,2430.2183	323.2106,246.70105,2144.3545	
289.52615,122.04379,2415.1584	287.8194,170.66425,2379.6396	252.64807,165.01898,2307.0603	255.03954,230.66205,2130.6492	287.8194,170.66425,2379.6396	320.90875,175.97534,2452.219	320.8993,241.3263,2452.146	286.27713,221.33627,2347.914	262.0754,271.84885,2270.3857	264.63818,381.00375,2247.7686	306.43265,274.88403,2361.9912	252.41971,474.75067,2325.413	321.72845,380.21985,2293.0203	262.0754,271.84885,2270.3857	329.52454,476.4302,2345.246	318.4947,306.9596,2436.4978	330.96664,255.12321,2172.3186	
289.21158,122.158455,2416.0447	287.69586,170.95554,2379.514	252.97086,165.03487,2302.4688	246.95134,228.89127,2137.3528	287.69586,170.95554,2379.514	320.2427,176.50482,2456.559	326.60217,226.63637,2428.406	286.51645,221.5102,2345.1875	262.9721,271.97113,2262.294	266.21756,381.56787,2238.2778	306.71252,275.09674,2359.4282	253.54282,475.4471,2317.25	322.5587,380.42523,2293.0996	262.9721,271.97113,2262.294	331.25574,477.44516,2338.4692	328.57532,259.81873,2366.599	320.36066,253.41548,2120.052	
288.87988,123.09101,2424.006	288.10632,171.36227,2383.9377	254.11206,165.08673,2301.616	246.47643,229.32951,2134.2153	288.10632,171.36227,2383.9377	319.8312,177.21886,2466.2595	333.14648,229.77554,2422.7078	287.42148,221.65303,2346.208	264.8343,271.90433,2256.6052	268.9246,381.55164,2236.5007	307.63242,275.19708,2360.3513	254.55826,475.1076,2316.4246	323.60022,380.36636,2298.5295	264.8343,271.90433,2256.6052	333.03775,477.59467,2340.035	337.49866,271.2298,2310.7258	318.31223,256.62155,2091.3865	
288.59958,124.743,2419.9766	288.19525,173.04697,2382.454	254.89001,166.94754,2294.67	250.0657,230.83578,2122.648	288.19525,173.04697,2382.454	319.1334,178.71289,2470.2383	337.461,231.84384,2418.402	288.0189,223.5072,2346.9473	266.49155,274.12152,2256.1462	269.80396,383.8293,2236.3203	308.18524,276.84863,2366.7346	254.65228,476.7331,2319.16	325.24548,381.56476,2305.8645	266.49155,274.12152,2256.1462	330.5461,478.4311,2349.4734	344.95862,276.79327,2272.213	321.505,262.52628,2077.124	
288.31155,124.71363,2417.4026	287.4848,173.04779,2380.9973	254.64368,166.36569,2289.9846	255.47813,232.928,2109.799	287.4848,173.04779,2380.9973	317.9077,179.23787,2472.01	340.39517,233.45503,2417.058	286.68954,223.558,2345.8525	264.82318,273.93777,2253.4236	267.90466,384.10956,2226.866	305.89868,277.19098,2367.992	251.77136,475.5482,2319.6726	323.23724,381.90924,2302.4678	264.82318,273.93777,2253.4236	328.14694,479.30847,2343.4817	352.29047,277.8917,2245.7688	327.0706,269.18835,2067.998	
288.346,125.645546,2424.6216	287.09644,173.23349,2381.4844	254.60974,165.26987,2289.3154	262.0664,235.4893,2098.3374	287.09644,173.23349,2381.4844	317.1622,180.60364,2473.6533	343.62167,234.06892,2420.0344	285.56778,223.32016,2339.1614	262.98743,272.77008,2238.8098	268.60522,383.7164,2207.7786	303.94345,277.61298,2354.867	252.40558,474.6706,2308.1653	323.82614,382.3357,2294.2349	262.98743,272.77008,2238.8098	328.802,481.57898,2322.9746	360.59628,274.07532,2232.2678	334.90472,275.52246,2062.3235	
288.2097,126.321266,2419.6753	286.07117,173.60762,2373.6624	253.65315,164.49861,2281.3752	266.41052,234.70616,2090.1343	286.07117,173.60762,2373.6624	316.06274,182.03482,2465.9495	346.0742,233.67992,2417.1133	283.60504,223.52522,2326.0845	259.93805,272.30276,2220.4153	269.84796,383.41586,2197.0544	301.08478,278.5919,2336.598	251.5841,473.67578,2301.6787	323.63937,383.26453,2287.1042	259.93805,272.30276,2220.4153	328.07977,482.7273,2316.9407	369.3285,266.93637,2216.783	339.5009,278.9575,2062.6895	
