310.53604,130.07921,2473.7683	309.28683,177.90256,2443.9336	272.5727,177.55136,2446.011	250.61075,230.11638,2312.6133	309.28683,177.90256,2443.9336	346.06348,178.25435,2441.8562	349.93533,242.57916,2435.674	308.52448,227.47505,2416.4136	284.09262,277.90857,2390.2014	265.56747,382.19867,2284.7712	331.4224,278.4711,2387.5857	246.49988,476.05762,2343.1604	347.96722,382.839,2305.9592	284.09262,277.90857,2390.2014	365.8895,478.36194,2347.7712	342.26044,286.9364,2223.022	282.64954,222.11844,2089.0835	
310.45782,130.40054,2477.3474	309.19183,178.00668,2444.7112	272.4937,177.66965,2447.0234	249.39447,229.09412,2314.8428	309.19183,178.00668,2444.7112	345.95944,178.34438,2442.399	354.4553,242.6055,2426.2942	308.42166,227.52832,2416.1587	283.9708,277.95596,2389.0618	264.44174,382.13248,2281.101	331.32422,278.5131,2386.1506	247.41187,475.90305,2343.8748	348.072,383.0213,2295.8909	283.9708,277.95596,2389.0618	366.7871,478.37982,2341.2063	344.6581,274.05722,2181.4253	278.13647,224.80893,2081.1985	
310.17966,131.76562,2470.605	309.06845,179.61917,2441.753	272.31003,179.23853,2443.3472	245.71219,228.90324,2305.4119	309.06845,179.61917,2441.753	345.87488,180.00032,2440.1587	357.20032,241.49672,2418.6638	308.31796,229.3327,2416.5586	283.9182,279.80685,2392.368	264.00592,383.85297,2283.3003	331.20502,280.38086,2390.3606	247.23967,477.1804,2348.6064	348.0281,384.81073,2289.4453	283.9182,279.80685,2392.368	366.78168,479.05576,2344.49	346.84338,263.81345,2161.2905	276.0638,229.46025,2077.3179	
310.23456,133.90163,2475.7463	309.0389,181.50192,2444.3044	272.29623,181.0324,2444.763	245.4553,233.71909,2311.2073	309.0389,181.50192,2444.3044	345.79535,181.97165,2443.846	359.11188,241.4276,2419.235	308.2415,231.13387,2417.567	283.77603,281.56155,2391.118	262.4428,385.30835,2265.6975	331.0821,282.19034,2390.5408	246.63403,476.72852,2348.4229	348.90598,386.26752,2266.0903	283.77603,281.56155,2391.118	366.02414,478.16388,2344.4333	351.30478,259.56308,2159.2087	275.57803,238.61209,2078.7854	
310.9953,136.98071,2477.7944	309.40527,184.47205,2447.3828	272.68884,183.46133,2445.9514	244.94154,238.4964,2340.583	309.40527,184.47205,2447.3828	346.0788,185.4816,2448.8142	360.62656,240.41928,2426.8372	308.0091,234.06439,2420.751	282.95355,284.1474,2393.2178	260.8895,387.58566,2253.9502	330.1924,285.37222,2395.0205	244.79895,476.1192,2355.699	350.568,388.51544,2250.767	282.95355,284.1474,2393.2178	364.65668,478.67133,2346.3975	357.69946,259.6816,2181.536	271.31293,246.15671,2099.6553	
311.80743,139.85144,2479.3252	310.098,187.47104,2448.6687	273.36523,186.08643,2443.38	246.52115,242.80298,2351.2742	310.098,187.47104,2448.6687	346.67242,188.84967,2453.9575	362.59857,241.72285,2436.651	308.4691,237.05196,2421.5964	283.1635,287.00275,2391.1938	261.9469,390.66388,2241.605	330.37753,288.50314,2397.8545	246.0141,478.0028,2352.7437	353.587,390.8013,2241.135	283.1635,287.00275,2391.1938	367.1117,480.9389,2339.6978	364.93915,266.24026,2193.4019	271.22595,251.14627,2108.738	
312.70346,142.59152,2481.1084	311.0402,190.04573,2450.5547	274.33713,188.18282,2439.1682	248.12427,243.994,2343.113	311.0402,190.04573,2450.5547	347.40378,191.89142,2461.9412	367.816,244.20392,2451.0305	309.2145,239.54086,2421.3376	283.68753,289.34622,2384.948	262.04944,393.3503,2232.3599	330.8595,291.1385,2399.2932	246.4036,480.44086,2346.7793	356.6389,392.51868,2230.4915	283.68753,289.34622,2384.948	367.46616,482.14313,2336.29	391.49713,282.86182,2250.8665	277.05756,252.80576,2109.8735	
313.67056,144.08884,2481.942	312.15875,191.62541,2451.9739	275.57782,189.26318,2432.3826	251.0177,244.38545,2318.0483	312.15875,191.62541,2451.9739	348.15973,193.9502,2471.5652	368.37875,247.71983,2455.5125	310.28122,241.06255,2421.3403	284.76157,290.76407,2378.3618	263.71698,395.2068,2222.2678	331.70718,292.75885,2403.0518	246.40881,480.13422,2347.9465	359.64273,392.8382,2220.1226	284.76157,290.76407,2378.3618	367.09708,479.66766,2345.1887	401.28265,287.2705,2278.2693	287.25214,253.83842,2101.045	
315.03708,145.83188,2480.9043	313.6616,193.47058,2452.5457	277.34973,190.76485,2423.141	253.31812,243.34866,2295.565	313.6616,193.47058,2452.5457	349.11304,196.11218,2481.9502	371.38977,252.06335,2455.7837	312.05273,242.91055,2421.373	286.99533,292.6806,2371.6692	265.7296,397.5713,2216.9834	333.44836,294.5849,2408.7317	247.55731,480.4669,2352.6443	364.26663,389.53992,2205.3787	286.99533,292.6806,2371.6692	365.71643,474.55826,2345.5708	415.61884,288.51187,2298.3525	297.11804,252.11218,2097.7178	
315.4416,146.15576,2481.4531	314.47723,193.97256,2453.6284	278.42416,191.34077,2416.8105	257.35892,242.21843,2264.8699	314.47723,193.97256,2453.6284	349.46432,196.52654,2490.4463	373.37704,254.43605,2460.953	313.61908,243.35323,2420.8657	289.53314,293.37714,2364.9321	267.24713,398.51437,2214.1387	335.4957,294.78683,2411.274	246.82909,479.47754,2356.988	366.9044,384.02533,2194.368	289.53314,293.37714,2364.9321	365.2799,469.9076,2334.991	426.3675,284.6751,2326.1655	308.5438,247.27248,2088.6653	
316.6658,146.8073,2489.7056	316.27942,194.4272,2457.6396	280.6779,191.56813,2413.2742	262.1756,240.11879,2241.4988	316.27942,194.4272,2457.6396	350.61838,197.18486,2502.0051	377.06143,255.10612,2469.036	316.00693,243.56908,2420.6787	292.76224,293.57446,2355.7908	267.92194,398.61923,2207.4883	338.1579,294.88007,2411.6448	250.09616,479.2127,2356.478	369.4987,380.98755,2188.1836	292.76224,293.57446,2355.7908	365.42184,467.94174,2325.7007	436.29898,276.79688,2347.8198	317.32877,242.05463,2078.335	
317.81708,147.80936,2503.4717	318.4786,194.96179,2463.6743	283.8354,191.79413,2407.905	268.28275,235.84967,2218.9478	318.4786,194.96179,2463.6743	351.58813,197.98921,2519.4436	380.62152,254.90158,2480.2227	319.4337,243.64052,2419.8232	297.97958,293.55093,2340.802	271.6291,399.06226,2201.1233	342.21362,294.66473,2411.1423	251.61281,479.5929,2349.2322	370.50378,387.33777,2193.388	297.97958,293.55093,2340.802	369.20822,472.68066,2336.4148	443.6534,268.46323,2375.946	327.47812,231.87488,2070.6228	
