320.7533,130.22252,2486.979	320.85635,176.95694,2443.4233	284.29367,177.9495,2452.5027	283.1452,228.87442,2297.4985	320.85635,176.95694,2443.4233	357.69177,175.95697,2434.344	357.69147,241.78777,2434.344	321.3381,225.92276,2402.495	297.9877,276.9926,2367.2827	290.7456,383.39346,2251.3718	345.8011,276.17706,2355.851	273.3214,477.64203,2319.6716	349.83316,381.1812,2336.4214	297.9877,276.9926,2367.2827	356.474,480.2543,2350.8015	357.6926,307.61847,2434.3438	319.94507,204.07246,2088.8364	
320.0535,129.36084,2475.9236	320.5071,176.79532,2438.2764	283.85907,178.05754,2446.7861	280.77255,228.29684,2297.7322	320.5071,176.79532,2438.2764	357.41183,175.52423,2429.7666	357.4115,241.47903,2429.7666	321.46548,226.07207,2401.7651	298.63675,277.4641,2370.611	288.7431,383.56302,2261.1858	346.3783,276.27344,2359.8967	272.02582,477.19382,2331.6802	347.63812,381.1503,2340.14	298.63675,277.4641,2370.611	356.72375,479.6657,2356.1443	357.41263,307.43375,2429.7664	318.0892,204.86366,2081.983	
319.3068,127.661285,2470.3687	319.7143,175.69705,2436.2004	283.0054,176.79984,2443.6724	278.6917,228.50305,2296.854	319.7143,175.69705,2436.2004	356.64902,174.58746,2428.7285	356.6487,240.57047,2428.7285	320.5604,225.11952,2402.0708	297.62634,276.4829,2372.645	286.02908,382.30823,2261.714	345.33017,275.4484,2363.2373	269.9888,476.05475,2332.2737	345.44537,380.46997,2337.2507	297.62634,276.4829,2372.645	354.2723,478.812,2356.2788	356.64984,306.55338,2428.7283	313.25964,206.67642,2075.4265	
318.99106,127.94328,2467.15	318.8437,175.96815,2433.6272	282.1648,176.7891,2443.4878	278.31122,229.11917,2297.9495	318.8437,175.96815,2433.6272	355.82098,175.14053,2423.7666	355.82068,241.2586,2423.7666	319.10587,225.52325,2401.0159	295.61038,276.71222,2374.613	284.63785,382.51538,2258.901	343.26505,276.17242,2362.196	268.2542,475.4195,2335.2693	343.38733,381.4548,2331.9006	295.61038,276.71222,2374.613	352.22836,479.59375,2354.633	355.8218,307.3766,2423.7664	309.9681,207.85936,2069.2825	
318.55392,127.695595,2465.992	318.3067,175.52255,2431.968	281.59634,176.2389,2441.7058	277.71786,229.25156,2289.938	318.3067,175.52255,2431.968	355.3122,174.80046,2422.2302	355.31186,240.96048,2422.2302	318.43225,225.13042,2399.785	294.7904,276.29108,2373.7317	283.90195,382.10358,2254.053	342.45544,275.8817,2361.472	269.56305,475.5251,2330.5703	343.93256,381.38422,2326.3948	294.7904,276.29108,2373.7317	353.25504,478.56415,2358.5461	355.313,307.1204,2422.23	310.0029,208.77452,2067.2969	
318.05716,126.927124,2465.972	317.93597,174.58994,2431.138	281.19824,175.29376,2440.393	274.16602,230.01883,2299.9814	317.93597,174.58994,2431.138	354.95447,173.88074,2421.8828	354.95416,240.05023,2421.8828	318.06088,224.1637,2398.0144	294.38217,275.33517,2370.717	282.9284,381.24384,2259.3977	342.11398,274.9161,2359.0647	270.083,476.38855,2324.1619	343.13742,380.67505,2320.1611	294.38217,275.33517,2370.717	354.05365,477.26215,2357.9016	354.9553,306.21967,2421.8826	304.22232,212.39883,2073.1099	
317.69165,126.72822,2464.901	317.3497,174.26924,2429.571	280.59445,174.88211,2439.0183	267.1577,230.80652,2315.4854	317.3497,174.26924,2429.571	354.3919,173.65158,2420.1238	354.3916,239.86919,2420.1238	317.32678,223.88457,2396.7139	293.48917,275.02377,2369.804	281.84567,380.9745,2263.6533	341.23737,274.73386,2357.9094	269.75687,476.46487,2325.7405	341.28143,380.8407,2310.0432	293.48917,275.02377,2369.804	353.2159,475.69293,2363.0295	354.39273,306.0867,2420.1235	303.90308,215.29817,2103.3447	
317.39087,126.91308,2456.3882	317.03665,174.77,2424.427	280.18698,175.24506,2433.3186	264.86118,232.29384,2315.7324	317.03665,174.77,2424.427	354.15762,174.29146,2415.5354	354.1573,240.63483,2415.5354	316.91428,224.61902,2394.5059	292.97314,275.79822,2370.1824	279.7166,381.5988,2265.133	340.7174,275.66068,2358.987	272.09537,477.3847,2327.453	341.0442,381.9176,2305.773	292.97314,275.79822,2370.1824	354.09464,476.44122,2361.5183	354.15845,306.97812,2415.5352	306.712,219.75858,2120.6045	
316.84186,127.615326,2460.1306	316.39938,174.99825,2424.3003	279.49014,175.35448,2430.9856	261.54358,233.42215,2318.3647	316.39938,174.99825,2424.3003	353.51273,174.64005,2417.615	353.5124,240.92636,2417.615	316.26266,224.76047,2392.1665	292.22888,275.9288,2364.2417	277.37756,381.82605,2261.2349	340.10098,275.82657,2355.8237	270.83984,479.0875,2314.9368	341.0131,382.5288,2290.2563	292.22888,275.9288,2364.2417	353.40738,475.75925,2359.9978	353.51352,307.2126,2417.6147	312.35602,225.58084,2153.0088	
316.4841,128.67044,2462.512	316.15622,176.15106,2423.6323	279.1802,176.53525,2427.9219	256.69702,233.03793,2334.6902	316.15622,176.15106,2423.6323	353.26334,175.76547,2419.3428	353.263,242.00446,2419.3428	316.24698,225.85757,2389.5554	292.37234,277.13583,2358.179	276.52667,383.25305,2254.4907	340.36346,276.86844,2352.778	271.01196,478.86633,2321.92	342.9369,383.92657,2276.699	292.37234,277.13583,2358.179	354.8526,475.7475,2359.5745	353.26416,308.24335,2419.3425	295.02664,224.84384,2128.4084	
315.96567,129.74686,2464.1963	315.68243,177.11563,2423.216	278.65314,177.44914,2425.3008	254.88881,232.0458,2324.3442	315.68243,177.11563,2423.216	352.7755,176.78154,2421.1313	352.7752,242.97159,2421.1313	315.88837,226.80502,2388.2256	292.08798,278.13214,2354.5476	275.19205,384.32477,2247.8174	340.13962,277.81183,2351.9226	270.8251,478.45923,2327.2532	344.60327,385.03256,2265.7646	292.08798,278.13214,2354.5476	355.062,475.3532,2361.7173	352.77634,309.16153,2421.1313	288.6955,224.5185,2102.0923	
