300.05923,126.78737,2472.6123	299.13483,175.69739,2460.6248	262.6615,175.66101,2460.3833	250.27246,231.60263,2365.5354	299.13483,175.69739,2460.6248	335.601,175.73376,2460.8662	354.94623,247.10846,2399.5864	299.0293,225.41617,2452.7197	275.8105,275.4396,2444.6626	266.29984,377.6286,2387.2388	322.03278,275.47333,2444.9668	266.3491,467.7823,2459.636	325.00055,378.20816,2377.9155	275.8105,275.4396,2444.6626	348.52475,479.56683,2317.5786	340.366,309.7656,2291.2644	257.86227,222.3879,2102.5076	
299.0274,127.39756,2476.2107	297.3747,176.27213,2462.1155	260.83813,175.72829,2458.128	246.06923,230.22339,2369.2334	297.3747,176.27213,2462.1155	333.79306,176.8142,2466.103	351.30496,248.2032,2406.7773	296.73862,225.91429,2451.6338	272.9169,275.74036,2438.6426	264.2692,378.07892,2388.0369	319.22964,276.22464,2443.6616	264.7868,468.70068,2456.9587	321.66278,378.9677,2380.4414	272.9169,275.74036,2438.6426	346.58334,480.4105,2311.6475	339.54782,310.5319,2289.8135	256.31302,223.20099,2105.6892	
297.19537,126.69055,2478.0	295.13675,175.23538,2464.332	258.56683,174.14142,2455.7961	238.75372,228.79807,2371.5925	295.13675,175.23538,2464.332	331.45422,176.32178,2472.868	347.0835,247.8017,2410.8433	293.97296,224.85202,2455.889	269.6441,274.33755,2442.072	262.39508,375.89206,2409.5498	315.8567,275.28238,2452.8196	265.15594,467.59592,2463.6228	319.65057,377.44373,2394.2522	269.6441,274.33755,2442.072	341.7914,478.32306,2333.4827	339.33875,307.7973,2270.2651	251.74612,223.65251,2112.4229	
295.26004,126.40251,2478.9207	293.08942,174.83408,2464.9585	256.49326,173.43832,2454.647	235.85892,227.76668,2404.2935	293.08942,174.83408,2464.9585	329.3807,176.2182,2475.27	344.99185,247.00525,2411.9053	291.5854,224.4633,2459.05	266.9613,273.7143,2446.6526	263.13712,374.94745,2420.9966	313.06494,274.94565,2459.6306	265.4875,468.07782,2459.5847	318.64175,376.78198,2397.913	266.9613,273.7143,2446.6526	337.35938,477.10657,2351.5396	339.42252,303.35867,2249.084	247.19073,226.10559,2143.79	
293.62766,125.4233,2471.4014	291.86505,174.25055,2461.344	255.17366,173.0663,2448.1553	233.61087,229.26312,2417.6409	291.86505,174.25055,2461.344	328.1653,175.42218,2474.5327	345.75464,246.35292,2420.9817	290.73422,224.00156,2461.4277	266.54675,273.34195,2453.2095	266.20813,374.31342,2428.5042	312.50525,274.15363,2469.8135	267.12683,467.82736,2461.803	316.933,375.62897,2406.9548	266.54675,273.34195,2453.2095	332.16895,473.8465,2386.942	339.47937,297.37164,2235.9644	244.42188,229.0177,2158.0728	
292.50366,125.18497,2468.133	290.96384,173.98077,2458.326	254.20337,172.99597,2443.9646	230.96141,227.84294,2417.8176	290.96384,173.98077,2458.326	327.29727,174.95413,2472.6873	347.6654,246.01602,2427.5007	290.12485,223.81964,2461.0918	266.24625,273.29614,2454.8184	266.0141,374.45544,2425.072	312.16077,273.7953,2472.897	267.56717,468.62,2453.917	314.76443,375.36365,2396.252	266.24625,273.29614,2454.8184	325.1219,471.03293,2410.9526	336.5961,293.04327,2231.6375	243.18959,232.1349,2167.7258	
291.73047,125.7386,2457.9963	290.4994,174.50156,2451.2288	253.61783,173.64522,2435.811	233.27414,230.26178,2426.4019	290.4994,174.50156,2451.2288	326.9199,175.3472,2466.6465	348.22287,245.62872,2423.759	289.81384,224.48381,2458.8882	266.11014,274.01486,2456.8428	264.88898,375.3599,2420.6	311.97452,274.29532,2476.2524	268.3119,469.23303,2453.249	312.39297,375.80255,2398.8853	266.11014,274.01486,2456.8428	319.088,470.16473,2429.2534	332.03635,291.8205,2228.981	243.45337,236.29002,2173.9253	
290.73376,127.02495,2436.928	289.88672,176.57869,2440.0908	252.83304,175.93436,2425.6946	232.58322,236.57254,2435.1863	289.88672,176.57869,2440.0908	326.50577,177.21547,2454.487	347.8399,246.98215,2418.3958	289.36734,226.6742,2456.841	265.8933,276.05795,2464.5288	263.8092,377.47058,2416.9534	311.64908,276.12433,2482.6538	268.3579,470.3607,2458.764	310.02933,377.48175,2399.3457	265.8933,276.05795,2464.5288	313.34885,469.76154,2449.022	327.75052,294.46362,2230.0479	244.87807,241.474,2179.8977	
289.30304,130.0427,2426.3792	288.70462,179.27512,2431.0437	251.54315,178.93253,2420.1433	234.51855,242.30765,2440.5742	288.70462,179.27512,2431.0437	325.53433,179.61465,2441.944	347.00787,248.51755,2409.1907	288.53763,229.50804,2451.147	265.39313,278.98938,2464.3865	263.231,380.923,2392.598	311.22632,278.8584,2478.114	267.6875,472.25085,2453.318	308.48978,380.55652,2385.2375	265.39313,278.98938,2464.3865	307.754,470.3429,2457.635	323.2272,298.16086,2232.0178	245.7933,247.69649,2181.0627	
288.9598,135.73175,2405.6208	288.4583,185.71692,2418.952	251.137,185.50336,2410.2761	233.492,246.74808,2426.785	288.4583,185.71692,2418.952	325.5129,185.92897,2427.6277	344.71484,253.07738,2389.601	288.42773,235.87556,2448.2932	265.49213,284.93414,2472.173	263.16574,386.9813,2380.1628	311.20288,284.75867,2483.096	268.7995,474.84332,2466.8115	306.72137,386.45032,2387.554	265.49213,284.93414,2472.173	306.05402,473.1612,2480.3074	316.4631,305.22363,2230.2063	249.268,255.61583,2178.0996	
288.33182,143.75267,2395.7332	287.8595,194.08607,2409.3262	250.41559,194.06302,2402.4849	234.58344,252.27924,2401.8892	287.8595,194.08607,2409.3262	325.09134,194.109,2416.1675	342.05338,259.71045,2370.292	288.08502,244.38223,2438.4944	265.31738,293.64902,2463.356	263.17297,396.04095,2350.1567	311.21295,293.3303,2471.9692	267.44986,482.41858,2451.9062	304.98193,395.3225,2359.6426	265.31738,293.64902,2463.356	305.1997,479.6744,2471.766	310.21936,314.82828,2225.4636	253.08333,264.45782,2160.3857	
