377.11655,123.343666,2641.0132	378.64447,169.21335,2635.2683	344.6262,171.31197,2662.2705	334.20935,216.077,2552.963	378.64447,169.21335,2635.2683	413.3671,167.07129,2608.266	432.91373,223.41833,2565.4775	380.47412,214.48999,2632.5293	361.41327,260.58444,2646.2576	366.43005,347.76642,2699.2668	403.46515,259.12833,2613.323	357.33792,441.3166,2591.7227	395.51352,348.39087,2649.6543	361.41327,260.58444,2646.2576	404.10638,441.1785,2561.6	441.04865,208.87231,2307.924	345.96518,199.64612,2276.046	
376.7819,123.61471,2630.5845	378.64114,169.57414,2628.196	344.5201,171.853,2654.592	330.2833,217.07072,2574.9648	378.64114,169.57414,2628.196	413.4545,167.24905,2601.8	433.7918,223.99973,2570.7434	380.79745,214.9885,2629.5532	362.0571,261.19766,2647.008	367.69473,348.63654,2695.1936	404.1033,259.504,2614.8127	359.37512,441.72223,2594.9885	397.89648,349.13788,2645.9534	362.0571,261.19766,2647.008	407.07562,442.45215,2556.7969	441.4646,210.06897,2311.5251	342.52924,203.86002,2296.9592	
376.40775,124.17708,2624.8477	378.40997,170.21823,2622.6348	344.24216,172.72705,2649.4978	329.71274,218.27646,2577.965	378.40997,170.21823,2622.6348	413.285,167.6575,2595.7717	434.47665,223.83577,2572.8584	380.89957,215.72519,2625.9688	362.48373,262.08615,2645.686	365.53754,350.73965,2675.0498	404.54407,260.1352,2612.9194	359.30762,441.79016,2594.2957	399.08173,350.8133,2624.2065	362.48373,262.08615,2645.686	407.6533,443.71063,2542.2734	441.2621,211.99411,2311.3196	340.59735,206.039,2296.6414	
376.14893,125.430534,2613.49	377.9856,171.78036,2614.624	343.67407,174.12665,2640.1296	329.93436,219.97694,2563.4724	377.9856,171.78036,2614.624	412.9731,169.38785,2589.1184	434.6817,224.27567,2566.9172	380.35767,217.43616,2621.6467	361.79477,263.74106,2644.2253	361.9694,353.20453,2659.9746	403.88846,261.94434,2613.1135	358.04645,442.51904,2593.3628	399.49963,353.7012,2593.3228	361.79477,263.74106,2644.2253	405.44794,443.46368,2569.283	442.11105,216.14609,2304.0864	341.85773,207.43274,2279.0012	
375.8963,128.78374,2598.317	377.74594,175.31857,2604.594	343.27573,177.62581,2628.9573	328.64148,222.84885,2571.232	377.74594,175.31857,2604.594	412.86713,172.96777,2580.2307	433.9749,224.17932,2566.959	380.20224,221.08534,2618.1587	361.7224,267.26688,2646.5825	359.4132,357.46463,2642.9944	403.7815,265.4837,2616.8643	358.5236,444.20874,2595.7805	400.82736,357.87152,2569.9766	361.7224,267.26688,2646.5825	406.85974,444.89368,2587.0852	440.62164,223.43465,2305.4956	341.0534,211.71416,2279.9963	
375.66638,137.24557,2582.7192	377.2449,183.95346,2590.7522	342.64148,186.1521,2616.8547	329.75372,230.37016,2557.6133	377.2449,183.95346,2590.7522	412.55273,181.71007,2564.6497	433.01794,227.54288,2555.4631	379.71976,229.84775,2609.2373	361.2471,275.87454,2643.6365	355.43274,365.50964,2596.5837	403.32724,274.30862,2611.8083	357.92352,448.39026,2589.1252	402.24908,365.2481,2517.244	361.2471,275.87454,2643.6365	408.18427,448.25922,2583.8137	437.4768,240.68712,2303.718	344.19785,219.7676,2265.3862	
375.67877,146.08313,2573.93	376.92087,192.72626,2581.6765	342.25003,194.61961,2609.7449	331.36777,238.66722,2541.8186	376.92087,192.72626,2581.6765	412.35388,190.79129,2553.6082	432.6661,234.87965,2546.7185	379.15027,238.70348,2602.0947	360.41223,284.51468,2639.63	351.8381,375.54767,2565.584	402.55267,283.40762,2605.396	358.0283,448.70792,2587.0369	404.03842,375.95615,2486.0933	360.41223,284.51468,2639.63	407.2952,454.2498,2593.9478	434.59784,258.07492,2305.9602	346.65683,228.17348,2247.7625	
375.77573,155.76852,2561.5378	376.79498,202.36119,2571.3728	342.0819,203.95874,2602.3423	332.21512,247.53412,2527.4219	376.79498,202.36119,2571.3728	412.3544,200.7247,2540.4033	431.65033,244.1164,2540.8489	378.85382,248.40103,2593.9607	359.94083,293.95386,2635.4382	350.71506,386.12646,2548.5852	402.1179,293.33362,2597.659	357.99896,449.2689,2583.8396	405.92758,387.1275,2462.569	359.94083,293.95386,2635.4382	406.75098,460.40912,2604.7102	430.4968,273.54892,2308.3718	347.89728,235.81067,2233.5908	
375.64368,165.11116,2554.8538	376.42868,211.82582,2563.299	341.65085,213.22247,2595.5032	332.74695,256.67795,2521.2363	376.42868,211.82582,2563.299	412.0915,210.39362,2531.095	430.6245,256.48257,2518.4263	378.37506,257.97168,2584.8376	359.29813,303.51218,2626.0154	349.7683,396.73633,2535.5076	401.59918,303.19516,2586.737	358.05106,450.34995,2578.1008	407.60986,388.6648,2427.721	359.29813,303.51218,2626.0154	405.72296,459.22784,2592.2751	428.12903,292.3001,2298.6401	347.604,244.22345,2226.7686	
375.58417,173.70004,2542.4958	376.13397,220.18011,2554.8271	341.32144,221.20682,2589.079	327.945,265.7902,2568.1292	376.13397,220.18011,2554.8271	411.89267,219.12552,2520.5752	429.7549,267.96756,2502.1963	377.86035,266.30112,2579.544	358.5854,311.4372,2625.1519	350.43005,405.21466,2540.6028	400.86166,311.65793,2583.3696	358.3552,448.52258,2584.889	408.4561,389.0957,2407.436	358.5854,311.4372,2625.1519	404.41147,454.19873,2602.4114	426.9955,307.2784,2280.1804	342.63306,258.91296,2283.075	
