345.80612,117.19982,2567.1013	348.995,163.57837,2547.4326	315.74414,166.90308,2577.0293	304.52747,208.94981,2477.755	348.995,163.57837,2547.4326	383.0276,160.17548,2517.836	401.96033,215.10814,2493.2524	351.98627,211.32172,2530.0098	332.87994,261.20258,2531.9077	330.87784,359.69525,2487.5168	377.50122,258.22897,2493.266	330.6678,452.40216,2511.1533	380.6007,357.04068,2483.7751	332.87994,261.20258,2531.9077	398.6285,455.83896,2403.1985	363.28632,188.67722,2310.9712	315.4159,170.48157,2232.872	
345.22803,117.42805,2567.9985	348.5569,163.80037,2547.6987	315.4503,167.31189,2579.959	302.8384,208.18303,2475.873	348.5569,163.80037,2547.6987	382.51266,160.19879,2515.4385	402.65515,214.78482,2486.6226	351.6473,211.53137,2530.148	332.72845,261.46396,2533.6506	332.08667,360.0193,2484.0842	377.20605,258.3685,2491.5437	331.2885,452.83856,2507.8367	381.45856,357.3518,2478.7842	332.72845,261.46396,2533.6506	400.01556,455.2146,2417.2302	363.8263,188.39339,2306.9563	313.18573,170.37137,2228.1765	
344.9184,118.190254,2568.4517	348.0318,164.43695,2547.0085	314.94754,167.90335,2579.9656	298.78354,206.76125,2466.9368	348.0318,164.43695,2547.0085	381.98343,160.87967,2514.0515	402.92224,214.69275,2478.8127	351.00574,212.18349,2529.1511	331.98038,262.09653,2532.7993	331.0517,360.75922,2480.5657	376.4444,259.09586,2489.788	331.02444,453.6809,2504.5527	381.28937,358.31406,2472.5571	331.98038,262.09653,2532.7993	398.92767,455.573,2427.5393	364.93347,187.5855,2300.3987	310.35428,170.23294,2221.5347	
344.20154,118.255135,2569.6792	347.31754,164.54561,2546.489	314.3445,168.05484,2581.488	295.6309,205.88908,2467.9697	347.31754,164.54561,2546.489	381.20956,160.93857,2511.49	403.17325,213.36661,2474.9084	350.2277,212.31186,2528.817	331.20242,262.21643,2533.9873	330.33682,360.63696,2490.1047	375.55865,259.25748,2488.3022	330.90268,453.89612,2506.7876	380.84805,358.79065,2463.605	331.20242,262.21643,2533.9873	399.08347,455.21677,2433.8906	365.75558,183.59756,2300.483	307.95508,169.64923,2223.6348	
343.4996,118.052666,2558.8152	347.0129,164.71902,2540.8508	313.80615,168.2875,2572.3958	290.53406,206.61656,2477.504	347.0129,164.71902,2540.8508	381.05453,161.06082,2509.306	403.8202,212.69089,2470.9866	350.39853,212.67036,2527.662	331.7683,262.70538,2535.0654	331.3187,361.20288,2486.9238	376.23517,259.51797,2493.8813	332.3784,454.36316,2505.8635	382.66388,358.8805,2466.094	331.7683,262.70538,2535.0654	400.5791,455.07272,2439.8442	365.9657,179.99014,2307.3147	303.09943,170.16269,2231.9524	
342.17145,118.14694,2553.3567	346.24988,165.07507,2536.6926	313.03564,168.94588,2568.5796	287.01917,205.99,2477.241	346.24988,165.07507,2536.6926	380.30978,161.10574,2504.8057	404.00946,211.96257,2466.4985	350.14908,213.12367,2525.8184	332.0626,263.35446,2535.7524	329.8345,361.8042,2487.5078	376.4688,259.79163,2494.1357	332.64026,455.21667,2503.017	382.34216,359.56073,2452.23	332.0626,263.35446,2535.7524	400.27893,455.68716,2434.0298	366.30234,175.72919,2311.0476	301.89133,170.04094,2231.5156	
340.4003,118.331635,2551.1445	345.03302,165.10135,2534.6694	311.7519,169.28632,2564.7678	283.5597,206.52904,2480.1294	345.03302,165.10135,2534.6694	379.11407,160.8158,2504.571	405.76422,208.11531,2456.772	349.53058,213.16837,2525.2178	332.01868,263.61194,2535.4106	328.15045,361.92093,2491.3506	376.45215,259.54944,2496.1216	332.2109,455.8238,2499.42	383.0675,359.50336,2439.3784	332.01868,263.61194,2535.4106	399.10632,454.8543,2438.7705	364.98077,171.30487,2323.554	300.8819,169.90652,2235.4043	
337.71808,119.924095,2533.4727	342.76724,167.35857,2524.4658	309.60822,171.962,2558.0583	279.08228,209.11252,2488.9817	342.76724,167.35857,2524.4658	376.82068,162.63098,2490.8733	407.62158,205.87154,2448.37	348.11084,215.6229,2524.0505	331.6114,266.09128,2545.5647	327.33612,364.32434,2483.0881	375.68393,261.67654,2501.7058	330.9979,456.45825,2511.5767	383.12082,361.5766,2419.8108	331.6114,266.09128,2545.5647	399.3711,456.1988,2434.1917	361.4093,170.89911,2338.2485	300.4154,173.03897,2247.4153	
335.06448,122.659454,2515.194	340.69174,170.49521,2515.4187	307.43976,175.21754,2548.8018	274.7471,211.67775,2505.9841	340.69174,170.49521,2515.4187	374.8382,165.64584,2482.0356	408.87274,204.96053,2441.208	346.64792,218.86389,2524.3853	330.81674,269.1422,2555.1353	324.94012,367.0909,2468.3015	374.68436,264.59912,2511.5684	331.44467,457.9187,2511.8428	384.89032,364.07544,2418.0881	330.81674,269.1422,2555.1353	403.69165,460.9146,2403.3103	358.32993,172.52515,2347.4517	296.42456,178.54218,2257.1453	
332.67786,125.99845,2506.0522	338.71356,174.0636,2509.5442	305.40265,178.78569,2542.78	271.62857,214.11475,2505.495	338.71356,174.0636,2509.5442	372.91864,169.21475,2476.3083	410.74957,205.1687,2435.7698	344.97372,222.47755,2524.2134	329.46875,272.57678,2560.572	322.95453,369.96094,2440.3262	373.22812,268.04865,2517.193	331.90866,458.3684,2509.2393	387.48343,366.73816,2400.5874	329.46875,272.57678,2560.572	410.2588,464.81055,2371.6868	355.9763,177.54987,2351.4983	294.14142,182.95914,2248.144	
