299.11072,151.05872,2446.8625	292.13754,197.92834,2409.8948	256.06738,189.17987,2356.4697	234.48853,244.7461,2251.087	292.13754,197.92834,2409.8948	326.64307,206.29733,2463.3198	367.40335,254.79562,2462.6453	283.94928,245.92151,2377.7239	253.2078,291.22302,2313.4207	238.90097,392.79388,2310.6482	297.26154,299.13104,2377.6853	214.52005,479.70624,2373.4304	316.38925,398.92474,2340.7278	253.2078,291.22302,2313.4207	326.49835,490.64035,2382.7593	435.46918,238.10725,2391.7117	276.1708,267.329,2080.5894	
298.1187,151.11545,2439.403	291.57266,198.37283,2408.5784	255.55424,190.36194,2351.5396	230.93277,243.897,2251.0398	291.57266,198.37283,2408.5784	325.9246,206.01306,2465.6172	363.1207,255.12617,2480.883	284.1194,246.66956,2382.1611	254.32431,292.61115,2321.426	240.08955,393.59467,2322.158	298.03677,299.3891,2390.0618	216.1279,481.23608,2377.771	316.80847,398.706,2353.6575	254.32431,292.61115,2321.426	327.187,490.2274,2393.1194	427.46002,231.80148,2394.7488	274.93848,263.56528,2084.747	
297.26532,150.0061,2434.663	291.01175,197.9522,2408.4844	254.9899,190.60043,2349.3591	228.35324,244.88847,2250.012	291.01175,197.9522,2408.4844	325.3074,204.95166,2467.6096	358.44662,255.57574,2498.9753	284.215,246.44473,2386.3953	255.22629,292.8776,2328.748	239.76306,393.89517,2321.436	298.7023,298.7213,2399.8643	215.1088,481.30707,2377.4492	316.93185,398.16718,2351.295	255.22629,292.8776,2328.748	327.2643,489.48203,2393.163	418.8542,226.43753,2404.0242	274.08936,259.72467,2080.4797	
295.95367,149.67273,2433.8015	290.08102,197.65845,2409.284	254.1987,190.67944,2347.145	225.65,245.87657,2258.5222	290.08102,197.65845,2409.284	324.159,204.2865,2471.4229	354.56458,255.75838,2514.0115	283.81735,246.2419,2388.5884	255.50705,293.01907,2330.5208	238.5022,394.20862,2315.448	298.69965,298.2476,2405.265	214.5506,483.03384,2364.7244	316.1256,397.76587,2352.5398	255.50705,293.01907,2330.5208	326.42722,490.05826,2386.345	411.5232,222.90547,2414.205	271.21408,254.07997,2085.3777	
293.76984,149.34065,2431.8672	288.8103,197.43591,2409.2363	253.0034,191.04315,2344.4717	222.00967,242.68521,2256.7793	288.8103,197.43591,2409.2363	322.7425,203.49396,2474.001	350.5364,255.82358,2525.5342	283.30145,246.14519,2390.4702	255.87585,293.40063,2332.7517	238.44884,394.4458,2317.6216	298.82944,297.778,2410.6565	213.4317,484.30353,2356.887	315.54346,397.40277,2351.0178	255.87585,293.40063,2332.7517	326.81747,489.68097,2384.6306	404.56622,220.72838,2413.44	268.29306,247.63986,2096.4763	
291.84274,150.04195,2438.9282	287.86548,197.72623,2411.8489	252.34007,191.71921,2343.3135	220.5379,245.06003,2254.9587	287.86548,197.72623,2411.8489	321.42767,203.40129,2480.3843	347.37613,255.93939,2534.8071	283.34314,246.41678,2390.2178	257.0612,294.09927,2327.362	238.8876,395.34314,2311.082	299.67346,297.8291,2409.8113	213.5361,485.9532,2346.3154	315.96857,397.72815,2344.8853	257.0612,294.09927,2327.362	327.59235,489.8562,2381.2458	397.557,216.46584,2430.3752	269.8811,240.40538,2107.6565	
291.24368,149.48248,2442.456	287.80945,197.03224,2415.3596	252.91911,191.14626,2340.7576	217.67538,244.46329,2249.5303	287.80945,197.03224,2415.3596	320.60907,202.56552,2489.9617	345.18,256.42206,2544.4507	283.84094,245.68994,2393.3486	258.51776,293.58237,2326.442	238.72256,394.153,2316.1255	300.28888,296.8575,2416.2334	214.29198,484.8487,2351.296	314.84744,396.69934,2352.5225	258.51776,293.58237,2326.442	327.65436,488.51727,2387.8857	392.0807,214.86273,2439.0098	271.19556,233.50343,2126.8345	
290.5656,149.83536,2445.1782	287.50735,197.27815,2416.8	252.83615,191.47372,2339.9048	218.0225,245.44705,2243.772	287.50735,197.27815,2416.8	320.0403,202.72461,2493.6953	342.61774,257.7944,2549.2378	283.80478,245.9279,2394.4736	258.9168,293.9351,2325.9233	238.1319,394.38992,2314.946	300.34097,296.99216,2418.371	213.12408,484.1209,2356.0547	313.29886,397.20135,2344.2168	258.9168,293.9351,2325.9233	326.97144,488.6669,2383.8806	386.56433,215.4324,2447.333	273.50095,228.73538,2138.1025	
289.73807,149.92673,2447.0396	286.9763,197.4396,2417.4053	252.58374,191.72922,2337.7302	220.27641,245.32439,2229.895	286.9763,197.4396,2417.4053	319.17407,202.78558,2497.0803	341.36072,258.15814,2549.1326	283.55225,246.10097,2395.0854	259.12564,294.24948,2324.855	238.0141,394.5926,2315.4082	300.17313,297.0496,2420.6763	213.03804,483.65063,2361.1162	312.652,397.24683,2346.8552	259.12564,294.24948,2324.855	326.73993,488.65015,2385.7896	382.58084,216.2952,2445.0198	277.6106,225.61053,2142.5254	
289.57513,150.81747,2448.4727	287.08038,198.24954,2418.0571	253.71321,192.25992,2331.0173	223.88188,244.76305,2216.9595	287.08038,198.24954,2418.0571	318.12885,203.82294,2505.097	339.47827,257.5282,2551.583	283.7586,246.88866,2394.6753	260.0202,295.08163,2318.8765	238.69675,395.45392,2312.3484	299.84222,297.8315,2423.7104	212.98155,484.87592,2354.8828	312.10678,397.93658,2351.1233	260.0202,295.08163,2318.8765	326.87686,489.78232,2384.3105	380.12283,216.9578,2442.196	283.56335,222.80319,2144.7534	
291.2352,149.89325,2448.0977	287.89383,197.57986,2420.4443	256.12872,191.116,2324.1099	230.84787,242.77698,2193.4153	287.89383,197.57986,2420.4443	317.2272,203.54889,2516.7788	337.52707,259.29047,2549.1895	284.0903,246.1701,2398.895	260.8452,294.19254,2319.297	238.55342,394.09714,2316.0112	298.66693,297.02087,2435.3943	212.9286,482.77838,2362.9583	311.00235,396.58173,2363.2742	260.8452,294.19254,2319.297	325.91846,488.4845,2392.1306	376.70166,217.97716,2440.9875	293.26132,221.36409,2134.6575	
