277.86295,135.11285,2531.421	285.58047,182.15073,2524.3718	251.41054,187.76099,2517.161	234.02953,239.28627,2499.3381	285.58047,182.15073,2524.3718	319.55576,176.5724,2531.5828	336.83185,228.27882,2494.6448	293.69763,230.03256,2524.4458	279.662,281.73178,2519.8335	272.805,381.75885,2409.9307	323.8845,274.1056,2529.206	276.20807,460.33978,2552.8674	330.43723,373.21143,2458.466	279.662,281.73178,2519.8335	341.58224,461.44797,2522.7458	295.55978,235.37042,2300.8264	246.85742,221.72551,2257.328	
274.0794,136.1499,2523.6423	282.35153,183.64656,2521.9426	248.25049,189.636,2517.7615	231.61139,242.61638,2524.6394	282.35153,183.64656,2521.9426	316.33972,177.67696,2526.1238	333.67343,228.08133,2484.3152	290.92407,231.5181,2525.8013	277.41135,283.22403,2526.943	270.8756,383.0931,2414.7078	321.48227,275.2717,2532.3767	273.535,460.78625,2561.7615	327.23758,374.4704,2449.656	277.41135,283.22403,2526.943	340.7966,460.37183,2530.7031	291.53845,233.86005,2298.8398	242.2472,227.47484,2274.7854	
269.39517,136.31049,2519.722	278.89627,184.11116,2521.275	245.01495,190.8354,2520.9731	229.90364,244.04027,2529.2559	278.89627,184.11116,2521.275	312.76947,177.38852,2521.5767	332.57074,227.4957,2474.115	288.4373,231.81772,2526.7236	276.01233,283.67798,2531.9763	270.73138,383.37314,2413.155	319.85883,274.96066,2532.3684	275.4649,459.84644,2567.2024	327.3112,374.08954,2442.2185	276.01233,283.67798,2531.9763	340.5452,458.59622,2535.8137	287.62146,230.93764,2292.1497	239.63205,227.53523,2274.7803	
264.93057,134.41864,2526.2703	274.9732,181.77513,2524.4158	241.38733,189.08914,2528.3494	226.78973,244.44795,2504.6033	274.9732,181.77513,2524.4158	308.6639,174.4383,2520.4822	332.20035,223.87994,2475.9922	285.1979,229.27197,2526.0342	273.5776,281.3619,2530.209	269.6715,381.09338,2414.074	317.28568,272.04462,2525.0962	273.95932,458.20587,2565.3125	322.979,371.12207,2458.2131	273.5776,281.3619,2530.209	340.20383,451.0296,2494.6992	283.3232,224.40828,2306.923	237.75647,221.21866,2249.0474	
260.55737,132.40955,2528.582	271.59686,179.4856,2526.4783	238.26614,187.39159,2533.0876	225.62314,241.07811,2490.7874	271.59686,179.4856,2526.4783	305.10242,171.53815,2519.869	332.14212,218.33965,2475.953	282.52335,226.76921,2525.4873	271.72903,279.07465,2528.7905	269.98657,378.80093,2424.4922	315.2618,269.08823,2520.2021	273.35614,457.26892,2566.7012	322.0474,367.78986,2473.2134	271.72903,279.07465,2528.7905	339.75668,447.6071,2481.1235	281.089,215.78633,2313.4832	233.60796,216.14534,2225.1802	
255.79932,129.04376,2538.6934	268.06525,175.1623,2530.6738	235.18535,184.25374,2539.265	222.93544,239.38231,2501.4036	268.06525,175.1623,2530.6738	301.16913,166.00891,2522.0828	331.38095,210.074,2482.8694	280.44153,221.89275,2524.5498	271.32117,274.58856,2524.0103	272.06143,374.04285,2445.315	314.5307,263.08685,2512.8413	276.0678,456.82318,2555.453	322.98804,361.63876,2476.0144	271.32117,274.58856,2524.0103	340.212,432.46497,2488.6685	281.99734,201.99321,2319.919	229.188,210.52786,2233.9368	
252.56224,126.18489,2543.7783	265.25934,172.05829,2533.5737	232.69255,181.66959,2545.158	223.67554,235.05785,2545.683	265.25934,172.05829,2533.5737	298.1253,162.35873,2521.9895	332.36713,203.25844,2491.8992	278.17944,218.55388,2525.526	269.77823,271.36273,2525.0042	271.6997,370.35663,2466.4897	312.71442,259.29468,2509.952	274.94458,456.17017,2550.86	324.8775,357.39166,2421.9575	269.77823,271.36273,2525.0042	340.30106,418.85333,2508.1338	283.45624,190.81508,2324.048	222.47455,213.30876,2272.9497	
250.59433,124.615524,2546.8962	262.65872,170.46735,2537.4902	230.32376,179.83664,2553.6794	222.86475,233.84634,2566.375	262.65872,170.46735,2537.4902	295.40894,160.97774,2521.301	332.5025,197.83392,2498.9858	275.04468,217.03644,2529.3584	266.21094,269.65942,2531.7478	270.92026,368.13947,2480.1633	308.9886,258.10425,2510.7053	272.14252,455.07697,2553.9119	326.57886,339.67905,2357.2014	266.21094,269.65942,2531.7478	340.37003,401.38654,2526.7896	286.06717,181.72287,2329.4968	220.6869,213.56783,2302.0535	
249.47934,122.77231,2547.3247	261.21985,168.86765,2540.9348	228.66597,177.92688,2553.5684	222.31448,233.92947,2581.6724	261.21985,168.86765,2540.9348	294.0991,159.71786,2528.3013	333.42722,193.04771,2513.975	273.31467,215.46735,2533.6316	264.09116,267.96393,2534.5366	273.35327,365.73288,2489.8557	307.00708,256.67236,2518.12	273.2838,454.5202,2546.1775	333.61124,321.35205,2318.603	264.09116,267.96393,2534.5366	347.40738,379.52066,2542.8972	288.80835,174.38312,2334.8325	219.80304,214.39091,2321.9993	
248.33035,120.853516,2557.1023	259.70483,166.91849,2548.0352	227.12177,175.85008,2558.8604	220.71474,232.19418,2589.3313	259.70483,166.91849,2548.0352	292.56592,157.9107,2537.21	333.7489,191.22427,2526.4897	271.56326,213.36241,2537.8477	262.0828,265.77942,2534.6924	273.80127,363.12604,2495.975	305.0714,254.55074,2520.628	273.7151,453.48724,2537.049	339.79578,302.876,2276.6191	262.0828,265.77942,2534.6924	354.75403,359.27045,2541.2664	294.30838,168.26498,2333.3127	217.34198,215.44275,2333.1262	
