351.49893,123.83535,2456.516	352.96237,173.59195,2471.8945	317.98376,174.78629,2483.885	303.77313,221.43564,2433.6484	352.96237,173.59195,2471.8945	388.28198,172.38597,2459.904	406.86386,225.35316,2461.5554	354.30328,223.09782,2493.5872	333.13788,272.2127,2523.1057	327.7808,371.8365,2433.2263	378.24466,271.28394,2507.4539	330.94272,459.19302,2516.8105	386.2315,371.5351,2415.5613	333.13788,272.2127,2523.1057	389.891,464.20056,2461.7107	393.45694,206.84648,2226.4202	321.77454,193.795,2173.367	
351.7191,123.712875,2451.7095	353.1303,173.62747,2470.3682	318.1486,174.73935,2483.4712	302.91992,221.63373,2436.8281	353.1303,173.62747,2470.3682	388.48514,172.50372,2457.2646	407.16595,225.85529,2455.2764	354.3637,223.12971,2494.255	333.12488,272.07416,2526.6938	327.5151,371.5149,2428.0806	378.1755,271.30887,2509.5898	331.62912,458.50122,2515.4817	386.7477,371.4239,2409.059	333.12488,272.07416,2526.6938	389.4341,463.29703,2464.0193	393.32104,207.89456,2218.0034	322.21014,193.45113,2170.4834	
351.8612,123.957565,2449.8044	353.2882,173.96855,2469.709	318.30603,175.05672,2483.3564	301.27823,222.40137,2449.415	353.2882,173.96855,2469.709	388.65912,172.86829,2456.0615	405.7672,226.48268,2456.1387	354.49667,223.46379,2494.6465	333.24933,272.33154,2528.491	327.21066,371.6546,2423.537	378.27225,271.6245,2510.677	332.43515,458.10022,2515.4854	386.86212,371.67194,2402.595	333.24933,272.33154,2528.491	389.72308,462.4297,2468.0334	392.23184,206.83412,2221.007	316.82318,196.7343,2176.0488	
350.95847,123.44186,2457.8455	352.8746,173.22488,2472.203	317.9686,174.67632,2487.0957	302.5776,222.4342,2440.2139	352.8746,173.22488,2472.203	388.20374,171.75584,2457.31	406.96436,226.30835,2452.5498	354.56076,222.72865,2493.0315	333.75217,271.96756,2523.5808	328.13925,371.4848,2414.8967	378.8602,270.85233,2504.1394	331.89362,458.4793,2505.6316	387.48718,371.12134,2392.362	333.75217,271.96756,2523.5808	390.2505,461.96442,2460.373	390.84637,206.51996,2219.8518	315.75546,198.6207,2168.306	
350.55142,123.47678,2453.873	352.23386,173.31126,2471.9116	317.35266,174.6525,2487.9846	303.36194,222.34367,2436.612	352.23386,173.31126,2471.9116	387.57166,171.95248,2455.8386	405.29852,225.65535,2455.272	353.79315,222.7833,2495.2854	332.91565,271.79163,2529.1494	325.85095,370.94855,2437.532	377.9188,270.87875,2508.169	331.97733,459.0353,2512.8489	385.939,371.05215,2401.7712	332.91565,271.79163,2529.1494	388.21982,461.70853,2468.8457	389.57196,209.20828,2218.9207	315.14944,199.40268,2168.0042	
350.6172,124.21999,2450.8857	352.10352,174.08571,2471.233	317.24457,175.36432,2488.5488	302.52844,221.89844,2428.8083	352.10352,174.08571,2471.233	387.4544,172.78903,2453.917	404.0119,225.11378,2459.6348	353.60355,223.53816,2496.1812	332.7037,272.39493,2532.431	326.7538,371.55695,2435.0212	377.6455,271.62543,2509.828	332.54733,459.42102,2513.113	386.7041,371.69196,2401.6118	332.7037,272.39493,2532.431	388.62146,462.7497,2465.6296	389.16544,210.70213,2221.6401	314.99536,200.14537,2162.8608	
349.98514,124.673515,2458.3914	351.63638,174.26685,2473.5361	316.86404,175.65076,2492.515	303.16498,221.42554,2423.905	351.63638,174.26685,2473.5361	386.94647,172.86153,2454.5574	403.7322,224.72823,2461.3137	353.24277,223.7329,2494.9106	332.43546,272.7684,2528.672	326.91837,372.15387,2428.8604	377.42972,271.9447,2503.8982	332.44586,460.24902,2507.0427	386.4559,372.2987,2401.9238	332.43546,272.7684,2528.672	388.97833,464.83936,2453.4011	388.0885,211.25372,2224.953	315.5239,200.22874,2159.2861	
349.5397,125.35497,2453.1455	351.31274,175.07855,2472.1504	316.50882,176.48006,2490.6707	302.77396,221.42831,2421.4514	351.31274,175.07855,2472.1504	386.6421,173.65587,2453.6301	403.31088,224.42578,2463.659	353.0111,224.48462,2497.2917	332.33826,273.33813,2534.5203	327.56027,372.5647,2439.735	377.22812,272.46933,2510.346	332.00552,460.5348,2516.388	386.6349,372.54376,2414.9817	332.33826,273.33813,2534.5203	389.58212,464.494,2467.285	387.6493,211.37186,2228.511	314.654,200.19028,2163.0908	
348.61984,124.46412,2450.522	350.84695,174.25754,2472.1174	316.0569,175.87173,2490.813	302.745,221.71774,2426.7234	350.84695,174.25754,2472.1174	386.16724,172.61871,2453.4219	402.81885,224.96234,2462.8318	352.85565,223.64397,2498.171	332.506,272.57526,2536.4263	327.98462,371.71576,2438.5022	377.3566,271.44113,2512.0225	331.1259,460.61047,2508.9119	386.16193,371.44852,2411.63	332.506,272.57526,2536.4263	390.34607,463.90076,2460.5288	386.88214,209.69109,2229.6543	313.48944,200.72731,2173.6597	
348.0229,124.245674,2449.2214	350.75836,174.07825,2472.626	315.95953,176.03099,2490.2312	303.6868,221.51651,2430.8643	350.75836,174.07825,2472.626	386.05627,172.09752,2455.0208	402.48688,225.01315,2464.9321	353.2565,223.3933,2500.2715	333.4041,272.43814,2539.4082	327.77243,371.38196,2447.0815	378.19955,270.81387,2516.4258	333.20892,461.06854,2507.6108	386.04675,370.6767,2415.518	333.4041,272.43814,2539.4082	391.4253,462.93964,2464.3015	385.6765,208.8017,2231.0925	313.62238,200.96521,2175.1619	
