319.04086,133.34637,2532.593	319.0811,181.64838,2561.8513	285.32318,181.58272,2567.7324	259.83545,222.18097,2481.7522	319.0811,181.64838,2561.8513	352.99432,181.71434,2555.9702	369.75427,230.76491,2474.476	319.14145,228.97775,2599.0244	297.76498,274.79492,2640.0369	276.45642,366.21088,2548.957	340.69775,275.15027,2632.3582	256.66028,436.67725,2555.136	359.81937,367.88766,2514.6228	297.76498,274.79492,2640.0369	380.00516,456.1034,2539.0962	349.22064,188.52039,2283.487	284.3808,179.29524,2240.1829	
317.05908,131.90384,2531.7297	317.68732,180.19093,2562.628	283.98834,180.48898,2570.563	258.87756,219.19661,2474.3594	317.68732,180.19093,2562.628	351.5956,179.89102,2554.6929	365.94196,229.68031,2474.226	318.3158,227.51004,2600.2002	297.53467,273.48755,2642.951	275.8905,365.49542,2551.977	340.40228,273.47473,2632.594	255.98495,438.2657,2554.7393	358.4537,366.87363,2523.2766	297.53467,273.48755,2642.951	379.96387,456.06247,2536.7869	346.70392,186.70634,2279.6895	282.60107,175.5952,2235.14	
315.52356,132.09818,2531.7979	316.52734,180.14801,2562.6516	282.96194,180.55075,2574.779	257.2436,216.77007,2471.1638	316.52734,180.14801,2562.6516	350.41193,179.74144,2550.5242	364.52768,229.24792,2472.5994	317.4182,227.46356,2600.3096	296.95593,273.40494,2645.8843	274.59262,365.51147,2560.491	339.73978,273.4516,2630.0508	255.50148,439.3556,2554.858	356.8454,367.38745,2525.3042	296.95593,273.40494,2645.8843	379.37167,457.29895,2530.6472	344.2933,185.80887,2280.624	279.32233,173.26627,2230.8186	
313.84735,132.38739,2523.3425	314.93192,180.64278,2559.1873	281.42233,181.01242,2574.0916	256.12317,217.24753,2475.5803	314.93192,180.64278,2559.1873	348.8341,180.2688,2544.283	362.80222,228.98932,2463.7913	315.96777,227.85207,2600.9329	295.74103,273.4632,2652.405	273.33362,365.5382,2566.3264	338.35767,273.6773,2632.952	254.77518,439.7874,2556.4993	355.6579,367.6097,2531.2444	295.74103,273.4632,2652.405	377.637,457.15155,2541.0579	340.29028,185.43706,2277.1191	275.53857,173.38083,2228.5845	
312.66086,132.0546,2526.614	313.76016,180.36073,2559.6519	280.4574,180.7474,2579.0935	254.32271,219.26968,2484.2817	313.76016,180.36073,2559.6519	347.57266,179.96812,2540.2102	361.389,228.97464,2455.8945	314.88745,227.67418,2598.5361	294.8128,273.39166,2650.1123	272.7851,365.76288,2561.5713	337.3549,273.7953,2624.7285	254.78217,440.30212,2547.702	355.9524,367.78345,2514.4536	294.8128,273.39166,2650.1123	377.6903,457.18884,2533.1147	336.59015,187.14442,2274.46	272.574,176.09143,2234.744	
311.12726,133.01614,2520.7566	312.16864,181.32141,2557.9346	278.99692,181.52582,2580.4153	253.02898,219.76938,2481.6516	312.16864,181.32141,2557.9346	345.92862,181.1134,2535.4539	361.1274,228.57907,2447.4387	313.3088,228.48706,2600.9458	293.38867,273.73557,2658.6277	271.43304,365.87787,2570.076	335.66965,274.50504,2629.2864	254.41913,440.68744,2560.5186	354.51715,368.36377,2524.8525	293.38867,273.73557,2658.6277	377.59262,457.3471,2540.886	334.12897,188.65733,2272.8096	270.01562,177.39693,2227.777	
310.11487,134.05914,2526.3247	311.45398,182.33586,2559.3533	278.31012,182.76776,2582.109	252.568,221.42778,2483.3286	311.45398,182.33586,2559.3533	345.19254,181.89621,2536.5977	358.3224,231.1148,2447.7134	312.86755,229.53989,2600.3057	293.198,275.03452,2656.106	271.5241,367.35193,2552.447	335.51443,275.5285,2626.4102	255.54019,441.781,2546.982	355.78958,369.1744,2512.9653	293.198,275.03452,2656.106	379.46933,458.33493,2530.3066	331.15448,190.13016,2269.1921	268.58444,180.97632,2225.57	
309.27856,135.72168,2528.6238	310.33823,183.99908,2559.2708	277.47574,184.22948,2586.7737	252.40732,222.82144,2482.6711	310.33823,183.99908,2559.2708	343.91467,183.7637,2531.7678	356.0767,233.917,2448.8743	311.6019,231.23904,2598.886	291.91696,276.57785,2656.4585	270.42432,368.92773,2541.2134	334.02493,277.54968,2620.544	254.35985,441.82825,2549.1055	355.28116,371.24786,2501.8152	291.91696,276.57785,2656.4585	377.6347,459.8519,2531.1272	328.37048,193.61412,2271.6335	267.69574,183.70306,2216.8042	
308.4871,138.39606,2521.2627	309.60007,186.56592,2555.4688	276.74625,186.53091,2583.9182	250.93575,225.65875,2490.3489	309.60007,186.56592,2555.4688	343.19363,186.60173,2527.0193	356.80676,234.84618,2451.9285	310.77335,233.65125,2599.3848	291.08313,278.50406,2661.863	270.65762,370.8941,2538.4282	333.02667,279.84943,2624.7385	254.95532,441.21716,2553.7742	356.78287,372.83545,2503.6167	291.08313,278.50406,2661.863	378.66138,460.62408,2540.6143	326.23764,198.84985,2273.0994	266.0681,187.86868,2224.6306	
307.7077,141.9784,2509.5806	308.93756,190.31776,2551.1975	276.1697,189.98059,2581.7283	250.10583,229.74869,2498.693	308.93756,190.31776,2551.1975	342.4992,190.66312,2520.6667	356.98526,238.35963,2458.4473	310.13736,237.12279,2600.895	290.60043,281.27457,2670.5178	270.37744,373.18396,2531.3372	332.2974,283.08435,2630.6672	255.29376,442.4643,2556.8354	357.74448,375.09158,2491.0596	290.60043,281.27457,2670.5178	378.54932,461.82098,2542.4453	324.98605,205.50735,2272.4521	266.7314,191.91232,2236.2732	
