211.59221,131.5993,2780.506	208.82939,174.9894,2768.228	178.82408,174.12045,2788.466	163.59836,219.49818,2752.1401	208.82939,174.9894,2768.228	239.27664,175.87112,2747.99	245.27768,218.40543,2755.788	206.49527,219.21729,2762.339	184.45662,262.6404,2769.6592	188.60912,349.1433,2811.911	224.03546,264.63748,2743.2412	187.00009,428.3802,2737.4714	231.1735,353.41388,2753.2449	184.45662,262.6404,2769.6592	247.9079,436.60605,2658.0803	207.51279,212.07167,2549.5078	159.3472,196.13914,2485.2996	
211.10736,131.36357,2769.2192	208.27277,175.14633,2765.0198	178.42679,173.87598,2787.2883	163.94829,219.70941,2751.617	208.27277,175.14633,2765.0198	238.6034,176.43732,2742.7512	246.13788,218.55675,2757.874	205.7641,219.44518,2765.9639	183.76045,262.41995,2781.4438	188.00636,348.5363,2824.1792	222.9598,265.02127,2752.372	186.41719,427.78436,2748.1665	230.16183,353.516,2762.069	183.76045,262.41995,2781.4438	247.15607,436.50095,2669.04	207.13524,212.04515,2552.0369	162.06108,194.94034,2483.5916	
211.30264,131.93295,2774.077	207.88553,175.6185,2766.1953	178.31488,174.26642,2791.4248	164.04124,219.25826,2748.3198	207.88553,175.6185,2766.1953	238.00052,176.99547,2740.9658	244.72632,218.83517,2756.955	204.99112,219.87366,2764.957	182.74908,262.75787,2780.1865	187.84683,349.50098,2810.75	221.67105,265.59598,2747.251	185.99937,428.9975,2734.4438	229.78601,354.4651,2749.663	182.74908,262.75787,2780.1865	246.71524,436.93536,2654.2964	207.00069,212.17989,2555.6604	162.99255,194.26346,2474.586	
211.01363,131.96045,2776.9949	207.77069,175.5329,2766.5088	178.15938,174.40118,2791.4233	160.99158,217.85547,2769.1667	207.77069,175.5329,2766.5088	237.92021,176.68517,2741.5942	245.91748,218.55638,2756.9802	205.10004,219.79361,2763.875	183.03514,262.87787,2777.4998	188.93666,349.582,2810.065	222.0431,265.4146,2744.9827	187.50873,429.03598,2735.1475	231.6195,354.18042,2748.2412	183.03514,262.87787,2777.4998	248.3555,435.84906,2656.9277	206.51408,212.53355,2560.3105	157.45293,197.15533,2494.2998	
211.27664,131.88257,2778.4553	207.76688,175.34146,2766.4976	178.09286,174.20087,2790.7126	160.26132,215.95786,2784.0862	207.76688,175.34146,2766.4976	237.96497,176.50218,2742.2825	243.9866,218.54503,2759.997	204.98611,219.58575,2762.2266	182.74454,262.71326,2773.7585	188.46625,349.51776,2807.0815	221.87306,265.23538,2742.1526	186.92177,428.19543,2733.17	231.0339,354.09116,2746.8064	182.74454,262.71326,2773.7585	248.01051,435.8584,2657.2651	206.21498,213.01024,2561.9895	157.77187,200.46692,2515.845	
211.12485,130.98213,2778.1833	207.66754,174.4865,2767.0771	178.2004,173.32843,2793.54	160.64244,216.9177,2772.049	207.66754,174.4865,2767.0771	237.70374,175.66693,2740.6143	243.34198,218.82565,2758.0	204.77628,218.71928,2763.1113	182.56067,261.76755,2776.4182	188.3562,348.3314,2812.949	221.4361,264.40744,2741.8728	187.24033,427.27432,2741.609	230.94717,353.21072,2747.3457	182.56067,261.76755,2776.4182	247.84431,435.34055,2657.2644	206.07404,212.7292,2559.666	159.01288,199.63808,2512.2427	
211.0251,131.3353,2778.551	207.62437,174.6269,2765.901	178.10205,173.4963,2791.9253	161.53336,217.70926,2765.5288	207.62437,174.6269,2765.901	237.70752,175.77898,2739.8765	245.82848,218.15816,2760.5098	204.72087,218.87054,2761.0037	182.44513,261.98566,2773.0903	188.00517,348.82477,2806.5952	221.40909,264.57312,2739.1226	187.32295,428.73346,2736.646	231.32811,353.72852,2736.223	182.44513,261.98566,2773.0903	248.42986,436.28265,2656.0144	206.627,212.54764,2558.086	160.00967,198.30879,2501.685	
211.14053,131.23825,2779.2207	207.69174,174.44522,2765.8232	178.19014,173.33063,2792.123	159.45645,217.90248,2736.7769	207.69174,174.44522,2765.8232	237.75977,175.58124,2739.5234	250.57811,219.25082,2772.1396	204.80408,218.69273,2761.019	182.55815,261.81348,2773.3792	188.31102,348.4278,2810.7803	221.49707,264.39154,2739.0505	187.70715,428.2194,2741.7651	232.2356,353.80807,2724.6082	182.55815,261.81348,2773.3792	248.78902,435.45,2658.807	207.95526,213.91876,2565.6162	161.91759,196.56026,2475.394	
211.63364,130.57901,2768.0486	208.23308,174.18651,2759.5312	178.28453,172.73506,2781.019	158.05403,219.73546,2743.3782	208.23308,174.18651,2759.5312	238.65167,175.66074,2738.0435	250.55592,219.297,2779.0486	205.27094,218.55072,2757.5908	182.69804,261.5759,2769.6821	188.4559,348.39215,2805.5771	222.11191,264.39325,2741.6187	187.90292,427.74265,2738.0596	233.78186,353.81323,2719.9287	182.69804,261.5759,2769.6821	249.07668,435.4287,2660.0022	209.34207,214.8789,2558.902	161.04115,198.36728,2477.3064	
212.57849,130.46484,2762.9734	209.12335,174.17844,2755.901	178.86594,172.57457,2773.9866	157.39137,217.90823,2770.1855	209.12335,174.17844,2755.901	239.78053,175.8035,2737.8152	250.90907,219.66997,2788.5208	206.13824,218.60776,2754.8652	183.36914,261.64117,2765.6333	189.06209,348.4006,2804.876	223.10295,264.51212,2742.026	188.26,427.59708,2736.8564	234.92538,354.18866,2706.7644	183.36914,261.64117,2765.6333	250.00778,436.51404,2651.6287	211.22447,215.44574,2562.166	163.02455,203.23445,2504.6497	
