291.75284,124.2003,2616.569	290.7396,170.63872,2600.0923	257.07416,169.15877,2576.9495	253.12625,218.85085,2444.7122	290.7396,170.63872,2600.0923	323.811,172.09254,2623.235	330.41757,223.88797,2625.805	289.99213,217.43057,2579.9731	267.07108,264.54147,2544.8152	259.51764,362.54123,2490.4055	311.13583,265.36954,2574.8928	242.56949,450.17563,2542.6138	325.89047,361.27408,2520.803	267.07108,264.54147,2544.8152	343.9419,450.8435,2535.851	319.9425,222.1573,2356.7463	285.97012,197.46552,2241.178	
291.40103,124.31615,2618.2212	290.52344,170.57765,2601.0906	256.8554,169.27396,2578.966	251.78404,219.006,2451.8613	290.52344,170.57765,2601.0906	323.62357,171.85936,2623.215	330.5739,223.51079,2627.3953	289.9632,217.34311,2580.5688	267.2237,264.53253,2545.6704	258.8716,362.36148,2495.5737	311.31665,265.18045,2574.4238	241.98727,450.2992,2544.0068	324.81747,361.27374,2521.3816	267.2237,264.53253,2545.6704	342.2475,451.40906,2536.319	320.52194,221.89221,2355.318	287.20215,199.43237,2255.0015	
292.01743,124.10729,2611.0635	291.38977,170.79398,2599.1736	257.73483,169.7214,2574.3027	252.33041,219.05621,2452.9297	291.38977,170.79398,2599.1736	324.40674,171.84619,2624.0444	330.42157,223.22517,2629.2231	291.24893,217.70032,2582.6018	269.0215,265.1073,2549.8657	261.13464,362.92303,2495.3154	312.91455,265.31644,2582.1943	243.3152,449.75436,2551.4773	326.53336,361.04514,2532.2742	269.0215,265.1073,2549.8657	343.05154,451.5907,2542.6167	320.38306,221.57933,2354.4722	288.54367,200.07529,2252.1667	
292.76358,124.80626,2606.9695	292.15933,171.73065,2598.0017	258.52866,170.67279,2570.922	248.91661,221.36635,2475.9602	292.15933,171.73065,2598.0017	325.0962,172.76671,2625.0813	330.33948,223.20554,2632.6143	292.0899,218.73218,2584.1616	270.00934,266.199,2552.7249	259.88782,363.78885,2495.222	313.7308,266.28012,2587.9182	242.82224,451.6938,2543.4773	325.8514,362.16016,2528.8538	270.00934,266.199,2552.7249	341.9999,452.33994,2546.284	320.4319,221.57034,2356.996	286.02332,204.08461,2281.2356	
293.17953,124.7049,2613.4202	292.59433,171.38512,2600.3962	259.0732,170.0718,2569.9395	245.67181,222.89725,2492.973	292.59433,171.38512,2600.3962	325.3393,172.66805,2630.853	328.73502,224.46811,2647.31	292.44183,218.29369,2584.4668	270.3178,265.65656,2548.743	259.63892,363.40576,2488.6033	313.92105,265.90967,2588.3318	241.26797,451.41516,2535.8535	325.22186,361.96558,2523.0388	270.3178,265.65656,2548.743	341.85974,452.30313,2540.84	320.86972,224.25671,2373.8667	283.27887,206.95403,2301.887	
293.72644,125.08661,2616.646	293.01254,171.48474,2601.1838	259.5676,169.97418,2568.261	243.81754,223.87973,2500.9817	293.01254,171.48474,2601.1838	325.62143,172.95752,2634.1067	327.6184,225.4078,2652.1575	292.7835,218.34975,2583.9902	270.62018,265.6453,2545.4038	258.9658,363.3375,2489.6511	314.12006,266.03668,2588.1895	241.43265,451.62488,2535.7942	325.39206,362.16516,2519.0327	270.62018,265.6453,2545.4038	341.68445,452.36273,2540.751	322.37704,225.86334,2378.3896	281.9546,208.41595,2308.904	
294.37335,126.5836,2609.7544	293.31192,173.36282,2598.046	259.9281,171.74136,2561.8848	243.59317,224.22427,2501.9785	293.31192,173.36282,2598.046	325.77917,174.93976,2634.207	331.07986,226.94817,2650.063	292.88998,220.39581,2585.5806	270.65662,267.6969,2549.6152	258.45258,365.10468,2498.3237	313.8766,268.0687,2596.6152	241.80856,453.2592,2544.2188	324.22675,363.85236,2538.2058	270.65662,267.6969,2549.6152	342.19012,450.582,2521.8735	324.55127,228.66528,2381.5923	281.36234,209.15977,2308.257	
293.65942,126.573494,2605.8245	293.00125,173.43335,2596.454	259.68588,171.96948,2557.4395	242.76749,224.62683,2501.4924	293.00125,173.43335,2596.454	325.33026,174.85385,2635.4688	332.24753,228.501,2655.047	292.8576,220.54369,2586.2117	271.00284,268.01514,2550.6165	258.61444,365.54022,2491.3823	313.99954,268.04193,2601.322	241.53577,452.71863,2546.6245	325.85995,363.6116,2527.1448	271.00284,268.01514,2550.6165	342.06943,452.11667,2531.723	327.8235,232.04285,2385.3652	279.25748,209.85475,2300.2737	
293.4074,127.2581,2603.8643	292.86035,174.31052,2594.8042	259.71268,172.81479,2551.2666	243.23131,223.8989,2499.7532	292.86035,174.31052,2594.8042	324.91403,175.7569,2638.3418	334.5244,229.62828,2665.0327	292.84976,221.4732,2585.3665	271.26196,269.0595,2547.6292	257.52872,366.70392,2480.3867	313.9472,268.90518,2604.2283	242.18758,453.69217,2542.7578	326.44977,364.37518,2517.1272	271.26196,269.0595,2547.6292	341.2777,453.47235,2537.277	333.88782,234.10016,2392.122	279.6561,210.41458,2294.6584	
293.08618,127.50609,2603.8909	292.67612,174.45062,2593.7686	259.66464,172.93393,2546.9067	243.2587,223.97794,2495.8826	292.67612,174.45062,2593.7686	324.5159,175.91351,2640.6304	338.9697,229.77298,2674.5244	292.8039,221.63623,2584.4048	271.46634,269.31198,2544.5916	257.1275,367.06467,2474.7046	313.89713,269.02145,2605.4905	242.39798,453.47284,2544.0735	326.88202,364.41592,2511.714	271.46634,269.31198,2544.5916	341.7374,453.66446,2540.085	339.97397,237.20183,2400.569	277.9906,210.70819,2282.1775	
