280.55548,130.06448,2715.564	281.17206,174.96779,2716.4795	249.15063,175.21524,2713.2031	235.6242,219.83818,2646.5332	281.17206,174.96779,2716.4795	313.1163,174.72092,2719.7559	313.11615,233.73715,2719.7556	281.66495,220.16202,2719.8894	261.3218,265.475,2721.1611	261.38766,355.4899,2724.836	302.95877,265.01147,2725.4375	255.97244,440.51233,2629.8499	306.01196,356.74866,2657.1826	261.3218,265.475,2721.1611	325.4696,442.84735,2564.376	313.07635,292.73233,2720.8174	249.9233,188.08478,2418.085	
280.2197,129.39601,2717.2341	281.03897,174.2462,2717.9514	249.18564,174.74036,2720.1128	235.55603,219.60063,2648.7527	281.03897,174.2462,2717.9514	312.94302,173.75125,2715.79	312.94287,232.85367,2715.7898	281.7094,219.41266,2720.5632	261.61438,264.76785,2724.5862	262.1653,354.9525,2721.716	303.1643,264.21683,2721.764	257.05627,439.26715,2637.3352	306.86145,356.03284,2655.1775	261.61438,264.76785,2724.5862	326.76556,442.32303,2561.4292	312.9071,291.93744,2716.7454	250.83768,187.87868,2418.9856	
280.37784,127.89941,2718.0728	280.76846,172.78027,2718.118	248.93207,173.06255,2721.0566	236.63126,218.50377,2636.3823	280.76846,172.78027,2718.118	312.67377,172.49738,2715.1792	312.6736,231.6131,2715.179	281.11252,217.9498,2720.6724	260.7153,263.155,2725.144	260.83517,353.3968,2720.7502	302.22577,262.91403,2721.3096	255.95569,438.30725,2634.53	305.37393,354.58585,2665.6602	260.7153,263.155,2725.144	325.8806,441.92197,2561.6113	312.64157,290.71243,2716.0388	250.26689,187.08664,2397.54	
279.56586,128.64395,2718.502	279.95874,173.36118,2717.7666	248.3877,173.70819,2727.8323	236.1882,217.90488,2637.7095	279.95874,173.36118,2717.7666	311.76447,173.01155,2707.701	311.7643,232.29054,2707.7007	280.16028,218.53395,2719.7627	259.74857,263.64957,2728.3315	260.81927,353.91824,2720.3137	301.0743,263.63135,2715.186	255.74872,439.59088,2636.67	304.8943,355.5027,2660.602	259.74857,263.64957,2728.3315	325.40054,443.96228,2557.4053	311.7357,291.5545,2708.4746	248.98914,186.47198,2392.4128	
280.04703,129.19537,2718.2014	280.12332,173.66342,2715.508	248.30194,173.80383,2719.4995	236.25775,218.46971,2636.8472	280.12332,173.66342,2715.508	312.03842,173.5226,2711.5166	312.03824,232.71817,2711.5164	280.1736,218.85962,2714.9797	259.4474,264.07843,2717.0552	261.20642,355.15308,2694.8955	301.0404,264.06836,2711.8477	256.72943,440.1908,2625.4546	306.33734,355.98944,2656.9402	259.4474,264.07843,2717.0552	326.33807,443.3672,2560.405	312.01248,291.90018,2712.213	249.0929,186.20552,2390.464	
280.36255,128.66661,2719.0552	280.403,173.31984,2715.7073	248.47462,173.40842,2716.1428	235.76297,218.6161,2633.4263	280.403,173.31984,2715.7073	312.34164,173.23123,2715.2717	312.3415,232.34492,2715.2717	280.51147,218.51512,2715.5928	259.79538,263.76254,2715.7622	261.89297,354.58765,2702.503	301.4489,263.6659,2715.1943	257.42374,438.44,2635.0803	307.44806,355.419,2660.756	259.79538,263.76254,2715.7622	326.81015,441.81476,2566.2297	312.31827,291.44656,2715.8987	249.50027,186.01666,2389.2659	
280.6825,128.91464,2728.485	280.7107,173.07364,2718.4446	248.77167,173.21236,2717.5557	236.8606,216.67937,2615.2222	280.7107,173.07364,2718.4446	312.62885,172.935,2719.3335	312.62866,231.96042,2719.3335	280.8719,218.16675,2713.437	260.12656,263.53677,2707.8496	261.78076,354.81625,2689.9941	301.93192,263.3165,2709.0093	257.26572,439.39526,2626.2715	307.82336,355.297,2654.2808	260.12656,263.53677,2707.8496	326.8985,442.33984,2561.7537	312.60776,290.9751,2719.8977	249.82326,185.66528,2367.9949	
280.34674,129.0632,2722.6934	280.47418,173.49112,2716.65	248.54163,173.71524,2716.959	237.3217,217.59544,2620.606	280.47418,173.49112,2716.65	312.414,173.26695,2716.3408	312.41385,232.35739,2716.3408	280.75787,218.65347,2715.1318	260.18204,264.00604,2713.8154	261.71326,355.10492,2695.9714	301.90485,263.72665,2713.412	256.82126,439.8045,2639.5566	307.7138,355.53925,2660.7104	260.18204,264.00604,2713.8154	326.22284,442.3979,2572.3643	312.39502,291.43808,2716.8486	251.59225,185.95589,2374.6584	
280.56354,129.5231,2720.8013	280.45227,174.17973,2715.8787	248.52083,174.24313,2716.6304	236.56172,217.80438,2619.8052	280.45227,174.17973,2715.8787	312.4014,174.1163,2715.127	312.40125,233.23315,2715.127	280.5099,219.36722,2715.476	259.72,264.59314,2715.564	261.05243,355.94968,2687.0632	301.42255,264.54303,2714.583	256.49518,440.04385,2634.0461	308.04453,356.38162,2651.7673	259.72,264.59314,2715.564	325.5387,442.86093,2568.6562	312.38428,292.3411,2715.584	248.15805,186.67297,2368.5654	
280.60992,129.32224,2719.8552	280.52957,174.11873,2715.5408	248.6138,174.14246,2717.0186	236.1153,216.32095,2613.9033	280.52957,174.11873,2715.5408	312.48007,174.09497,2714.063	312.47992,233.235,2714.063	280.51978,219.31952,2715.984	259.68127,264.48898,2717.3916	261.30853,355.9534,2682.4521	301.35352,264.5222,2715.4624	257.30606,438.8686,2635.4797	309.16376,356.28473,2646.7395	259.68127,264.48898,2717.3916	326.5433,442.2471,2565.1216	312.46466,292.36697,2714.4744	242.4812,185.79338,2355.184	
281.06235,129.85493,2728.3809	280.67218,174.39922,2718.9539	248.8428,174.37146,2721.9287	232.78778,217.71857,2603.9536	280.67218,174.39922,2718.9539	312.57126,174.42703,2715.979	312.5711,233.52533,2715.979	280.4796,219.51205,2716.19	259.4584,264.63406,2715.368	261.31342,356.2201,2678.6736	301.1447,264.79968,2711.4841	257.0575,439.55554,2631.3074	309.36188,356.68683,2642.7527	259.4584,264.63406,2715.368	326.2711,442.49042,2561.1436	312.5574,292.6164,2716.349	235.6964,183.91302,2346.226	
281.27893,129.44382,2734.1401	281.0163,173.7996,2721.817	249.13828,173.65758,2721.832	230.34085,215.36755,2614.9734	281.0163,173.7996,2721.817	312.89468,173.94164,2721.8018	315.2673,189.21613,2711.8193	280.74127,218.83691,2716.7183	259.57608,263.9502,2711.6296	261.5006,355.57523,2678.28	301.35452,264.137,2711.6096	257.59018,438.2829,2628.9211	310.28555,355.94376,2642.155	259.57608,263.9502,2711.6296	326.7053,441.3476,2565.6833	313.3164,217.66211,2595.9678	231.5375,180.4519,2351.1978	
281.00226,129.30057,2736.532	281.01755,173.44885,2722.9287	249.0777,173.35635,2719.7305	225.3169,212.85995,2618.5002	281.01755,173.44885,2722.9287	312.88248,173.54112,2726.127	319.7784,199.73499,2711.854	280.92987,218.44394,2716.0745	259.89502,263.6756,2707.1323	262.3476,355.2591,2680.0693	301.75616,263.65778,2711.308	257.42725,439.51752,2627.3325	310.4703,355.46765,2644.6067	259.89502,263.6756,2707.1323	326.69583,440.92084,2565.9802	317.04706,219.88165,2523.3643	224.57501,175.68942,2355.1362	
