299.41742,119.450165,2549.6387	291.17133,175.99521,2551.9949	260.06906,175.67589,2545.9233	242.06995,225.11333,2503.5383	291.17133,175.99521,2551.9949	322.12595,176.31302,2558.0664	334.77274,229.64967,2582.5667	290.92874,219.9539,2547.5176	270.99054,263.99817,2539.206	262.21143,361.82355,2485.344	310.3207,264.13638,2546.8745	256.1937,439.67142,2597.2957	325.3113,356.7934,2465.0718	270.99054,263.99817,2539.206	335.07138,441.99615,2502.8481	357.78336,237.2566,2391.3477	295.73932,228.4695,2341.4055	
299.8645,119.546036,2549.1619	292.47195,176.62332,2546.6086	262.73367,175.77016,2535.5056	244.33916,224.14523,2489.5884	292.47195,176.62332,2546.6086	321.95203,177.46907,2557.7117	333.76035,230.21326,2598.457	291.63928,220.22104,2544.7642	271.37595,263.57434,2535.6667	262.12222,360.27298,2475.1013	310.1244,264.18796,2550.1726	256.33563,439.6381,2594.5686	325.33804,356.80957,2467.4358	271.37595,263.57434,2535.6667	335.06415,441.57178,2504.5186	360.27533,240.52997,2412.8342	301.72028,229.80885,2328.382	
299.87527,119.80724,2550.1628	294.21085,177.85277,2547.4956	264.08496,176.37183,2532.4656	247.21863,225.02774,2483.5754	294.21085,177.85277,2547.4956	323.98337,179.31633,2562.5256	332.9963,231.39207,2612.4167	292.63412,221.0345,2545.77	271.6759,263.6525,2534.3748	262.0891,360.45166,2472.081	310.2878,264.89243,2553.714	256.26,439.46072,2589.3577	325.28296,357.2021,2472.2227	271.6759,263.6525,2534.3748	334.93954,441.6819,2509.0227	361.6378,241.09294,2428.3906	302.68112,230.3032,2334.9907	
300.0952,120.07876,2549.235	294.6595,177.42027,2540.6484	265.3874,175.76572,2521.9016	250.14317,225.82431,2456.4937	294.6595,177.42027,2540.6484	323.50275,179.0506,2559.3953	333.36722,226.84572,2640.0896	292.84668,220.8428,2542.305	271.87778,263.54874,2531.6555	262.24512,360.99066,2471.763	310.01022,264.8625,2556.2673	256.23557,439.62485,2589.587	325.15817,357.25806,2472.7842	271.87778,263.54874,2531.6555	334.85266,442.20935,2511.519	363.41553,243.8594,2426.394	309.571,232.6101,2328.6045	
300.25754,120.39913,2547.8425	295.15826,177.58614,2541.1619	265.33252,175.65276,2517.1504	251.83438,226.10236,2448.047	295.15826,177.58614,2541.1619	324.4257,179.4833,2565.1733	335.0285,226.45428,2648.904	293.16492,220.95592,2542.1948	272.01147,263.58063,2527.7563	262.3938,361.43518,2468.7036	310.10312,264.99173,2558.6992	256.37793,439.79907,2588.9285	324.98712,357.2803,2474.3943	272.01147,263.58063,2527.7563	334.51495,441.40234,2514.4854	364.7155,245.73596,2434.0952	308.74194,232.14467,2343.8171	
300.66656,120.52714,2546.4734	295.12662,177.57233,2541.4236	265.10916,175.62001,2512.9163	252.47543,226.20094,2452.7654	295.12662,177.57233,2541.4236	324.47812,179.48135,2569.931	334.8992,227.72597,2650.206	293.31784,220.96045,2541.2546	272.7223,263.74942,2523.1958	263.05487,361.3807,2461.7378	310.03262,264.95078,2558.9756	256.54587,439.68405,2588.9543	325.0623,357.38632,2474.1162	272.7223,263.74942,2523.1958	334.54874,441.56384,2517.4934	366.88135,244.61,2437.905	308.8638,230.36095,2337.8647	
300.69376,120.72122,2546.3967	294.66913,177.24034,2538.2283	265.17838,175.43008,2507.2861	251.96198,226.13887,2454.782	294.66913,177.24034,2538.2283	323.44952,179.007,2569.1704	334.4695,228.68077,2653.3577	293.13623,221.07373,2537.7083	273.07062,264.46808,2517.6885	263.37238,361.72388,2463.9756	309.8521,265.3751,2556.688	256.6284,439.62564,2589.84	325.77222,362.15207,2490.237	273.07062,264.46808,2517.6885	337.141,445.287,2521.8262	365.0683,243.04327,2441.1572	308.5823,231.03024,2328.9119	
300.71988,120.826225,2545.6345	294.22635,176.9547,2536.0393	264.83014,175.31172,2505.8606	250.71841,225.76569,2461.5005	294.22635,176.9547,2536.0393	322.93118,178.55904,2566.218	334.55167,228.16855,2655.732	292.83734,220.97992,2537.2292	272.73257,264.59305,2519.1243	263.39737,362.09885,2462.5132	309.88428,265.3291,2557.714	256.55948,440.12607,2587.608	325.57285,360.42755,2485.0579	272.73257,264.59305,2519.1243	336.30234,443.45883,2521.6836	342.69165,239.52441,2403.261	308.4795,230.94969,2331.2002	
300.4661,120.89387,2546.101	293.96277,176.81337,2535.085	264.81448,174.97498,2502.0857	250.236,225.4774,2457.7056	293.96277,176.81337,2535.085	322.36194,178.60449,2568.0842	332.24466,225.74232,2671.6956	292.51477,219.52615,2534.2173	271.74704,261.79736,2511.4258	261.99838,359.72836,2458.2444	310.05304,262.73096,2555.2734	256.28955,442.49353,2586.7322	325.64383,357.1322,2480.903	271.74704,261.79736,2511.4258	335.9574,440.02344,2517.3328	361.31094,240.12708,2440.5637	303.50507,225.7471,2322.51	
297.70245,120.22535,2555.5457	292.38416,175.47195,2533.5596	263.6785,174.02179,2500.5864	247.142,223.97656,2455.7102	292.38416,175.47195,2533.5596	320.35223,176.88489,2566.5327	327.08548,219.41573,2689.2207	291.51605,218.20499,2532.8418	270.84045,260.7396,2509.3113	262.47272,362.89117,2457.1333	310.1007,261.18085,2554.9368	256.0974,443.89966,2581.3723	325.52206,355.44675,2481.9478	270.84045,260.7396,2509.3113	335.84476,438.2254,2518.0693	356.45224,235.72687,2429.8193	298.243,224.53876,2331.4888	
