273.56903,130.04689,2666.5693	271.93442,175.70584,2654.7126	239.81662,173.78073,2625.4268	224.15247,225.83182,2585.4966	271.93442,175.70584,2654.7126	303.35135,177.58893,2683.9985	309.9409,226.54707,2701.5212	270.58136,221.7415,2638.5576	247.47615,267.74146,2602.7732	240.96483,362.2058,2597.8218	290.6241,268.93832,2642.032	223.62915,437.44458,2595.3123	302.03308,363.06302,2562.5818	247.47615,267.74146,2602.7732	316.9498,443.84668,2594.4102	308.45667,219.67305,2435.1323	239.79413,205.77763,2347.5889	
273.73596,130.52615,2672.731	272.12946,175.8797,2657.2075	240.01343,174.24023,2635.468	226.18631,227.42374,2579.2485	272.12946,175.8797,2657.2075	303.72424,177.49252,2678.947	309.73434,226.3423,2699.7603	270.75897,221.85654,2639.7244	247.58646,267.85278,2607.6616	238.63248,362.61948,2585.0212	290.9131,269.03357,2636.8208	220.77525,436.6267,2590.8647	300.42847,363.57086,2537.4507	247.58646,267.85278,2607.6616	313.70273,445.58853,2600.1538	308.35104,219.83258,2431.356	239.59927,205.90698,2343.342	
273.81622,131.45227,2665.2983	272.92657,177.0988,2654.1116	240.74632,175.93549,2634.7935	228.3404,228.06221,2563.5906	272.92657,177.0988,2654.1116	304.64178,178.24529,2673.4297	310.69055,227.16248,2692.8752	272.05655,223.22533,2640.1763	249.4455,269.5151,2613.3066	240.79004,364.72742,2571.162	292.6961,270.16443,2639.1753	222.77844,437.84534,2591.1228	302.80078,364.687,2535.2722	249.4455,269.5151,2613.3066	315.424,446.22314,2618.6436	308.69174,220.88684,2420.7222	241.10056,204.86499,2323.9558	
274.1076,131.5373,2661.5833	273.6182,177.38431,2652.9368	241.4256,176.60208,2636.7563	229.40442,226.8842,2548.7703	273.6182,177.38431,2652.9368	305.42047,178.15706,2669.1172	313.70813,227.72644,2675.928	273.1122,223.59195,2641.7417	250.89548,270.0495,2619.7092	239.92535,365.12842,2567.098	294.13022,270.3351,2641.384	222.48878,437.15173,2590.6665	303.27332,364.88132,2530.9197	250.89548,270.0495,2619.7092	315.5952,446.99707,2619.3079	309.77423,222.19167,2404.37	240.95523,204.22559,2297.6272	
273.9791,132.41287,2662.7444	273.60785,178.22366,2652.8337	241.42258,177.4762,2638.974	227.91716,226.4981,2538.8906	273.60785,178.22366,2652.8337	305.4586,178.96336,2666.6934	317.3723,226.99648,2657.4648	273.02975,224.4246,2640.6367	250.72263,270.8789,2619.1572	236.93295,365.8455,2559.767	294.017,271.2285,2637.7222	220.25978,437.44025,2583.5908	302.1907,365.98996,2520.8218	250.72263,270.8789,2619.1572	313.36362,448.43103,2614.0334	312.63803,223.18643,2383.9849	238.32535,204.32364,2281.8457	
273.96597,132.68744,2660.814	273.34363,178.52644,2651.7322	241.13275,177.68338,2637.4373	225.20074,224.85599,2538.9277	273.34363,178.52644,2651.7322	305.2091,179.36047,2666.027	321.84885,224.67561,2630.2285	272.64383,224.76045,2640.1084	250.20609,271.17426,2618.9102	234.34276,366.05267,2551.4814	293.51184,271.63083,2638.059	218.25641,438.2638,2590.324	300.96005,366.56808,2527.37	250.20609,271.17426,2618.9102	313.05164,448.87622,2621.0361	315.2202,221.31235,2362.4373	236.32309,202.80899,2276.6543	
274.68253,132.83835,2659.927	272.2859,178.71817,2650.779	240.15,176.889,2639.7063	222.49477,221.43954,2524.5503	272.2859,178.71817,2650.779	304.15445,180.5321,2661.8518	325.2643,221.91977,2595.675	269.98184,224.90685,2639.62	245.94836,270.51547,2621.0383	228.06592,364.82672,2561.738	289.2458,272.45447,2635.884	211.18423,436.64584,2599.921	295.5274,367.6682,2534.938	245.94836,270.51547,2621.0383	310.06427,450.11163,2623.664	319.07498,212.92888,2333.7898	234.14803,201.47095,2257.575	
274.78223,132.47745,2668.4304	271.12262,177.7862,2653.3782	239.05876,175.21558,2642.6921	214.33252,220.31633,2565.2424	271.12262,177.7862,2653.3782	302.92926,180.3362,2664.0642	328.83118,219.63943,2566.3762	267.70804,223.7642,2637.4238	242.52292,268.8146,2614.3118	224.17853,363.23444,2558.514	285.8625,271.781,2628.6272	206.6312,435.652,2601.0986	295.2376,366.89676,2540.9177	242.52292,268.8146,2614.3118	310.7565,451.00897,2613.6584	321.14545,202.57156,2309.2773	227.60901,202.75323,2304.841	
275.99487,131.49084,2663.7703	270.60815,176.93262,2651.087	238.70139,173.35957,2644.3315	208.54953,215.30371,2572.2346	270.60815,176.93262,2651.087	302.35272,180.4875,2657.8423	331.02316,213.65569,2543.763	265.51724,222.8144,2636.339	238.74054,266.95203,2617.063	219.90189,360.9172,2570.0996	281.923,271.465,2626.1196	200.05136,433.71014,2622.1401	293.49402,366.1792,2558.707	238.74054,266.95203,2617.063	310.2428,452.30258,2605.7778	324.55893,187.2018,2297.3987	221.41855,199.35878,2315.2773	
276.09116,131.75275,2671.8276	269.39093,176.54822,2653.692	237.595,172.01062,2645.6545	204.1378,208.9671,2554.048	269.39093,176.54822,2653.692	300.99484,181.05841,2661.7292	332.04507,207.4884,2527.3845	262.9367,222.13795,2635.0737	234.78421,265.4862,2611.072	214.23691,359.29706,2565.6565	277.9083,271.25494,2621.839	192.81119,433.96173,2632.619	290.4581,365.9649,2561.2969	234.78421,265.4862,2611.072	309.98923,452.29453,2601.137	327.4794,170.62471,2302.3926	219.5326,192.60504,2301.2917	
275.71542,132.06201,2674.6824	266.63245,175.86948,2652.792	235.37898,170.06033,2653.7244	197.30176,205.94376,2576.7654	266.63245,175.86948,2652.792	297.90787,181.68271,2651.8596	331.89435,199.40506,2507.0862	257.6248,220.89531,2629.5186	227.39255,262.7878,2606.8625	204.01028,355.73346,2571.8984	269.52997,270.66464,2605.6277	182.8057,433.80902,2650.6707	284.5617,365.46313,2561.6836	227.39255,262.7878,2606.8625	307.64175,452.9982,2579.3777	330.05536,152.92377,2309.995	213.67691,188.23546,2330.3872	
