289.00705,134.10645,2271.681	284.68906,188.3634,2257.4895	248.31924,181.5816,2145.4316	218.5546,245.71141,2088.9731	284.68906,188.3634,2257.4895	317.61896,194.50377,2369.5474	333.3967,249.45961,2397.4106	280.35056,243.89117,2246.5974	254.52298,299.40497,2169.7053	258.00745,418.46802,2120.3188	296.1866,300.48322,2301.7053	221.72482,522.65155,2144.6958	323.62695,406.3277,2300.4143	254.52298,299.40497,2169.7053	321.9681,503.61398,2359.2278	379.43713,256.8042,2197.4275	295.3073,261.72382,2070.3955	
287.75323,139.25554,2264.1167	283.7501,193.96228,2250.0098	247.09915,187.82433,2138.2512	215.05959,250.36726,2079.9207	283.7501,193.96228,2250.0098	316.9324,199.51935,2361.7683	333.6673,252.89749,2396.6924	279.63605,249.73943,2240.8262	253.92944,305.81085,2165.8318	261.12634,425.6136,2104.1736	295.81168,306.13098,2297.4534	220.75824,528.1627,2134.1257	327.02148,411.34338,2293.2039	253.92944,305.81085,2165.8318	321.57922,508.36554,2354.1277	380.00702,260.9241,2195.4878	292.66168,263.98102,2064.6782	
285.6401,145.82816,2252.8516	282.43042,200.54202,2241.4124	245.53343,195.61366,2129.4124	213.64862,256.52045,2058.3306	282.43042,200.54202,2241.4124	315.81552,205.00128,2353.4124	334.06177,257.88846,2392.8464	279.07867,256.6082,2235.4229	254.1148,313.54678,2163.4688	263.3517,433.70285,2100.2026	296.0619,312.4373,2295.398	217.4947,537.43225,2110.0745	330.55414,416.96524,2288.1782	254.1148,313.54678,2163.4688	321.35434,510.86356,2367.154	382.60596,267.02228,2192.3289	292.4492,269.10678,2052.6685	
282.81342,153.25467,2247.2153	280.09314,208.22069,2234.4966	242.86246,203.70721,2122.906	211.78275,261.95728,2033.1902	280.09314,208.22069,2234.4966	313.7821,212.30481,2346.0872	335.1288,262.3498,2387.405	276.77386,264.4932,2228.4326	251.65434,321.89502,2156.6611	257.58948,442.47034,2103.9895	293.9675,320.2978,2288.0762	0.0,0.0,0.0	329.96173,424.94635,2278.4983	251.65434,321.89502,2156.6611	317.86182,515.87744,2373.877	385.1352,273.1505,2186.8005	290.68695,273.2316,2031.059	
278.90375,159.88213,2232.395	276.43057,215.37784,2224.4539	238.69957,212.09265,2113.2607	208.02539,265.4074,2000.5732	276.43057,215.37784,2224.4539	310.56906,218.35022,2335.647	336.81754,266.2667,2374.7104	273.5144,271.88416,2223.1802	248.64014,329.9932,2156.4175	262.3362,451.02057,2086.3025	291.2925,327.00534,2287.3955	0.0,0.0,0.0	330.39703,430.16663,2282.697	248.64014,329.9932,2156.4175	315.74155,519.026,2386.155	387.95847,276.2393,2177.0168	288.18488,273.8634,2002.106	
273.16638,165.2125,2231.052	272.35483,220.76707,2219.4229	234.81326,218.57431,2105.6155	200.50568,265.5951,1961.3818	272.35483,220.76707,2219.4229	306.23407,222.74593,2333.2302	339.47214,268.9739,2357.3945	271.10675,277.47256,2216.4526	248.08447,336.60992,2146.4456	267.56674,458.5634,2054.0972	290.34622,332.18454,2280.5193	0.0,0.0,0.0	332.10837,434.93683,2272.721	248.08447,336.60992,2146.4456	316.95145,520.79626,2392.8877	390.17987,272.24423,2154.298	282.01978,270.17813,1956.0444	
266.14682,168.14194,2217.3132	266.34323,223.81717,2204.6372	228.13672,222.24487,2091.069	191.47905,259.34885,1922.2001	266.34323,223.81717,2204.6372	300.8063,225.23543,2318.2053	343.98776,264.714,2337.1814	266.17075,280.94858,2200.0566	245.93562,340.75696,2134.6301	267.1114,463.4739,2037.101	284.97745,336.01132,2256.322	0.0,0.0,0.0	319.20798,443.90854,2235.9324	245.93562,340.75696,2134.6301	307.2013,532.7065,2348.474	389.50836,260.3885,2127.7922	273.84607,259.67242,1903.8575	
257.61777,166.61023,2216.831	259.54715,222.22034,2200.3381	220.03783,221.2204,2091.472	179.66835,246.60423,1892.0151	259.54715,222.22034,2200.3381	295.33118,223.126,2309.2043	345.20578,252.46083,2321.9478	260.93875,279.45752,2192.351	240.52188,339.87387,2123.109	263.81268,462.10004,2041.0194	282.9688,334.5033,2245.6191	0.0,0.0,0.0	334.08392,434.49683,2243.05	240.52188,339.87387,2123.109	0.0,0.0,0.0	384.4046,241.08553,2100.4773	261.99966,238.96779,1856.2598	
247.56332,161.66385,2209.5884	251.3114,216.75015,2190.991	210.59763,216.48758,2085.7673	165.86452,227.03357,1875.9403	251.3114,216.75015,2190.991	288.2938,216.98866,2296.2146	344.83176,233.80196,2302.7957	254.83295,274.08514,2178.864	235.38263,335.22922,2106.152	256.4146,458.3265,2033.1241	280.15332,329.06693,2227.322	0.0,0.0,0.0	327.14917,430.3449,2243.646	235.38263,335.22922,2106.152	0.0,0.0,0.0	374.2085,215.56036,2075.656	243.77002,209.856,1814.9521	
238.37868,153.3349,2207.4685	243.7656,207.2142,2179.193	201.96689,207.28554,2077.1418	150.07639,202.73279,1872.9131	243.7656,207.2142,2179.193	281.82462,207.14925,2281.2444	336.94534,210.38498,2280.7368	249.33698,264.5274,2160.6155	232.0485,326.03604,2085.024	252.09238,449.61887,2024.9788	276.77112,319.79944,2199.0518	0.0,0.0,0.0	317.6671,420.98914,2247.714	232.0485,326.03604,2085.024	331.69662,517.63446,2302.6868	361.27734,184.52176,2055.921	223.79977,175.69614,1797.8025	
