271.33405,127.87208,2586.1472	270.8584,175.83148,2612.018	237.30426,175.42685,2586.614	218.56485,226.45224,2554.8557	270.8584,175.83148,2612.018	303.7661,176.22832,2637.422	320.2719,221.46956,2591.8586	270.60678,222.54,2642.294	249.0291,268.5096,2655.9885	247.2468,362.72098,2536.3022	291.42963,267.8748,2689.1511	239.36275,446.33032,2618.099	305.30267,359.89734,2619.1086	249.0291,268.5096,2655.9885	326.66437,443.3391,2559.578	316.15717,195.97049,2359.5818	247.06528,202.50356,2347.4424	
271.1439,128.0198,2586.034	270.00336,176.04103,2611.7407	236.4333,175.23164,2587.4087	219.3971,226.67966,2552.9375	270.00336,176.04103,2611.7407	302.9537,176.83548,2636.0728	319.69168,224.99345,2597.9417	269.21805,222.75209,2641.4038	247.08914,268.46344,2655.1855	245.3124,362.7264,2536.4512	289.5587,268.38834,2686.9482	239.10219,447.4014,2612.1028	304.20728,360.34912,2619.2437	247.08914,268.46344,2655.1855	324.49893,443.57947,2558.946	315.79745,196.37215,2361.268	247.18689,202.52533,2346.461	
270.96112,128.1883,2595.4663	269.62576,175.78763,2614.7336	236.08813,174.86075,2592.4524	220.02748,227.62018,2560.4622	269.62576,175.78763,2614.7336	302.59665,176.69885,2637.015	319.17416,226.18428,2597.9783	268.75717,222.53075,2640.3281	246.49295,268.29266,2651.3801	247.39767,362.56964,2532.793	289.0852,268.4591,2680.465	239.79324,447.36737,2608.0383	305.5452,360.2995,2614.5557	246.49295,268.29266,2651.3801	326.07483,443.3659,2554.5818	315.82513,196.64407,2356.1897	244.03937,202.64417,2344.9346	
270.6562,128.06427,2598.681	269.38907,175.57666,2616.2068	235.86829,174.63107,2595.4553	219.02032,226.92805,2556.2278	269.38907,175.57666,2616.2068	302.38223,176.5074,2636.9583	317.13663,223.28021,2588.4893	268.52185,222.3317,2640.1492	246.23917,268.1155,2650.5483	247.88759,362.49234,2538.1436	288.88446,268.37582,2677.6348	239.72,447.19794,2612.6401	305.32556,360.21466,2619.899	246.23917,268.1155,2650.5483	326.56186,442.9358,2558.2065	315.57117,196.81105,2351.2573	245.5927,200.80675,2342.8254	
270.94336,128.32309,2591.7812	269.23856,175.89261,2614.0278	235.69266,174.61517,2592.2302	217.93481,227.1151,2570.617	269.23856,175.89261,2614.0278	302.22958,177.14893,2635.8254	316.45303,220.73967,2588.2283	267.87463,222.60873,2640.6362	245.13098,268.07416,2653.0183	246.71494,362.40518,2542.7117	287.71777,268.708,2681.471	239.64595,447.56253,2613.389	304.3205,360.3852,2624.3916	245.13098,268.07416,2653.0183	325.4675,442.99066,2562.3564	315.6009,197.16316,2350.281	244.07101,202.05547,2353.7473	
270.55267,128.0924,2588.3398	268.8281,175.73552,2612.8435	235.26044,174.51976,2591.5503	219.26433,228.55872,2579.8086	268.8281,175.73552,2612.8435	301.85303,176.93161,2634.1367	317.00497,223.70407,2589.6165	267.5465,222.4558,2640.6208	244.89072,267.91284,2654.5017	247.42392,362.0835,2541.3086	287.4707,268.4909,2682.2947	240.22446,447.3011,2612.0076	305.6922,359.86917,2618.8853	244.89072,267.91284,2654.5017	326.5899,442.94955,2560.084	315.53406,197.83647,2343.149	241.16757,203.34427,2357.8027	
269.93625,128.76477,2589.6184	268.34344,176.26935,2613.3977	234.77994,175.10718,2593.1208	217.34738,228.69319,2578.4019	268.34344,176.26935,2613.3977	301.3901,177.41364,2633.6746	318.16852,226.62253,2588.8086	267.14175,222.97762,2641.2803	244.56586,268.43008,2655.929	247.36081,362.429,2536.2205	287.15332,268.9872,2682.3967	240.58322,447.28558,2611.525	305.72958,360.3482,2615.1038	244.56586,268.43008,2655.929	326.46985,443.162,2559.2307	313.7638,197.08362,2347.6812	239.37782,204.00903,2355.9956	
270.1979,129.38567,2590.2588	268.42572,176.60933,2613.458	234.86624,175.3702,2593.6426	216.16437,227.97891,2577.7014	268.42572,176.60933,2613.458	301.48016,177.82982,2633.2734	316.74738,227.74596,2587.907	267.11487,223.30621,2641.5059	244.43542,268.68216,2656.621	248.21704,362.4252,2529.9995	287.02133,269.35825,2682.4863	239.95021,446.12994,2614.4604	305.94305,360.6546,2615.8623	244.43542,268.68216,2656.621	326.63382,442.3955,2560.6562	314.76733,197.89775,2338.9526	238.52647,204.95651,2355.5166	
269.6461,130.50986,2587.0835	268.39407,177.9746,2612.8206	234.81973,177.13446,2592.4607	215.44034,227.4797,2571.3503	268.39407,177.9746,2612.8206	301.44922,178.80173,2633.1804	316.80698,228.95074,2581.4666	267.59985,224.63496,2642.794	245.45367,270.17535,2659.4783	249.02512,363.74152,2526.3774	287.98184,270.32153,2686.0564	242.02046,447.3158,2613.6506	307.20416,361.4772,2617.0105	245.45367,270.17535,2659.4783	328.17032,443.1178,2560.8525	315.25436,198.14905,2338.4543	239.47334,206.68178,2352.964	
269.7192,131.57648,2585.9917	268.804,179.00418,2612.8455	235.23004,178.35228,2592.2126	214.76306,228.93715,2574.1753	268.804,179.00418,2612.8455	301.85184,179.64587,2633.4783	317.40485,229.14427,2586.7363	268.24277,225.63826,2643.6665	246.3435,271.24957,2661.0215	248.69966,364.8357,2525.1467	288.83148,271.14594,2687.9536	242.0726,448.77502,2610.0579	308.8156,362.07947,2602.9211	246.3435,271.24957,2661.0215	327.96426,442.98492,2559.5374	315.29044,199.73906,2350.117	240.13446,209.07538,2357.8481	
269.86554,132.99199,2585.452	268.46606,180.50119,2613.2898	234.9029,179.48862,2593.3765	214.62872,229.88683,2575.0989	268.46606,180.50119,2613.2898	301.5216,181.49843,2633.2031	316.3628,228.55281,2584.8728	267.3981,227.07687,2644.6821	245.01166,272.36554,2663.0771	246.30678,365.58545,2515.541	287.49243,272.75226,2689.0718	240.58163,448.36804,2611.6733	308.25162,363.5041,2596.3525	245.01166,272.36554,2663.0771	325.50308,443.3982,2558.4368	315.60736,201.56595,2348.7893	239.26761,211.47739,2358.7463	
269.9682,134.52902,2594.1743	268.32416,181.88004,2616.5454	234.80333,180.67197,2596.157	215.75287,230.65392,2563.5403	268.32416,181.88004,2616.5454	301.3266,183.06941,2636.9338	317.8621,231.54686,2601.9421	266.99835,228.46655,2644.2288	244.32352,273.77933,2658.6057	247.1554,366.58795,2498.7551	286.86462,274.3931,2685.2185	240.926,447.57144,2610.4119	310.15338,364.59808,2584.3079	244.32352,273.77933,2658.6057	326.24063,443.94516,2553.7966	315.55966,206.19191,2359.0771	241.27173,212.107,2345.7058	
270.37503,135.73814,2589.5378	268.8207,183.24136,2615.6697	235.28934,182.14957,2593.4321	216.4072,231.37271,2557.269	268.8207,183.24136,2615.6697	301.78677,184.31477,2637.9072	317.37817,233.78252,2601.476	267.5892,229.77701,2645.5508	245.04105,275.0806,2660.9175	249.4494,367.82123,2501.9102	287.49896,275.46362,2689.9463	242.14911,447.59637,2620.165	312.09143,365.10825,2581.844	245.04105,275.0806,2660.9175	327.38712,442.53012,2562.5583	315.7622,208.89415,2362.7705	242.27733,213.48143,2336.5332	
271.23218,136.27525,2587.2178	269.71973,183.99435,2615.4573	236.2219,183.03271,2588.8245	218.14438,231.90822,2538.6345	269.71973,183.99435,2615.4573	302.5422,184.93661,2642.09	318.57755,234.25664,2609.7437	268.55298,230.48593,2646.8901	246.11958,275.8759,2660.9336	250.42558,368.4464,2496.342	288.4329,275.89645,2695.7124	242.72931,447.84796,2617.9417	313.78528,365.04025,2580.764	246.11958,275.8759,2660.9336	327.4447,441.25916,2564.6824	319.33167,209.5495,2369.3909	246.87923,212.73663,2326.165	
272.22385,136.44754,2587.5588	270.757,184.10838,2615.8284	237.30365,183.20073,2586.1445	217.95743,232.65132,2533.8193	270.757,184.10838,2615.8284	303.4596,184.99567,2645.5122	318.4135,233.95584,2621.3713	269.5985,230.59737,2647.1948	247.21722,276.0909,2659.1885	251.91148,368.68802,2493.7598	289.41193,275.90558,2697.934	242.13126,447.83405,2615.6086	314.47488,365.06177,2581.14	247.21722,276.0909,2659.1885	327.54236,440.28146,2563.6853	322.71893,208.2103,2380.6948	249.31155,212.0397,2333.0723	
273.9921,135.17677,2586.2117	272.1793,182.7796,2616.0083	238.81793,181.78271,2582.2112	218.77637,233.7117,2534.3967	272.1793,182.7796,2616.0083	304.68967,183.75104,2649.8054	319.97308,230.85025,2627.1707	270.80194,229.2486,2648.2146	248.28171,274.73083,2658.3594	252.12848,367.60858,2498.2944	290.2879,274.47308,2702.4824	240.97952,446.04013,2622.8325	313.78156,363.903,2587.9087	248.28171,274.73083,2658.3594	327.38565,438.6123,2565.274	327.56973,205.7265,2387.781	252.36552,211.06186,2343.2573	
275.3057,134.49884,2586.0593	273.46738,181.91325,2615.82	240.21652,180.98256,2578.0266	221.13936,232.26147,2517.7039	273.46738,181.91325,2615.82	305.77106,182.81744,2653.6135	322.60147,229.35391,2643.5867	272.1181,228.40764,2647.7324	249.70197,274.0584,2654.9766	253.28482,367.2506,2499.3235	291.51508,273.53558,2704.313	241.38309,446.53607,2617.4272	314.12186,363.1279,2589.7664	249.70197,274.0584,2654.9766	327.56934,439.22177,2564.7102	331.80817,201.34177,2400.3994	257.12866,207.39148,2336.6252	
277.20364,133.47809,2586.9685	275.12143,181.03003,2615.5308	242.00714,180.0329,2573.9514	224.07196,229.45303,2506.8457	275.12143,181.03003,2615.5308	307.19937,181.99599,2657.11	325.4261,224.58786,2650.284	273.61368,227.53941,2647.2742	251.13385,273.25552,2651.8804	254.01366,367.1033,2513.2515	292.72812,272.64386,2706.1548	240.66031,447.76263,2617.0305	313.7578,362.62814,2597.487	251.13385,273.25552,2651.8804	327.77432,439.19186,2564.7773	337.35574,195.9439,2410.028	261.50543,201.92863,2329.279	
