294.9972,116.33594,2530.163	291.4026,169.29947,2536.8079	262.32947,169.11108,2551.3064	241.18207,218.23882,2497.9165	291.4026,169.29947,2536.8079	320.80997,169.49002,2522.3093	332.41266,221.00351,2516.939	289.75308,214.147,2516.9807	268.55646,259.23495,2506.7246	262.07947,360.25043,2441.545	307.74847,260.1821,2487.5825	254.20753,442.68005,2538.7559	320.7597,358.13177,2455.6902	268.55646,259.23495,2506.7246	329.1189,441.49805,2526.8079	301.40274,218.19739,2318.037	266.11316,208.27043,2265.6047	
295.11533,116.54565,2530.9373	291.3684,169.28409,2536.5347	262.30997,169.04768,2550.4937	241.1492,218.0406,2498.6445	291.3684,169.28409,2536.5347	320.74847,169.52307,2522.5757	331.88168,220.4619,2508.9504	289.6967,214.10658,2517.0198	268.52957,259.13956,2506.7026	262.0779,360.1804,2441.078	307.612,260.12317,2488.3071	254.30673,442.4781,2538.484	320.79434,357.96072,2455.5964	268.52957,259.13956,2506.7026	328.98007,441.545,2527.2327	285.16232,211.51364,2273.0625	265.7949,208.05124,2272.4075	
295.33533,116.593735,2531.9316	291.39398,169.31564,2536.226	262.34174,169.04993,2549.4553	241.00235,217.51764,2504.9084	291.39398,169.31564,2536.226	320.7509,169.58412,2522.9968	331.89697,220.96634,2507.995	289.7425,214.06381,2516.9448	268.60602,259.01114,2506.3801	262.1194,359.95926,2440.9316	307.66132,259.99805,2488.947	254.35727,442.2572,2537.7532	320.91675,357.9084,2455.712	268.60602,259.01114,2506.3801	329.0683,441.6001,2528.8218	287.15747,212.2323,2282.5046	265.21066,207.7877,2269.549	
295.46118,116.52561,2531.9155	291.5118,169.32486,2535.2566	262.53165,169.0424,2548.1963	240.35013,217.93,2506.759	291.5118,169.32486,2535.2566	320.78934,169.6102,2522.317	331.97397,221.32486,2508.5144	289.87726,214.13644,2516.7	268.69516,259.11432,2506.7236	262.08823,359.86423,2440.2786	307.87625,260.11664,2489.563	254.34225,442.14197,2537.0996	320.82913,358.15326,2454.5864	268.69516,259.11432,2506.7236	329.1115,441.8955,2528.3157	308.73877,215.94623,2300.34	265.97635,207.82085,2262.584	
295.49927,116.41908,2531.243	291.40366,169.27017,2535.8623	262.37216,169.0409,2548.1487	239.95804,218.37714,2509.3408	291.40366,169.27017,2535.8623	320.71786,169.50168,2523.576	332.24008,221.34843,2513.8853	289.9186,214.0787,2517.7793	268.87827,259.08817,2507.8364	262.13657,359.72415,2440.6643	308.07352,259.98578,2491.5562	254.24292,442.08112,2537.0798	320.78186,358.3352,2451.6653	268.87827,259.08817,2507.8364	329.11853,442.06714,2526.0493	312.0307,214.71692,2310.9053	262.56342,208.01505,2264.1292	
295.29822,116.29918,2530.016	291.29807,169.32738,2535.7888	262.2599,169.13556,2547.089	239.52621,218.0667,2513.448	291.29807,169.32738,2535.7888	320.5962,169.52094,2524.4885	332.85266,221.62845,2520.195	289.94385,214.12773,2517.684	269.00342,259.17783,2507.0774	262.21893,359.7771,2439.8237	308.2544,259.97867,2492.0813	254.37726,442.14392,2536.4658	320.8775,358.2796,2450.6165	269.00342,259.17783,2507.0774	329.12296,442.14032,2526.2202	313.86295,215.35567,2304.7458	263.83078,208.66943,2257.9202	
295.2262,115.72498,2525.514	291.2711,169.39561,2535.5984	262.16498,169.14995,2545.1135	236.39189,216.01662,2527.007	291.2711,169.39561,2535.5984	320.59647,169.64313,2526.0833	336.35345,222.3667,2547.232	289.99326,214.12811,2518.2927	269.06946,259.08676,2507.3105	262.3707,359.48438,2437.5618	308.42548,259.87457,2494.6636	254.4403,441.86188,2535.5728	321.02325,358.2304,2449.4194	269.06946,259.08676,2507.3105	329.1301,442.34125,2524.4336	317.97556,218.9761,2311.8816	263.84015,211.65692,2251.2136	
295.2747,115.95892,2522.5073	291.51965,172.86804,2532.9463	261.1347,172.129,2536.0298	235.68729,217.98502,2533.7961	291.51965,172.86804,2532.9463	321.9787,173.60886,2529.8628	338.25232,223.87978,2558.3857	290.08823,216.04996,2517.54	268.96548,259.21667,2504.1055	261.85532,362.98566,2402.729	308.34387,260.3115,2500.162	254.13336,441.7192,2528.0413	321.1858,358.2985,2453.484	268.96548,259.21667,2504.1055	329.10837,442.27795,2526.8953	327.31024,223.72382,2295.3938	261.23407,221.0009,2265.6318	
296.84918,120.24826,2514.1143	291.52344,175.03207,2527.7424	260.4396,173.84329,2525.5498	235.32677,221.72958,2508.2737	291.52344,175.03207,2527.7424	322.5534,176.21878,2529.935	338.9018,225.09882,2567.793	289.86926,218.10464,2517.9646	268.8466,260.8196,2506.8315	262.47858,363.84766,2397.9219	307.53693,262.2057,2509.542	253.97897,442.8794,2525.6765	321.8475,357.32764,2449.362	268.8466,260.8196,2506.8315	329.32748,440.82977,2521.8298	331.54807,222.98251,2287.9521	266.65884,228.30556,2243.221	
298.92474,124.931,2502.8594	290.19318,180.8501,2519.528	258.0516,180.62393,2517.7268	236.14987,229.09918,2501.2476	290.19318,180.8501,2519.528	322.28882,181.07596,2521.3293	338.80844,232.7655,2548.0142	289.94458,224.70224,2519.7969	270.0843,268.44528,2518.966	264.12936,366.475,2371.5623	309.29068,268.64465,2521.1653	253.49854,445.648,2512.0444	326.13367,358.42474,2452.9817	270.0843,268.44528,2518.966	329.66687,438.44098,2531.4211	338.96637,231.57658,2284.9346	270.44394,233.84416,2250.677	
