286.78003,133.13849,2543.503	274.44257,186.08476,2602.6404	241.96608,184.4584,2595.784	224.11256,233.80956,2600.9238	274.44257,186.08476,2602.6404	306.74838,187.70258,2609.4968	320.5504,237.45035,2664.1892	272.57336,228.10225,2609.844	252.0611,269.0817,2613.0845	239.97699,362.28708,2531.5288	289.3114,270.69272,2621.0107	228.35901,438.56946,2643.53	302.4865,359.45636,2526.0327	252.0611,269.0817,2613.0845	308.12878,438.15918,2580.28	312.72256,253.82803,2398.7778	260.09036,242.20244,2372.7285	
286.54025,133.02333,2543.5347	274.6621,186.26627,2602.41	242.23901,184.53044,2595.5696	225.7692,234.06,2588.4348	274.6621,186.26627,2602.41	306.9152,187.99301,2609.2502	320.55917,237.88333,2665.5813	272.64752,228.27882,2609.7397	252.20319,269.19464,2613.1538	239.96664,362.5491,2531.184	289.03018,270.91486,2620.9854	228.54227,438.63257,2643.0625	302.4534,359.27213,2525.299	252.20319,269.19464,2613.1538	308.14526,438.0844,2579.4495	313.25693,254.00328,2394.3418	264.1093,244.5529,2367.846	
286.54645,132.92853,2544.783	274.78073,186.37796,2602.3862	242.36496,184.57144,2595.6006	225.75763,234.46606,2592.9868	274.78073,186.37796,2602.3862	307.0279,188.17508,2609.1719	320.50827,238.42705,2667.2622	272.66995,228.37897,2609.3223	252.2696,269.26135,2612.4038	239.8761,362.6327,2531.2688	288.81735,271.05057,2620.1128	228.685,438.7901,2642.8796	302.45908,359.18152,2524.5566	252.2696,269.26135,2612.4038	308.06726,438.17026,2578.529	310.98395,252.59845,2390.3445	262.61514,244.6169,2363.2432	
286.54382,132.84267,2545.6858	274.6,186.30853,2603.8923	242.12173,184.70874,2596.8164	225.84325,235.41542,2594.7444	274.6,186.30853,2603.8923	306.9022,187.89964,2610.9683	320.29526,238.91864,2683.233	272.74768,228.45615,2609.287	252.69327,269.66162,2610.6946	239.92783,362.81775,2532.5386	289.05728,271.1957,2618.6692	228.68848,439.0197,2642.8684	302.49023,359.38116,2523.3066	252.69327,269.66162,2610.6946	308.18246,438.72577,2578.966	309.40466,250.76076,2381.1892	261.05634,243.93896,2370.6936	
285.9126,131.80145,2555.338	273.5075,185.69469,2609.4243	241.8086,184.51279,2599.3123	225.19531,236.57152,2607.786	273.5075,185.69469,2609.4243	304.96173,186.86746,2619.5364	316.68515,236.29695,2670.6409	272.21246,227.97415,2611.9465	252.70337,269.68182,2608.6387	239.81844,363.0243,2530.5818	289.05536,270.66003,2620.2988	228.70776,439.42096,2640.1987	302.5118,359.21634,2523.7273	252.70337,269.68182,2608.6387	308.4676,438.6294,2580.383	313.33273,249.28151,2388.3118	258.64294,240.45659,2373.1226	
283.2794,129.69772,2569.195	273.7494,185.82593,2608.2886	241.70569,184.62827,2599.8923	223.54726,235.16005,2614.1338	273.7494,185.82593,2608.2886	305.58743,187.0159,2616.6848	317.62207,236.6417,2671.362	272.41895,227.82347,2611.2322	253.0342,269.20435,2609.4282	239.56328,362.43002,2529.8064	289.08337,270.2466,2618.9233	228.66046,439.2928,2639.7222	302.4371,359.17477,2522.3445	253.0342,269.20435,2609.4282	308.64124,438.91064,2579.0188	311.0465,244.4196,2394.7751	256.12854,237.6549,2378.3926	
281.8805,128.51266,2579.737	273.56882,185.6355,2608.8425	241.68446,184.39397,2601.8496	222.39575,233.73917,2618.9888	273.56882,185.6355,2608.8425	305.28268,186.87039,2615.8354	315.875,234.25208,2666.126	272.1499,227.42516,2611.744	252.92819,268.55417,2610.7275	239.55109,362.18008,2527.6323	288.48688,269.68826,2618.563	228.42422,439.58224,2637.7668	299.85968,354.3789,2527.7974	252.92819,268.55417,2610.7275	308.4441,438.83725,2577.7778	309.93762,241.88109,2389.2092	254.75311,234.35173,2378.7886	
279.7812,127.35297,2584.908	272.37674,184.43112,2614.218	240.81151,183.05692,2604.8335	219.38245,227.20137,2604.7935	272.37674,184.43112,2614.218	303.71613,185.7955,2623.6025	314.61212,233.10492,2666.665	270.86847,224.26984,2610.086	252.92212,263.66934,2601.077	239.65163,360.39438,2526.6099	285.7273,264.79834,2610.8308	228.31409,439.97086,2640.596	299.35217,353.12903,2522.7732	252.92212,263.66934,2601.077	308.30774,437.90692,2575.4158	307.38718,240.16298,2395.1135	258.82126,232.64601,2366.0193	
275.47556,125.0907,2617.5623	270.01517,182.69467,2616.3245	239.74548,182.05739,2606.5042	217.90591,224.83463,2596.0933	270.01517,182.69467,2616.3245	300.0585,183.32721,2626.1448	314.25073,232.33995,2665.0637	269.43622,222.52357,2610.3962	251.69453,262.34305,2598.918	239.58002,359.38678,2526.0125	285.9417,262.7237,2610.018	228.0299,440.94464,2640.8376	300.26083,353.2166,2522.1326	251.69453,262.34305,2598.918	308.16934,436.20886,2576.4946	310.21335,233.13765,2401.3513	254.1633,228.79536,2366.0361	
272.10208,124.55925,2628.3958	268.45236,181.37871,2617.973	239.77496,181.08047,2607.2542	216.89322,222.84576,2595.822	268.45236,181.37871,2617.973	296.8959,181.67451,2628.6917	311.6342,227.15634,2684.1196	268.362,221.40855,2611.148	251.11784,261.66718,2597.9346	239.72592,358.0098,2523.0388	285.34048,261.6293,2610.7114	227.07684,439.4499,2636.5295	299.04544,351.11334,2530.2197	251.11784,261.66718,2597.9346	307.94513,435.4666,2578.6772	306.51407,231.88954,2411.4246	245.60529,226.73824,2377.3975	
268.16226,124.52977,2637.5913	267.0154,180.2492,2618.1377	238.82787,180.27628,2609.866	215.64555,222.72083,2593.4424	267.0154,180.2492,2618.1377	295.0254,180.2223,2626.4094	310.87448,224.70526,2693.1245	267.2978,220.63425,2612.9895	249.92548,261.35638,2602.674	239.39067,357.5774,2521.2642	285.16724,261.0018,2613.0085	224.94614,437.037,2623.3665	298.35406,349.46344,2537.8132	249.92548,261.35638,2602.674	307.8848,434.2328,2580.6833	304.2279,228.08768,2411.036	249.27919,219.9073,2377.1228	
263.85696,125.463356,2651.7212	262.90942,179.1672,2637.5745	232.3677,179.71085,2637.4617	210.89418,224.53459,2597.182	262.90942,179.1672,2637.5745	293.44855,178.62361,2637.6873	306.28897,225.78671,2700.8613	263.2904,219.9435,2621.1326	243.60435,261.59415,2604.6174	239.14627,356.6176,2528.2358	283.7469,260.875,2604.764	225.00652,437.3111,2631.5505	297.89694,349.81647,2539.2576	243.60435,261.59415,2604.6174	307.6468,434.30566,2573.8127	301.0823,221.6626,2423.6936	242.64883,221.74925,2370.0886	
