318.75092,149.73508,2622.9382	319.8216,195.56197,2604.6553	285.60535,196.734,2606.4812	275.24658,254.7738,2596.8955	319.8216,195.56197,2604.6553	354.08582,194.3883,2602.8293	354.08566,255.15405,2602.8293	321.33112,241.84883,2588.6797	301.1851,289.41156,2573.8462	293.88132,385.5769,2513.8376	344.55292,288.00888,2571.562	272.08334,473.54865,2532.527	345.44717,382.30505,2567.1943	301.1851,289.41156,2573.8462	351.1113,472.74982,2566.6836	354.0867,315.91974,2602.8293	273.7433,314.7973,2502.4834	
318.52722,149.82823,2622.2212	319.67273,195.62433,2603.635	285.4325,196.9621,2604.345	275.41852,254.21674,2596.038	319.67273,195.62433,2603.635	353.93164,194.28583,2602.925	353.93146,255.04936,2602.925	321.45648,241.90578,2586.8428	301.56534,289.62363,2570.4946	293.6176,385.88235,2510.1885	344.9692,287.96008,2569.6064	272.06885,473.353,2535.2083	345.70493,382.39844,2563.9453	301.56534,289.62363,2570.4946	350.9087,473.12256,2562.0576	353.9325,315.8128,2602.925	273.9168,314.17078,2500.2927	
318.95734,150.0351,2623.863	319.98224,195.70932,2603.5122	285.72144,196.93985,2603.1057	275.65866,254.34834,2592.7847	319.98224,195.70932,2603.5122	354.23236,194.47919,2603.9187	354.2322,255.21951,2603.9187	321.6749,241.97348,2585.4092	301.66245,289.67975,2567.052	293.40033,385.92102,2511.2957	345.11606,288.1006,2567.5603	271.89444,473.82343,2532.1738	345.02405,382.65796,2561.06	301.66245,289.67975,2567.052	351.24637,472.69113,2566.8613	354.23325,315.95978,2603.9187	274.08228,314.5256,2499.6128	
318.8797,149.57367,2624.6855	320.09283,195.15794,2604.7263	285.82764,196.40881,2602.0142	275.28067,254.6999,2593.2607	320.09283,195.15794,2604.7263	354.28674,193.90967,2607.4385	354.2866,254.56802,2607.4385	321.92575,241.39687,2586.8916	302.0642,289.1323,2567.3604	293.57895,385.2089,2515.7502	345.4754,287.42438,2570.7534	271.88348,473.42255,2531.8474	345.54926,381.52747,2570.382	302.0642,289.1323,2567.3604	350.84357,472.13684,2566.8225	354.28763,315.2263,2607.4385	274.18213,314.8978,2500.4736	
318.62772,149.14546,2623.5999	320.11325,194.75858,2604.083	285.83023,196.11632,2599.4058	274.8654,254.2483,2599.8442	320.11325,194.75858,2604.083	354.27335,193.4057,2608.7603	354.2732,254.03331,2608.7603	322.18494,241.00465,2586.7153	302.5709,288.84225,2566.422	293.9411,384.95312,2514.3872	345.949,286.91187,2572.2732	272.53998,472.47394,2537.9712	345.30988,381.10614,2569.162	302.5709,288.84225,2566.422	351.38098,472.12256,2561.0745	354.27423,314.66083,2608.7603	274.3007,313.76102,2498.917	
318.40988,149.42902,2623.0435	319.85406,195.07835,2602.8	285.60617,196.63258,2602.1472	274.76697,254.31421,2596.9875	319.85406,195.07835,2602.8	354.0848,193.5249,2603.453	354.08466,254.27611,2603.453	321.99854,241.33914,2585.0156	302.45224,289.24142,2566.8228	292.8627,385.09262,2519.7178	345.88623,287.2406,2567.6396	272.4048,474.0205,2529.8323	344.42813,381.92224,2558.044	302.45224,289.24142,2566.8228	350.8153,472.65555,2557.3472	354.0857,315.02722,2603.453	274.7861,313.96555,2497.1338	
318.45724,149.47446,2621.7852	319.53812,195.20949,2601.9692	285.3415,196.69077,2605.4448	275.3352,254.24858,2593.9497	319.53812,195.20949,2601.9692	353.82623,193.72424,2598.4937	353.82605,254.59138,2598.4937	321.38196,241.49496,2584.0042	301.54654,289.28967,2568.2134	292.6319,385.23642,2518.603	344.9935,287.56595,2563.8647	270.84753,473.30453,2534.4526	343.50977,381.93246,2562.7751	301.54654,289.28967,2568.2134	350.46722,472.57196,2560.9475	353.8271,315.45844,2598.4937	275.11328,314.054,2495.1882	
318.5938,149.18576,2621.6418	319.64758,194.9877,2601.608	285.43317,196.40398,2605.0608	274.3584,254.74278,2596.102	319.64758,194.9877,2601.608	353.9529,193.56766,2598.155	353.95276,254.44275,2598.155	321.40375,241.28209,2583.6387	301.4778,289.04498,2567.8284	293.44043,385.2013,2513.9456	344.92786,287.40356,2563.5105	271.89758,473.01868,2534.5078	344.6738,381.59412,2566.0754	301.4778,289.04498,2567.8284	351.40463,472.18768,2563.7407	353.9538,315.31775,2598.155	275.43286,314.2027,2493.3916	
318.44305,149.0221,2621.0513	319.56686,194.81812,2601.6777	285.35632,196.31688,2605.3745	275.12646,253.94139,2592.0933	319.56686,194.81812,2601.6777	353.87476,193.31506,2597.981	353.87457,254.19423,2597.981	321.4254,241.11584,2584.232	301.6095,288.90958,2569.098	293.91373,384.99216,2517.088	345.0481,287.17474,2564.4744	271.28287,472.61237,2535.9968	344.75238,381.45258,2565.0703	301.6095,288.90958,2569.098	351.39868,471.59296,2568.1104	353.8756,315.0733,2597.981	274.3731,313.87402,2495.7344	
318.77283,149.22177,2621.7822	319.79697,194.82031,2601.4963	285.59546,196.23102,2606.1184	274.93866,254.20511,2595.1562	319.79697,194.82031,2601.4963	354.1202,193.4046,2596.8743	354.12006,254.30971,2596.8743	321.48798,241.11417,2583.33	301.49152,288.85413,2568.0544	292.9507,384.8446,2518.084	344.96335,287.2715,2562.2732	271.7112,473.59723,2528.9836	343.8204,381.56763,2563.938	301.49152,288.85413,2568.0544	351.6453,472.34393,2559.2092	354.1211,315.21472,2596.8743	274.27435,313.9088,2495.5044	
