277.5443,143.281,2780.8506	276.2803,186.3353,2739.1746	248.15636,183.84225,2699.7932	228.54837,251.52396,2583.1414	276.2803,186.3353,2739.1746	303.60703,188.75766,2778.556	313.11703,243.49599,2771.1658	275.2285,231.17917,2702.724	252.7677,276.36304,2637.0635	250.4693,370.06027,2655.8386	295.0647,278.1161,2695.484	243.65234,465.86237,2567.9207	290.13403,370.18524,2705.1392	252.7677,276.36304,2637.0635	303.6907,460.48755,2667.9446	318.7925,302.7009,2678.307	243.05455,295.10358,2347.7234	
277.85632,143.47124,2780.6116	276.43384,186.75061,2738.828	248.34163,184.12874,2698.787	228.86908,251.88255,2585.0664	276.43384,186.75061,2738.828	303.71646,189.29694,2778.8687	313.66254,243.76692,2771.0266	275.23322,231.59563,2702.1655	252.63643,276.70752,2635.8025	250.20026,370.51068,2653.4475	294.8919,278.6197,2695.2039	243.5929,466.41388,2565.9636	290.6093,370.9441,2700.725	252.63643,276.70752,2635.8025	302.39612,460.81567,2676.4312	319.44522,303.11868,2681.1826	240.66241,294.2854,2340.8298	
278.00015,142.8494,2781.4856	276.44934,186.1929,2740.4546	248.38313,183.49368,2700.288	227.04065,251.37762,2589.5247	276.44934,186.1929,2740.4546	303.70474,188.81415,2780.621	314.16827,244.55202,2771.209	275.12128,231.01859,2704.23	252.41855,276.03842,2638.2114	249.91763,369.64133,2657.8474	294.62436,278.06198,2697.7993	243.59366,465.5378,2565.8423	289.92667,370.07022,2707.295	252.41855,276.03842,2638.2114	303.6033,460.1693,2671.79	320.42004,303.9873,2683.7915	238.7476,290.6905,2332.683	
277.92358,142.79666,2780.9294	276.35275,185.98584,2740.5796	248.33374,183.2331,2699.321	225.71472,249.43506,2598.7588	276.35275,185.98584,2740.5796	303.54062,188.65695,2781.8381	315.00833,245.90948,2772.606	275.0224,230.8202,2704.6973	252.35927,275.8251,2638.2097	249.79474,369.50183,2656.6003	294.47034,277.87177,2699.4202	244.06406,465.34113,2567.723	290.59625,370.0693,2704.9363	252.35927,275.8251,2638.2097	302.5468,459.8415,2679.781	328.1587,302.72772,2666.3972	235.05951,284.54852,2330.757	
277.47635,142.7905,2781.1533	276.0163,185.94052,2740.7998	248.0083,183.31937,2698.9814	223.3753,249.15657,2596.8794	276.0163,185.94052,2740.7998	303.18246,188.4829,2782.6182	319.0602,245.03134,2772.3074	274.95398,230.7735,2704.9136	252.58197,275.89136,2638.0076	250.28848,369.49536,2657.882	294.65518,277.7116,2700.047	244.48993,465.44592,2564.7866	290.98212,370.11447,2701.2505	252.58197,275.89136,2638.0076	303.20627,459.50616,2683.3665	339.1472,296.85196,2642.8171	231.90598,277.31845,2314.932	
277.512,142.94476,2780.269	276.16168,186.00703,2739.938	248.25339,183.34424,2695.8474	220.51859,248.02907,2592.4436	276.16168,186.00703,2739.938	303.186,188.58548,2784.0286	317.80283,235.83882,2821.16	275.2327,230.86415,2704.2446	253.07964,276.02902,2635.8416	250.93109,369.46124,2659.8171	294.9647,277.79187,2701.261	245.03183,465.4709,2562.9714	290.19153,369.8847,2706.6853	253.07964,276.02902,2635.8416	304.2291,459.9386,2670.9033	338.1336,275.28598,2689.1616	227.02664,265.3452,2299.8762	
277.22812,142.06738,2778.8203	275.68402,185.1558,2739.2668	247.80212,182.35756,2694.4219	217.3498,243.3675,2577.2178	275.68402,185.1558,2739.2668	302.6677,187.86392,2784.1118	318.91406,231.98936,2853.0828	274.63113,230.00284,2703.341	252.36899,275.08273,2634.1526	249.78833,368.10663,2665.2795	294.209,277.00903,2700.678	243.22142,464.06866,2560.9138	289.1066,369.00336,2708.2175	252.36899,275.08273,2634.1526	303.44495,459.59253,2662.2	342.59885,260.9619,2699.5286	221.87296,250.97388,2279.4785	
277.1953,141.9592,2779.1064	275.16522,185.13704,2738.9988	247.25581,181.9832,2695.1306	211.5763,233.04552,2563.62	275.16522,185.13704,2738.9988	302.19473,188.19144,2782.867	324.4333,230.47891,2833.0464	273.4444,229.95486,2702.6313	250.44713,274.72382,2633.7217	248.35065,367.55908,2668.3535	292.39423,277.2361,2698.8062	242.1712,463.38257,2564.9077	287.27844,369.34323,2705.4675	250.44713,274.72382,2633.7217	302.48157,459.76288,2662.223	359.6663,243.33426,2667.414	216.9302,225.90887,2267.8926	
276.99258,142.2092,2779.7498	274.8611,185.32767,2738.6416	246.8695,182.07764,2696.713	208.28091,224.02411,2558.3218	274.8611,185.32767,2738.6416	302.00854,188.47969,2780.5703	332.8601,225.90994,2816.5322	272.81897,230.12556,2701.747	249.41063,274.7681,2633.7495	248.79681,368.20154,2658.9797	291.53827,277.52753,2695.9556	243.3199,463.56332,2575.921	289.1573,369.87903,2701.1812	249.41063,274.7681,2633.7495	302.0913,459.89395,2672.0337	373.59927,224.04543,2646.1333	210.08698,204.97462,2265.77	
276.7846,142.48027,2779.5654	274.63696,185.55286,2737.9604	246.58571,182.30518,2697.217	206.669,216.96207,2561.6655	274.63696,185.55286,2737.9604	301.8656,188.70528,2778.7039	337.0657,222.83069,2815.766	272.49554,230.35223,2700.7778	248.93356,274.97766,2633.3745	249.41208,368.34763,2660.2175	291.17584,277.7951,2693.816	243.60248,463.9002,2572.582	289.7331,370.20276,2700.092	248.93356,274.97766,2633.3745	302.18158,460.23914,2673.1333	377.94485,204.85779,2649.7056	206.2225,185.2176,2283.9172	
