324.6579,132.72824,2386.9995	311.21307,183.13873,2386.629	276.7568,173.2066,2324.3257	265.4132,227.20674,2138.0918	311.21307,183.13873,2386.629	343.91617,192.56549,2448.9321	372.05865,232.07979,2304.0745	297.9321,233.20012,2396.551	262.70737,278.2961,2366.6887	253.34319,380.8036,2390.1047	306.09653,287.2532,2446.2576	233.49838,480.31268,2370.381	300.95554,389.07214,2432.1099	262.70737,278.2961,2366.6887	300.6307,493.03857,2357.1504	365.67032,237.8463,2032.9176	335.66693,258.845,2137.6038	
324.7884,131.70029,2387.062	311.50357,182.42563,2386.5688	276.92447,172.71707,2325.085	266.66553,227.69844,2141.551	311.50357,182.42563,2386.5688	344.34573,191.64653,2448.0527	373.33832,232.02946,2301.0278	298.62753,232.60254,2396.0269	263.72867,277.95142,2366.221	256.18756,380.963,2385.1257	307.26617,286.67593,2444.7488	240.48152,479.8158,2380.3914	301.06586,388.7284,2426.2908	263.72867,277.95142,2366.221	301.043,492.33234,2360.6726	366.87402,238.22891,2029.6504	336.71164,259.1205,2138.356	
324.94458,130.21725,2386.1038	312.83527,181.09871,2387.8174	278.15475,172.22325,2325.9846	266.2044,226.8666,2142.7883	312.83527,181.09871,2387.8174	345.76498,189.52611,2449.6501	374.72498,229.72816,2294.5164	301.0962,231.50945,2398.5464	267.32904,277.57956,2369.779	262.79395,380.60727,2388.6577	310.88043,285.2373,2448.7717	247.59712,478.98657,2388.5315	303.65976,386.8208,2434.5974	267.32904,277.57956,2369.779	303.75726,490.45026,2362.3376	366.6622,237.89673,2027.8774	336.89523,257.15833,2138.525	
323.9569,129.83777,2394.143	313.19833,180.49847,2391.4153	278.58658,172.14873,2328.2773	261.507,224.601,2146.947	313.19833,180.49847,2391.4153	346.02945,188.41867,2454.5532	377.17734,227.56789,2291.758	302.6225,231.10724,2398.0693	269.97983,277.90646,2364.4028	264.14377,381.32996,2380.2769	313.5009,284.849,2445.044	250.89246,480.75873,2376.3281	303.4979,387.0739,2413.794	269.97983,277.90646,2364.4028	302.22052,489.8462,2364.7285	372.90945,236.61267,2023.2927	331.88605,254.42676,2130.911	
322.11322,129.2963,2404.6887	312.8404,179.81871,2394.6377	278.46606,171.80634,2328.6545	258.4208,223.59563,2146.0515	312.8404,179.81871,2394.6377	345.37115,187.40137,2460.6208	380.76022,226.76744,2296.9082	303.45737,230.57867,2394.7695	272.00995,278.08646,2352.7593	264.34192,382.01855,2366.9553	315.3777,284.4674,2437.0435	252.9195,480.8305,2376.005	307.54132,387.85706,2388.3928	272.00995,278.08646,2352.7593	302.7775,489.68268,2361.4612	382.5869,237.351,2028.108	329.6469,250.01518,2124.4614	
320.31036,129.15808,2410.4124	311.99374,179.39706,2394.451	277.57117,171.5943,2328.1885	259.10162,223.46588,2144.0415	311.99374,179.39706,2394.451	344.56244,186.77962,2460.7134	383.5298,226.2804,2303.947	303.45096,230.28984,2389.7751	272.72357,278.27286,2342.7905	263.9021,382.0067,2364.4248	316.2537,284.38306,2427.4082	252.78674,480.33417,2379.4321	310.42392,388.68365,2368.786	272.72357,278.27286,2342.7905	306.00937,489.34076,2363.16	389.85638,236.09348,2035.4238	330.9859,248.08578,2123.1433	
320.34796,128.24355,2405.7712	311.89627,178.7739,2391.1526	277.28012,170.94434,2326.381	260.77213,223.3959,2142.529	311.89627,178.7739,2391.1526	344.6865,186.19049,2455.924	384.93353,224.31572,2310.9656	303.286,229.7524,2386.6653	272.3694,277.75888,2340.816	263.12244,381.13855,2367.9595	316.15692,283.979,2423.54	253.11055,478.81525,2388.644	314.05573,388.73093,2359.192	272.3694,277.75888,2340.816	311.48373,488.82507,2364.2815	397.4412,236.91623,2042.1012	332.63828,247.32497,2120.143	
320.77844,127.75658,2410.4563	312.71234,178.11075,2390.6658	278.18454,170.12808,2325.3333	262.2832,222.69086,2141.7656	312.71234,178.11075,2390.6658	345.40317,185.66873,2455.9983	387.8345,223.5642,2311.4958	304.42056,229.09494,2381.4084	273.76575,277.22327,2330.4314	266.72342,381.1228,2359.1433	317.5917,283.6184,2413.8708	254.64925,479.2303,2377.2302	319.67603,388.85284,2346.528	273.76575,277.22327,2330.4314	322.5185,489.82953,2347.893	404.78946,238.08635,2045.4727	333.59637,246.8309,2116.0583	
322.15814,127.21477,2413.796	314.187,177.12805,2389.7822	279.84903,168.72623,2323.5261	265.1673,223.1375,2140.3728	314.187,177.12805,2389.7822	346.67233,185.07654,2456.0383	390.1419,221.94707,2312.2651	305.81787,228.04303,2376.2073	275.08585,276.03766,2320.3188	267.51758,379.82907,2355.7927	318.83572,282.9252,2404.9458	255.24323,477.16528,2381.6086	324.42746,388.3147,2342.0562	275.08585,276.03766,2320.3188	330.89993,489.92978,2338.1462	411.237,238.34065,2049.318	336.8584,246.48691,2109.322	
324.6234,126.35169,2414.4822	316.33786,176.04022,2386.1663	281.561,167.40598,2325.6187	270.33267,224.77818,2132.7039	316.33786,176.04022,2386.1663	349.39352,184.24715,2446.7139	393.57068,219.69334,2303.1565	307.7238,226.93034,2369.7283	276.3674,274.7004,2314.594	269.2037,378.25415,2356.7068	320.87936,282.23843,2391.9866	256.2062,475.29764,2384.1633	328.98767,387.8898,2335.284	276.3674,274.7004,2314.594	339.42746,490.48633,2321.473	418.78076,237.82709,2044.5983	343.55423,246.62953,2106.4065	
