341.7979,131.4689,2479.9216	332.995,179.68663,2462.8008	303.9068,172.5094,2425.5552	292.87115,235.15681,2298.3696	332.995,179.68663,2462.8008	361.21646,186.65,2500.0464	414.34323,213.20743,2466.0962	322.7409,229.49947,2457.4644	289.94586,275.2109,2423.6543	293.97946,381.27628,2356.6958	334.42203,283.74817,2480.6016	282.58002,480.94922,2373.877	320.8887,382.61646,2501.266	289.94586,275.2109,2423.6543	325.58395,479.7182,2489.46	473.4699,215.15552,2256.1323	345.10098,230.10445,2098.8958	
344.62845,132.10266,2464.2253	334.2484,180.51839,2453.3323	305.1381,172.77634,2416.991	295.09735,235.67079,2280.752	334.2484,180.51839,2453.3323	362.5089,188.03441,2489.6736	413.2276,216.69519,2455.5273	322.54346,230.23894,2454.6946	288.43097,275.14987,2428.2722	293.83133,380.82983,2366.128	332.7704,284.55243,2483.8416	286.95932,483.1274,2356.4375	317.3065,383.40793,2498.6626	288.43097,275.14987,2428.2722	326.5277,479.77362,2493.0935	471.2937,225.33636,2251.616	348.55283,232.0491,2085.546	
347.1925,133.41,2447.851	335.56116,181.70747,2443.5276	306.5066,173.39935,2406.8513	296.7079,237.56853,2270.4172	335.56116,181.70747,2443.5276	363.7564,189.76988,2480.2039	412.9621,220.85907,2442.2156	322.4094,231.25171,2452.043	287.06906,275.3068,2432.5198	294.72955,380.5334,2374.2903	331.12625,285.48334,2488.597	291.34814,484.86395,2339.9075	314.91547,383.8613,2506.2786	287.06906,275.3068,2432.5198	327.95514,480.29865,2492.3489	469.43524,234.79926,2239.1062	351.51746,235.88934,2076.4004	
349.78235,134.97409,2433.6248	337.00955,182.99419,2433.991	308.13092,174.22409,2394.9404	297.07034,239.78584,2259.1904	337.00955,182.99419,2433.991	364.97614,191.4873,2473.0415	412.87125,224.2333,2431.0425	322.70026,232.39523,2447.3906	286.44455,275.85913,2430.9336	296.77484,380.825,2375.7483	330.1192,286.52798,2490.647	294.24213,486.4248,2327.322	314.23315,384.514,2513.651	286.44455,275.85913,2430.9336	329.728,481.95715,2479.691	467.0937,245.25076,2233.307	352.79352,239.6937,2073.2085	
352.10046,136.62299,2416.9797	338.19885,184.63426,2423.3948	309.70404,175.80743,2378.2356	297.13678,241.6461,2256.5203	338.19885,184.63426,2423.3948	365.6511,193.13814,2468.554	411.93848,228.16837,2419.947	323.15646,233.96375,2442.6086	286.55896,277.29868,2427.265	296.86707,382.32278,2377.633	329.53552,287.6031,2496.3801	296.29407,488.03784,2328.9753	314.3079,385.37177,2520.709	286.55896,277.29868,2427.265	329.4249,483.44168,2477.2517	463.9737,255.41258,2228.994	354.1197,243.73723,2069.3716	
354.38538,137.67412,2401.7122	339.22745,185.7771,2413.0166	310.7977,176.61653,2366.59	297.35315,242.8707,2245.7605	339.22745,185.7771,2413.0166	366.5839,194.59181,2459.443	411.91522,230.61055,2412.933	323.07776,234.84564,2438.0347	285.6139,277.51373,2427.582	294.68207,382.37115,2386.0837	328.28384,288.16754,2498.5234	295.66208,488.16193,2332.056	314.05145,386.49902,2515.3738	285.6139,277.51373,2427.582	328.47482,484.91565,2472.911	461.99292,261.45718,2223.5242	356.76703,247.75581,2066.8435	
356.13126,139.4748,2393.5586	340.1594,187.22641,2405.637	311.9658,177.75839,2356.6646	297.8483,244.00113,2240.3525	340.1594,187.22641,2405.637	367.22803,196.31662,2454.6094	412.63474,232.66402,2405.917	323.0636,236.0659,2433.4536	284.879,278.2564,2423.8372	294.1273,383.08557,2387.803	327.18597,289.18033,2498.7034	296.09036,489.42212,2325.4246	313.5401,387.8195,2512.1157	284.879,278.2564,2423.8372	329.0033,486.28317,2469.3967	461.44772,266.173,2222.0222	358.0769,252.48306,2062.8574	
357.71735,141.59439,2382.9978	340.8851,189.14671,2396.6423	312.85086,179.28773,2346.175	297.76886,247.29892,2230.1655	340.8851,189.14671,2396.6423	367.763,198.59903,2447.1096	414.23395,234.75677,2395.4246	322.7904,237.75851,2426.4053	283.76898,279.41162,2417.5938	293.0469,384.26724,2388.0571	325.8388,290.794,2494.7427	296.15695,491.0681,2318.886	313.87732,389.57318,2511.3704	283.76898,279.41162,2417.5938	328.3984,489.09686,2456.8577	463.06543,267.7169,2208.2173	360.30457,256.69788,2061.4973	
359.4468,144.32558,2369.7275	341.4186,192.04562,2387.278	313.47214,181.87975,2335.8835	296.55423,248.96387,2224.082	341.4186,192.04562,2387.278	368.18713,201.78299,2438.6726	415.54056,235.92387,2386.6873	322.38828,240.3839,2419.8152	282.57367,281.47064,2413.0684	292.0131,386.4132,2386.532	324.4809,293.22012,2491.6362	296.86368,493.1242,2319.6665	315.6664,392.71375,2503.5588	282.57367,281.47064,2413.0684	327.49048,492.2414,2458.8054	465.54187,267.94904,2199.8943	360.8777,259.6776,2064.8677	
360.03967,145.29047,2355.5532	340.95758,193.02238,2378.3154	313.27518,182.74063,2323.626	295.49146,250.07092,2215.9944	340.95758,193.02238,2378.3154	367.3955,202.84192,2433.005	416.1043,236.51393,2381.2869	321.0505,241.03201,2414.813	280.64258,281.67194,2409.4924	290.4886,386.84705,2380.574	322.12222,293.3528,2493.1287	296.5766,493.2652,2320.8367	317.9511,393.27795,2501.0146	280.64258,281.67194,2409.4924	324.56235,492.4304,2467.008	466.69693,267.4547,2198.2463	360.9546,262.84332,2065.444	
361.32242,147.06647,2348.079	341.28726,194.27393,2371.1965	313.56204,183.22202,2318.7136	296.21274,251.32298,2206.5828	341.28726,194.27393,2371.1965	367.81174,204.84718,2423.6794	416.30692,236.551,2375.1792	320.129,241.82826,2409.1475	278.5103,281.328,2406.9688	288.99136,386.6264,2376.219	320.06223,294.27493,2487.228	297.20093,492.409,2325.0935	320.37906,395.0722,2485.6682	278.5103,281.328,2406.9688	323.66763,493.78403,2465.8757	469.45685,265.62048,2200.5522	363.3505,265.11768,2060.095	
361.4872,147.68076,2336.788	340.45944,194.68445,2363.4163	312.77008,183.14365,2311.031	295.66965,252.99013,2202.8135	340.45944,194.68445,2363.4163	366.94797,205.72475,2415.8015	416.4459,237.05544,2368.0813	318.33554,241.8754,2403.4067	275.86124,280.5866,2403.36	287.5504,385.80966,2374.6016	317.33084,294.23306,2483.4343	296.97272,491.5291,2323.8584	322.38794,395.3208,2477.244	275.86124,280.5866,2403.36	321.59735,493.15005,2470.5803	470.92065,264.74252,2197.8914	363.51367,267.0311,2058.93	
361.97885,148.34009,2331.1323	340.54675,195.06686,2359.3926	312.8841,183.32661,2306.9053	295.15903,253.81372,2202.9072	340.54675,195.06686,2359.3926	367.0054,206.29611,2411.88	416.27045,237.43112,2364.533	317.93237,242.03821,2401.1	275.04794,280.3319,2402.691	287.98535,385.22052,2378.4353	316.45248,294.2508,2482.9243	300.53598,490.67352,2323.4927	325.67468,395.18933,2474.98	275.04794,280.3319,2402.691	323.40527,492.91388,2471.1353	471.19632,265.5447,2196.7485	363.38458,267.96356,2063.0679	
361.7874,148.93236,2321.3062	339.95502,195.514,2353.7615	312.2491,183.62137,2301.3591	294.6305,255.01697,2201.957	339.95502,195.514,2353.7615	366.45413,206.88861,2406.1638	414.47675,238.8372,2362.76	316.85394,242.19623,2398.6182	273.5664,279.9874,2403.419	287.36862,384.65637,2380.7363	314.95718,294.11008,2483.5308	299.42645,490.08133,2325.89	325.8771,395.17828,2471.2983	273.5664,279.9874,2403.419	323.12073,492.8431,2470.0122	470.08423,268.6765,2199.4548	363.04068,268.48697,2064.136	
