258.38187,135.15775,2578.1277	258.0865,181.19739,2541.5579	224.57155,176.86734,2467.496	214.80533,239.56345,2421.0374	258.0865,181.19739,2541.5579	289.7035,185.28223,2615.6196	297.25946,244.19951,2604.2559	257.68954,228.89354,2506.4658	235.50882,277.01837,2424.1401	230.87476,375.96588,2462.791	278.23718,278.83533,2518.6074	226.7395,477.53516,2393.042	270.98914,376.64447,2515.3684	235.50882,277.01837,2424.1401	278.03503,472.1747,2497.4722	301.37784,303.97797,2499.4165	241.61467,255.40654,2193.694	
258.26932,135.1196,2581.5684	258.02267,181.18509,2542.683	224.50348,176.76797,2468.8782	214.23216,239.78178,2418.0042	258.02267,181.18509,2542.683	289.65088,185.35301,2616.488	297.16345,243.70303,2603.8914	257.5826,228.8133,2506.4338	235.3323,276.84668,2423.1167	230.11801,375.42764,2466.456	278.1118,278.79492,2517.2524	227.1486,476.6808,2399.587	271.27094,376.5416,2516.7576	235.3323,276.84668,2423.1167	277.9333,472.05057,2498.9167	301.69708,303.34586,2497.8103	241.82803,255.54327,2192.1907	
258.18933,134.84958,2574.311	258.07407,181.3174,2540.476	224.5835,177.37076,2465.6455	215.5469,238.58377,2425.9941	258.07407,181.3174,2540.476	289.64813,185.03822,2615.3066	297.18814,243.57701,2603.813	258.0039,229.15834,2508.595	236.24559,277.57996,2428.9849	231.85747,375.9723,2472.3298	278.7983,278.85724,2524.4429	228.07776,477.17752,2402.3337	272.0197,376.34283,2523.7847	236.24559,277.57996,2428.9849	278.77164,471.32092,2509.0674	301.7898,303.20322,2497.6013	241.25034,256.18198,2199.4	
257.96967,134.76668,2571.1833	257.92892,181.35352,2538.9585	224.42957,177.65903,2463.7402	215.71866,239.05396,2427.0032	257.92892,181.35352,2538.9585	289.50055,184.83539,2614.1768	297.125,243.68556,2602.0862	258.11786,229.28503,2508.6548	236.66171,277.91547,2430.381	231.61357,376.5589,2469.3088	279.13892,278.84396,2526.321	227.30441,477.8141,2400.9148	272.26093,376.88586,2512.4993	236.66171,277.91547,2430.381	278.2768,471.87607,2503.2617	301.33295,303.60333,2499.0251	240.4518,255.86842,2197.724	
257.7252,134.9303,2569.62	258.05307,181.62466,2538.168	224.56953,178.12817,2462.5598	213.61407,239.40605,2423.5095	258.05307,181.62466,2538.168	289.5995,184.91887,2613.7761	297.0927,243.51425,2602.9993	258.52917,229.58762,2508.2896	237.39728,278.3737,2430.192	232.16226,377.21234,2466.553	279.81107,279.0276,2526.6304	227.8764,478.60303,2398.2595	272.12045,377.18225,2509.3655	237.39728,278.3737,2430.192	278.83624,472.2666,2499.9382	301.13596,303.3377,2498.7197	239.68808,255.43872,2193.9412	
258.09488,134.27963,2577.32	258.5605,180.65387,2541.9182	225.35223,176.89731,2464.258	212.81772,238.52124,2430.2542	258.5605,180.65387,2541.9182	289.79974,184.18767,2619.5784	297.1219,243.41107,2602.9436	259.0477,228.47433,2510.4653	238.08276,277.05264,2429.478	231.84499,375.81,2466.5947	280.17084,277.946,2528.5469	227.68713,477.19373,2397.8035	272.039,376.10287,2508.9573	238.08276,277.05264,2429.478	277.93018,470.66364,2506.1375	301.11844,303.36734,2500.6238	236.90198,255.40488,2197.199	
258.49646,134.24173,2572.1882	258.72247,180.90622,2540.0361	225.44975,177.27704,2462.731	211.47952,237.01106,2431.1306	258.72247,180.90622,2540.0361	290.02975,184.32098,2617.3413	296.9715,242.84114,2604.4453	259.16693,228.83606,2510.3943	238.1484,277.53397,2431.453	230.54245,375.8924,2470.9924	280.2588,278.27393,2530.052	227.84343,476.2173,2415.633	271.53714,376.4477,2507.8455	238.1484,277.53397,2431.453	277.4934,471.04608,2505.157	302.08395,302.47693,2499.9648	234.17418,256.51025,2201.4478	
258.94864,135.1183,2579.101	259.1415,181.28986,2541.6494	225.9474,177.33463,2464.1062	210.25302,237.08025,2427.053	259.1415,181.28986,2541.6494	290.37015,185.01088,2619.1926	297.40753,242.35844,2605.8545	259.43375,229.07195,2508.8662	238.24849,277.5312,2426.6282	231.064,376.72418,2458.2878	280.37747,278.6844,2525.5378	227.01645,476.40854,2418.493	271.4821,377.1135,2501.4358	238.24849,277.5312,2426.6282	277.77457,471.6206,2502.2136	302.41144,302.0301,2502.3936	232.31984,256.88828,2197.568	
258.93744,134.39859,2574.0776	258.8943,180.9553,2539.6917	225.55316,176.99854,2463.337	209.3601,237.11224,2421.5344	258.8943,180.9553,2539.6917	290.28918,184.6811,2616.0464	297.65268,242.82614,2606.7417	258.8812,228.85007,2508.7698	237.30399,277.3254,2429.1511	229.57263,375.63544,2470.0188	279.60028,278.53128,2526.5447	226.1435,476.17145,2409.6907	270.2453,376.58466,2508.7644	237.30399,277.3254,2429.1511	276.9358,471.1672,2505.3113	303.77805,302.2348,2501.3828	231.14276,257.3472,2193.7344	
259.1894,134.08385,2579.0498	259.0398,180.45993,2541.9119	225.80069,176.1488,2465.1033	208.76527,236.6537,2420.7566	259.0398,180.45993,2541.9119	290.32907,184.51817,2618.7205	297.72385,242.2132,2610.1519	258.79858,228.21605,2508.644	237.00354,276.41663,2426.3894	230.05191,374.8922,2467.8352	279.2619,278.06244,2524.363	227.09015,476.2254,2396.3657	270.71576,376.1003,2510.207	237.00354,276.41663,2426.3894	277.2817,471.05103,2502.0173	304.41336,301.39676,2504.04	229.31976,257.06647,2190.1902	
