268.2727,138.71318,2664.8572	264.51617,193.17982,2635.4658	236.04794,194.04263,2629.326	217.54736,244.3049,2657.5518	264.51617,193.17982,2635.4658	292.85205,192.32101,2641.6057	314.8814,240.60208,2693.789	265.87906,239.64247,2612.7415	245.10542,287.76263,2585.3164	247.90799,377.1006,2551.5579	289.34604,286.08124,2594.7178	246.6948,455.5005,2630.8918	296.82678,376.8341,2577.4624	245.10542,287.76263,2585.3164	299.82883,455.51743,2677.2058	357.87613,228.48926,2550.0005	246.75305,251.10042,2395.6418	
267.04004,138.80634,2667.9692	264.13535,192.5003,2635.8494	235.89923,192.89403,2621.7634	216.90955,243.14171,2647.7888	264.13535,192.5003,2635.8494	292.0713,192.11078,2649.9353	316.5494,235.0881,2713.944	265.26596,238.787,2619.7256	246.21898,286.28668,2593.6328	247.71762,376.32962,2559.3848	286.4481,285.0122,2613.5708	246.64653,454.4052,2639.9175	296.5791,377.62732,2570.2703	246.21898,286.28668,2593.6328	300.01022,457.25674,2665.9526	358.6623,210.50389,2584.2852	243.39828,251.43626,2404.8657	
265.99652,138.87149,2671.6943	264.75485,190.99629,2631.9365	237.18912,191.1735,2608.006	217.0169,243.11276,2644.778	264.75485,190.99629,2631.9365	291.82382,190.82227,2655.867	320.60306,226.57805,2719.1426	266.3916,237.72139,2607.159	247.92911,286.1056,2565.1736	247.30539,377.8792,2559.9458	287.92386,284.59076,2599.589	246.33273,455.71313,2642.5896	296.45096,376.2989,2568.8916	247.92911,286.1056,2565.1736	299.84238,456.49774,2662.6016	355.24503,175.86356,2676.6	247.56726,247.70306,2381.001	
265.68628,138.95728,2674.0522	264.69574,191.3309,2632.731	236.78983,191.94904,2612.6145	216.81674,241.97902,2618.1147	264.69574,191.3309,2632.731	292.17847,190.72212,2652.8474	329.43936,220.35262,2709.4524	266.8546,237.86511,2601.1685	248.80089,286.51938,2555.3003	247.15666,379.26605,2552.1355	289.10773,284.57642,2583.9116	246.15387,457.12347,2635.586	296.5401,375.32812,2576.591	248.80089,286.51938,2555.3003	299.5241,455.13824,2665.4148	347.82834,166.43611,2704.6353	245.22429,247.86272,2395.6204	
265.68225,139.1365,2676.1082	264.5801,191.60548,2638.4475	236.69852,191.95642,2612.625	222.12042,244.1703,2589.331	264.5801,191.60548,2638.4475	291.92123,191.26135,2664.27	333.76138,213.49426,2716.1667	266.89127,237.8735,2602.6287	249.12105,286.35803,2548.5789	247.1838,379.9085,2556.0112	289.1287,284.52072,2585.0408	245.63281,458.23798,2642.3582	296.44366,375.69846,2575.0845	249.12105,286.35803,2548.5789	299.84552,456.0833,2660.756	341.65067,157.92639,2737.587	254.80304,247.0802,2360.0325	
265.97894,139.18533,2676.4167	265.57758,191.9403,2643.1343	237.04132,191.66211,2611.0647	221.56323,242.86438,2582.634	265.57758,191.9403,2643.1343	293.42963,192.21184,2675.2039	338.50565,207.08917,2724.275	267.4574,237.76398,2604.546	249.47388,285.57025,2544.1094	247.49562,379.336,2553.9248	288.9773,284.37173,2587.8057	245.8479,457.8509,2638.1926	296.44006,376.0445,2577.4683	249.47388,285.57025,2544.1094	300.0617,456.07605,2659.108	333.56354,152.34361,2762.2644	250.02176,247.23216,2368.2139	
266.6057,138.91632,2676.9482	266.09772,191.04352,2640.867	237.82266,190.75186,2610.1716	221.14331,241.65872,2579.5808	266.09772,191.04352,2640.867	293.723,191.32849,2671.5623	338.46967,204.23166,2724.5564	267.8285,237.02849,2603.499	249.92516,284.91443,2545.2625	247.31985,379.42035,2552.8025	288.97662,283.8001,2586.9998	246.07846,457.6739,2637.752	296.53174,376.33923,2578.363	249.92516,284.91443,2545.2625	300.79498,455.85742,2649.0642	327.6139,149.87695,2783.557	254.71689,242.01424,2362.5327	
266.9263,138.6904,2678.2788	267.33252,189.4391,2652.968	240.26611,189.25665,2631.4712	220.89644,241.10335,2572.1487	267.33252,189.4391,2652.968	293.9638,189.61862,2674.4648	339.00574,198.0396,2735.4236	268.5286,235.92453,2611.067	249.85379,284.36014,2553.8083	247.44565,378.83984,2556.009	289.43698,283.4975,2584.5232	246.19212,457.61447,2641.5913	296.7384,376.30023,2577.72	249.85379,284.36014,2553.8083	300.57788,455.64328,2649.2615	321.366,147.21786,2786.528	255.14148,245.37024,2355.802	
267.8617,138.1503,2684.4138	266.822,189.81378,2649.5981	239.30219,189.79721,2625.449	222.28821,240.95369,2569.0576	266.822,189.81378,2649.5981	293.8447,189.83005,2673.7473	340.5578,195.74677,2733.6716	268.51065,235.93541,2609.4985	250.48575,284.10434,2552.516	247.80557,378.8409,2555.5134	289.76022,282.89685,2586.2817	246.45825,457.95917,2641.405	296.86243,372.64203,2577.4583	250.48575,284.10434,2552.516	299.51498,452.89194,2641.143	318.1343,147.16394,2786.3271	252.05067,242.37468,2357.147	
267.7552,138.24747,2684.883	267.08102,189.98367,2647.1938	239.35104,190.29582,2624.734	222.94122,241.18393,2570.1692	267.08102,189.98367,2647.1938	294.34442,189.67679,2669.6538	340.86246,189.91333,2706.1833	269.06866,235.70836,2610.0256	251.55989,283.535,2557.4067	247.49916,379.5076,2551.6775	290.43405,281.9826,2588.308	246.28471,458.92444,2638.2795	296.93234,373.55127,2582.1604	251.55989,283.535,2557.4067	300.50146,453.0509,2643.9417	315.98242,145.808,2760.8535	250.54883,243.55154,2361.451	
267.92496,138.1507,2686.8145	267.74756,189.33968,2643.147	239.46962,189.87575,2624.1697	223.53394,241.00482,2570.4546	267.74756,189.33968,2643.147	295.62234,188.81125,2662.1243	343.0392,187.91792,2691.334	269.69742,235.37521,2609.1116	252.31384,283.45847,2562.3606	247.70947,377.912,2550.0757	290.89328,281.80505,2587.7917	246.35538,458.93243,2636.3071	297.58762,374.3601,2586.341	252.31384,283.45847,2562.3606	303.63513,461.69473,2663.7292	314.93524,144.37967,2729.0164	253.13469,242.18964,2352.7646	
269.6353,137.4505,2691.1387	269.52673,187.06891,2630.844	241.6507,186.99199,2608.4011	223.54353,241.59802,2575.7463	269.52673,187.06891,2630.844	296.9312,187.14453,2653.2869	343.49832,180.76167,2684.956	270.77615,234.26183,2602.1184	251.98349,283.04456,2557.5374	247.91595,377.16724,2547.77	291.87766,281.97864,2589.2483	246.54625,458.02878,2631.029	297.68558,375.26782,2591.755	251.98349,283.04456,2557.5374	304.36206,461.87494,2669.549	316.03384,140.48422,2728.4485	253.97134,242.29797,2359.9941	
270.83786,137.2782,2691.5776	269.2905,187.48517,2634.1594	240.77966,188.1026,2619.2085	223.81601,241.15512,2579.028	269.2905,187.48517,2634.1594	297.47952,186.87471,2649.1104	345.27747,181.14706,2680.0735	271.0146,234.52678,2605.9883	252.90611,283.4058,2567.5955	248.46677,375.9406,2551.6252	292.48962,281.7937,2588.0388	246.56383,457.78156,2630.2585	298.0293,375.17365,2592.9573	252.90611,283.4058,2567.5955	303.26096,458.5357,2663.9827	320.98865,137.00273,2713.4595	251.36569,243.13979,2358.497	
270.23926,137.71909,2687.7202	270.186,186.95827,2632.7603	240.60008,187.6135,2622.7075	223.4956,240.13399,2577.6836	270.186,186.95827,2632.7603	299.54684,186.30801,2642.813	349.82532,180.95647,2648.42	271.5249,234.46135,2607.62	253.5615,283.55783,2576.027	248.98694,375.47632,2557.892	292.12195,282.22412,2588.9329	252.27872,455.39197,2660.3809	298.2359,375.20648,2593.2642	253.5615,283.55783,2576.027	302.6195,455.97372,2650.4263	325.31427,130.65775,2705.441	252.62024,242.49716,2353.9727	
271.2373,137.63564,2686.77	270.6071,187.03006,2631.4841	240.31546,187.67514,2623.4917	224.36313,241.22856,2608.9277	270.6071,187.03006,2631.4841	300.71524,186.3889,2639.4766	352.2832,181.69186,2634.9407	271.7549,234.73453,2608.3074	253.673,283.89084,2580.134	250.31859,376.50494,2575.6294	292.09937,282.70023,2590.1272	250.96532,458.22052,2661.437	298.51154,375.0907,2594.7427	253.673,283.89084,2580.134	303.15317,454.24304,2646.3872	337.38455,127.08712,2649.5388	241.95921,247.55418,2378.6265	
272.878,137.91418,2677.7222	271.8019,186.97516,2626.3186	241.08224,187.54707,2622.2307	225.21576,241.11401,2622.9995	271.8019,186.97516,2626.3186	302.4261,186.40504,2630.4065	357.934,180.59012,2615.1238	272.5936,234.74808,2606.5754	254.22571,283.70084,2584.3176	249.55072,375.7364,2574.3606	292.5318,282.80045,2589.347	249.81714,456.94897,2655.2961	299.03366,375.4608,2595.8877	254.22571,283.70084,2584.3176	302.8462,455.2987,2647.764	349.75763,122.992035,2601.0332	244.12079,247.00404,2374.2258	
274.78537,137.68408,2659.2634	272.58264,186.61607,2620.5647	241.83011,187.18854,2618.209	230.04466,239.81613,2626.023	272.58264,186.61607,2620.5647	303.2799,186.04462,2622.9204	360.6634,181.33546,2599.2686	273.31943,234.48901,2604.1768	254.76447,283.38202,2586.3284	249.36221,375.59705,2574.205	293.34485,282.55502,2589.2493	250.09497,455.96555,2661.7202	299.4505,375.16254,2598.4148	254.76447,283.38202,2586.3284	303.4441,453.93384,2643.1438	364.30063,123.76726,2540.3188	246.9719,244.46991,2369.8862	
276.55142,136.21841,2635.5332	272.97882,186.50244,2615.5708	241.52353,187.17935,2618.076	229.72598,240.02965,2631.5618	272.97882,186.50244,2615.5708	304.49442,185.82425,2613.0657	361.39716,185.43936,2582.095	273.64825,234.4332,2602.4436	255.09909,283.2073,2590.8315	249.37848,375.6069,2576.0273	293.57242,282.49216,2587.8013	250.72726,455.3072,2643.8933	299.4648,374.99805,2596.5032	255.09909,283.2073,2590.8315	304.43875,452.2342,2638.137	383.5463,125.41489,2469.057	245.5474,246.35083,2372.909	
278.98013,134.35269,2617.2834	274.82202,187.36986,2602.441	242.23773,187.98553,2615.8157	230.89117,242.2119,2650.9834	274.82202,187.36986,2602.441	307.74295,186.74783,2589.0662	363.49878,191.0781,2549.1313	275.1701,234.76633,2598.3267	256.63263,282.38858,2601.9229	249.27321,375.92303,2577.786	294.51862,282.23718,2586.502	250.47253,455.1938,2654.9937	299.83353,374.3585,2595.879	256.63263,282.38858,2601.9229	302.0398,448.80154,2620.866	396.6153,131.30566,2403.3372	247.14668,250.70383,2376.9065	
