459.4382,101.996445,2141.4814	458.7948,157.71936,2110.2275	419.09732,153.04376,2076.9487	414.99002,224.00151,1906.8616	458.7948,157.71936,2110.2275	497.2597,162.24979,2143.5063	551.98926,207.4046,2038.7949	457.88245,215.36795,2080.4644	430.98035,272.8591,2029.4497	429.5846,391.7381,2064.8335	482.3742,276.4832,2071.9526	430.3603,511.57507,2025.3301	482.0047,393.556,2100.062	430.98035,272.8591,2029.4497	499.02655,510.08377,2064.959	616.136,244.13234,1815.3381	498.37988,251.55675,1761.6138	
459.31134,101.6725,2140.3345	458.46527,157.56223,2110.1213	418.6966,152.89046,2077.44	418.94598,225.42401,1895.9358	458.46527,157.56223,2110.1213	497.02087,162.09146,2142.8027	551.83057,207.10281,2039.8181	457.4339,215.23363,2080.8105	430.36957,272.70322,2030.629	429.4965,391.73657,2063.7021	481.85284,276.3655,2072.3704	428.33557,511.17224,2028.386	481.03345,393.28442,2102.0625	430.36957,272.70322,2030.629	498.45258,510.11212,2062.9207	616.5604,242.71092,1815.2026	504.6007,253.17397,1755.0957	
458.8863,102.316895,2139.7158	458.26056,158.46399,2109.2202	418.48218,154.00684,2076.2825	420.57635,225.2403,1891.4454	458.26056,158.46399,2109.2202	496.81567,162.78406,2142.158	551.789,206.93849,2041.6992	457.44006,216.22389,2080.6633	430.61096,273.89462,2031.0718	430.2915,393.05322,2062.3208	482.0553,277.2537,2073.141	429.4411,512.49646,2028.1958	481.61578,394.19385,2102.0015	430.61096,273.89462,2031.0718	499.48785,510.69376,2065.384	617.16907,241.0851,1815.422	508.3084,254.16788,1754.8882	
458.78302,102.46475,2139.4006	458.1234,158.76292,2108.7703	418.3274,154.42465,2075.8115	420.82266,225.01688,1891.1936	458.1234,158.76292,2108.7703	496.69464,162.96768,2141.7288	553.1772,206.18716,2040.281	457.42468,216.56207,2080.5227	430.71994,274.33536,2031.2274	430.06787,393.5598,2061.6692	482.16577,277.53644,2073.323	430.50476,513.32465,2025.3083	481.36804,394.74164,2099.186	430.71994,274.33536,2031.2274	499.31073,510.5913,2069.2334	618.1101,239.68234,1811.301	510.1302,254.40736,1753.0171	
458.40045,102.61189,2140.2693	457.87933,158.67184,2108.9612	418.07065,154.39682,2076.0737	416.80606,223.34961,1903.1232	457.87933,158.67184,2108.9612	496.4655,162.81558,2141.8484	553.5554,205.17688,2038.9323	457.26044,216.46863,2080.7097	430.6308,274.278,2031.4562	430.24963,393.40387,2062.787	482.0917,277.40308,2073.4604	428.8701,512.85425,2028.3076	481.6854,394.3485,2102.0273	430.6308,274.278,2031.4562	498.6178,510.81232,2066.5815	620.33105,236.76413,1809.8951	504.86847,251.02296,1752.9897	
458.4917,102.609314,2145.709	458.32736,158.2835,2111.3733	418.74942,153.89394,2076.912	413.25406,220.59393,1914.0637	458.32736,158.2835,2111.3733	496.6341,162.53207,2145.8345	554.557,204.09102,2038.0508	457.9579,215.92336,2081.3398	431.6999,273.65042,2029.298	431.56433,393.0065,2059.5933	482.90588,276.81766,2073.315	430.57635,512.398,2027.4695	482.44662,393.69025,2102.8828	431.6999,273.65042,2029.298	500.11325,510.17392,2066.0813	622.16895,233.16283,1805.7267	499.59497,248.77853,1757.8334	
458.06335,102.84964,2149.9297	458.54028,158.02173,2112.8835	419.1463,153.75693,2076.966	409.8837,217.94244,1925.0433	458.54028,158.02173,2112.8835	496.61737,162.14395,2148.801	555.68414,202.76515,2035.8137	458.75836,215.53496,2081.0215	433.19965,273.36728,2026.2212	431.9579,393.01086,2055.4417	484.1958,276.27365,2072.0977	430.26666,511.83942,2030.2183	483.1513,393.72644,2096.0605	433.19965,273.36728,2026.2212	499.9796,509.4089,2069.8413	625.69604,228.51518,1802.6589	493.84695,246.1753,1763.3906	
458.22867,102.38316,2151.0378	459.12378,157.60085,2114.2815	419.91068,153.54675,2076.9678	408.72656,216.60835,1929.021	459.12378,157.60085,2114.2815	496.9768,161.51431,2151.5952	556.41833,200.87862,2034.6821	459.80264,215.0869,2082.4934	434.85706,273.07474,2026.8757	432.02115,392.35046,2059.5073	485.55884,275.6061,2074.535	430.78918,511.3313,2030.9512	483.67694,392.68484,2101.3306	434.85706,273.07474,2026.8757	498.6926,508.60165,2072.4414	627.92096,224.84315,1801.8318	491.23358,244.35133,1762.017	
457.99335,102.72249,2145.575	458.87494,158.39313,2111.5981	419.46747,154.73553,2075.317	407.44513,215.52776,1933.4968	458.87494,158.39313,2111.5981	496.9511,161.92715,2147.8794	557.29083,199.70444,2033.3772	459.65454,216.09158,2082.1934	434.74136,274.39087,2029.6188	430.2346,393.40894,2062.7607	485.59756,276.47174,2075.9585	429.19324,512.6162,2030.6948	482.18414,393.9199,2097.1921	434.74136,274.39087,2029.6188	498.481,509.5335,2071.6511	629.7046,220.43085,1797.4425	487.95276,242.21126,1762.0557	
458.04388,102.66644,2148.374	458.90567,158.17902,2113.054	419.5048,154.43002,2076.9885	407.31732,215.71158,1934.2695	458.90567,158.17902,2113.054	496.98413,161.80215,2149.1194	558.61865,198.54198,2033.4006	459.73804,215.75851,2082.1445	434.8486,273.94904,2028.204	430.4009,393.21738,2059.7395	485.77063,276.1726,2074.266	429.21857,512.6708,2027.0502	481.98492,393.73468,2095.4253	434.8486,273.94904,2028.204	499.05054,509.8253,2066.0977	631.14307,217.90567,1795.3699	486.1521,240.7914,1760.0001	
