349.87457,151.91446,2299.6787	330.4161,199.82524,2344.8586	301.61526,189.94086,2293.3655	291.26712,261.0225,2218.0552	330.4161,199.82524,2344.8586	357.9792,209.28482,2396.3518	393.2289,253.07591,2355.3125	309.81595,246.90866,2401.8306	268.64664,286.1445,2419.4395	289.5731,389.20654,2390.3237	311.016,297.29727,2498.1655	300.6448,495.23566,2324.5193	321.4724,397.34204,2495.8774	268.64664,286.1445,2419.4395	332.16556,499.21228,2427.6038	429.5122,296.598,2168.394	355.1902,275.86633,2056.3354	
348.73587,150.30487,2305.6665	330.236,198.29156,2347.9067	301.70395,189.07848,2292.3625	289.65552,260.93066,2216.1448	330.236,198.29156,2347.9067	357.44925,207.07881,2403.451	393.65942,254.39723,2367.71	310.54187,246.01163,2400.6235	270.2596,286.62506,2410.8474	291.5684,389.99658,2382.054	312.39874,296.5646,2495.8333	303.26132,496.60748,2312.784	322.12653,396.92566,2491.1243	270.2596,286.62506,2410.8474	334.82538,498.65372,2424.2932	423.26575,285.91406,2145.242	353.3294,275.8038,2058.3242	
346.77225,148.18022,2301.5977	329.52277,196.70952,2346.4028	300.713,188.41212,2290.7312	289.09808,260.73053,2215.5945	329.52277,196.70952,2346.4028	356.9971,204.6223,2402.0745	393.02655,251.20262,2368.88	311.13513,244.80873,2401.955	272.05307,286.37335,2414.946	292.25488,389.2824,2396.3105	314.3717,294.94495,2500.0686	303.28522,495.64218,2321.6592	322.14337,395.32486,2494.7424	272.05307,286.37335,2414.946	336.22165,496.39868,2431.8862	413.60806,265.49756,2117.9333	350.45908,276.44562,2050.507	
344.616,148.04074,2299.0261	328.52393,196.71262,2345.9004	299.3573,189.11754,2291.7139	287.80392,260.6211,2216.7844	328.52393,196.71262,2345.9004	356.37357,203.96475,2400.087	388.61624,246.23373,2359.9236	311.32297,245.10739,2403.5234	273.23715,287.3556,2419.7268	291.82794,390.5359,2397.8606	315.89978,294.98804,2502.5662	302.09106,496.99985,2322.5286	320.9726,395.5011,2495.7893	273.23715,287.3556,2419.7268	336.4507,496.80014,2425.7412	405.22495,246.63222,2098.0005	347.5652,276.17642,2047.5684	
343.14346,147.0061,2297.7522	327.70386,196.17084,2345.697	298.32568,189.08366,2292.1934	286.68124,261.31555,2220.3923	327.70386,196.17084,2345.697	355.77176,202.94193,2399.2007	382.77863,244.24216,2344.4558	311.35922,244.80057,2404.463	274.00833,287.58694,2422.336	291.89798,391.10205,2393.6816	316.869,294.51788,2504.1216	302.0684,497.49063,2322.8599	319.18625,395.30164,2492.967	274.00833,287.58694,2422.336	337.0229,495.68622,2431.467	398.1535,230.70093,2092.529	345.57303,275.87457,2044.9998	
341.66458,147.15027,2297.1028	326.54837,196.06976,2345.7822	296.87036,189.01158,2295.0647	286.72675,261.69327,2219.182	326.54837,196.06976,2345.7822	354.9702,202.82922,2396.4998	378.10974,244.10968,2331.7104	310.58047,244.76602,2405.3862	273.425,287.52188,2426.2178	290.5129,391.23328,2392.4038	316.66452,294.58167,2503.7627	301.00208,497.51913,2323.5083	317.36667,395.7563,2486.3977	273.425,287.52188,2426.2178	335.96793,496.0451,2428.5803	391.54532,216.05988,2096.1794	344.90698,275.13446,2037.4874	
340.03915,145.61435,2297.8	325.75705,194.79218,2345.6096	296.01013,188.0205,2294.6606	286.89905,261.73553,2220.1018	325.75705,194.79218,2345.6096	354.23917,201.27592,2396.5586	375.1344,243.7921,2325.3584	310.33597,243.74709,2404.5693	273.65192,286.99527,2424.588	291.5898,390.70117,2389.08	316.96945,293.6175,2502.4702	301.75754,497.09555,2321.2234	318.64197,394.82773,2485.5276	273.65192,286.99527,2424.588	336.474,495.2992,2427.7417	385.908,203.02081,2107.3547	344.37408,273.99573,2033.3445	
338.47827,145.62965,2297.6216	324.36804,194.79196,2345.0952	294.31662,188.14197,2296.9446	285.76074,261.06848,2225.0325	324.36804,194.79196,2345.0952	353.21024,201.17435,2393.2458	373.97287,242.39989,2318.6575	309.44513,243.83134,2405.0723	273.0729,287.12573,2428.235	291.28885,390.5749,2393.9749	316.77124,293.7442,2501.8635	300.06604,496.78,2327.4446	319.05936,394.82,2487.883	273.0729,287.12573,2428.235	335.395,495.62637,2427.7383	380.6538,191.46332,2123.972	341.4753,274.26044,2034.8889	
337.28006,144.73984,2297.046	323.46442,194.00334,2344.5017	293.25092,187.45563,2297.6465	285.08484,260.59058,2229.014	323.46442,194.00334,2344.5017	352.49396,200.29446,2391.357	372.68625,241.5762,2313.317	308.8898,243.15553,2404.782	272.76572,286.58395,2429.2478	291.32507,390.0393,2391.9502	316.65265,293.12854,2500.8767	300.86874,496.40506,2323.1472	319.38113,394.20682,2487.4893	272.76572,286.58395,2429.2478	335.07535,495.07123,2428.2058	376.28174,182.56854,2147.2117	338.7659,274.4371,2034.7825	
336.05106,144.85226,2294.2537	322.49905,194.09982,2343.0364	292.04156,187.55779,2298.8445	284.5671,260.38715,2227.4988	322.49905,194.09982,2343.0364	351.8289,200.39966,2387.2283	371.86273,240.79028,2307.6458	308.1829,243.25542,2404.6128	272.1861,286.56073,2432.402	291.90167,389.7862,2391.2847	316.37183,293.2602,2499.9763	299.84695,495.8341,2329.1936	319.84302,394.23782,2488.6938	272.1861,286.56073,2432.402	333.9735,495.28897,2429.4028	371.66858,175.60329,2171.597	337.2236,273.83566,2035.655	
335.0888,146.03448,2295.3354	321.34406,193.0314,2339.209	290.5307,186.99417,2297.7622	283.5503,260.5386,2227.7114	321.34406,193.0314,2339.209	351.0845,198.85843,2380.6558	370.7675,239.27156,2301.7961	308.02155,242.34012,2403.6523	272.83743,285.9696,2436.4048	294.12622,388.76645,2392.6428	317.38016,292.09943,2499.7866	300.27576,494.88556,2330.2788	320.95685,393.16553,2486.955	272.83743,285.9696,2436.4048	336.42953,494.00122,2428.5615	367.79468,170.54868,2190.3203	335.71182,273.5206,2035.1943	
333.90378,145.86765,2295.9268	321.18976,191.73492,2336.194	290.14667,185.23352,2299.2163	281.97327,260.4306,2233.3794	321.18976,191.73492,2336.194	351.26547,198.03374,2373.1719	368.72638,238.25412,2298.4104	307.64178,241.01117,2401.6047	272.12186,284.09897,2438.7336	291.55725,387.20462,2392.8943	316.9883,291.16876,2495.297	300.10272,493.43103,2325.017	321.474,392.43237,2481.409	272.12186,284.09897,2438.7336	333.02866,493.8792,2424.1023	365.8076,167.84866,2200.8518	332.19308,274.52408,2032.4976	
332.9845,145.18314,2289.8037	322.70746,190.9524,2332.2612	291.60092,183.54526,2299.5728	281.12238,260.23645,2238.8423	322.70746,190.9524,2332.2612	352.9541,198.15479,2364.9497	367.16638,237.85477,2293.7522	308.0361,239.5909,2402.4683	271.55453,281.11026,2447.6736	291.2254,383.75446,2400.8945	316.38788,289.73727,2497.677	299.84497,489.46902,2334.0098	322.58322,390.45715,2489.7488	271.55453,281.11026,2447.6736	331.49228,491.92554,2430.554	363.84756,166.93317,2198.394	330.38156,274.9949,2032.8822	
332.42676,145.67027,2286.1611	323.71066,189.79422,2332.454	292.84055,181.46127,2299.317	279.5725,261.25116,2244.4602	323.71066,189.79422,2332.454	353.71594,197.8937,2365.5913	365.32767,238.0475,2292.3755	307.5634,237.9199,2403.379	269.86786,278.2744,2448.9797	291.13754,380.55786,2398.3772	314.3604,288.19724,2499.6277	297.82248,486.5221,2330.4182	322.10858,389.11877,2484.0994	269.86786,278.2744,2448.9797	329.135,490.00037,2437.504	362.77155,166.68982,2191.1016	328.7604,275.53885,2034.5459	
331.6184,147.97853,2278.8188	324.0092,188.34383,2338.3193	293.352,179.64076,2304.1177	278.6202,261.72504,2251.2117	324.0092,188.34383,2338.3193	353.78247,196.79597,2372.521	363.85672,239.90106,2294.2039	307.41153,236.69032,2403.7358	269.25385,277.20996,2443.0183	293.27026,378.91528,2397.6885	313.66278,287.62988,2495.2864	297.6977,485.41574,2322.7842	323.9064,388.54468,2478.714	269.25385,277.20996,2443.0183	330.04047,489.78482,2431.6484	361.19473,169.61809,2181.0632	326.32053,276.6918,2034.8894	
330.40262,148.57066,2267.0251	321.86618,188.34535,2335.7896	290.6938,180.66757,2306.7788	277.6518,261.44504,2255.4885	321.86618,188.34535,2335.7896	352.27374,195.83475,2364.8003	362.8825,241.34428,2294.4717	307.39542,237.28502,2402.5981	270.96762,278.90253,2447.2075	296.51605,379.62946,2414.3262	316.0425,288.16745,2491.606	297.85382,485.68604,2336.0352	328.30164,388.9674,2476.031	270.96762,278.90253,2447.2075	332.27252,489.85944,2436.2336	360.1389,172.04373,2176.0618	324.3539,277.86444,2036.0796	
329.2982,148.73404,2261.2542	320.95343,188.45824,2334.1812	289.70065,180.61853,2306.738	277.30746,262.44012,2258.2502	320.95343,188.45824,2334.1812	351.47986,196.11575,2361.6243	361.16617,242.05327,2293.2334	306.39587,237.33551,2402.1504	269.9104,278.6959,2449.155	294.06503,379.74237,2415.5425	314.98602,288.26868,2491.0842	295.60867,486.105,2331.2922	324.53152,389.2651,2477.5032	269.9104,278.6959,2449.155	328.94324,490.06528,2438.2996	358.00403,172.22084,2179.4448	322.4267,279.07986,2034.7546	
328.2207,149.08415,2260.71	318.77155,192.86339,2326.0142	286.99802,186.16188,2305.4807	277.85376,264.0705,2254.8845	318.77155,192.86339,2326.0142	349.98898,199.44762,2346.5476	359.89795,242.52881,2290.0415	306.49518,241.4162,2404.0098	272.24844,282.74826,2466.3867	296.0342,383.1672,2423.7795	317.44794,291.0346,2497.624	300.1459,488.78192,2346.2654	328.3607,391.47943,2487.2847	272.24844,282.74826,2466.3867	332.28204,492.34314,2443.0674	354.97137,172.83928,2182.7478	321.3801,280.1228,2031.2169	
328.19232,149.5766,2259.0952	317.3021,194.72287,2321.8333	285.35342,188.15411,2303.76	278.19968,264.84982,2251.932	317.3021,194.72287,2321.8333	348.75723,201.19016,2339.9065	358.2622,243.3942,2286.8337	305.4935,242.80965,2406.102	271.72928,283.506,2476.6099	293.15134,384.66687,2412.8264	316.9888,291.73276,2504.1318	297.84497,490.6266,2338.5017	325.1555,392.59772,2485.2832	271.72928,283.506,2476.6099	329.1721,493.35913,2443.7097	350.8446,173.4249,2191.4797	320.3066,280.8531,2031.3291	
326.71893,150.69147,2252.2954	316.4774,194.9877,2322.2083	284.39954,188.95941,2304.8125	278.7813,266.40045,2259.4614	316.4774,194.9877,2322.2083	348.07825,200.92633,2339.604	356.42252,243.68616,2284.647	305.5572,243.1202,2408.2236	272.54147,284.15747,2480.967	293.74982,385.3808,2416.6536	317.99692,291.66843,2507.511	299.6437,491.81403,2329.803	327.58575,392.66528,2480.9346	272.54147,284.15747,2480.967	330.2503,493.73145,2438.3577	347.17584,173.45482,2199.0789	316.69092,282.41608,2032.5701	
325.69086,151.08228,2247.3835	316.3597,194.5637,2323.5173	284.22122,188.90714,2306.2974	279.53253,267.371,2267.7424	316.3597,194.5637,2323.5173	348.02536,200.13705,2340.7373	355.56085,243.6181,2279.698	306.02094,242.95258,2408.49	273.46,284.52243,2480.3125	293.4193,386.30786,2405.4087	319.0731,291.5275,2506.6128	300.38574,492.79346,2326.1138	328.18457,392.8363,2475.631	273.46,284.52243,2480.3125	330.14883,494.07483,2433.9597	343.07242,173.28708,2207.4905	314.5686,283.23508,2034.7476	
325.1443,150.43088,2245.4001	313.4307,199.55026,2320.8389	281.1937,194.01094,2308.751	280.33167,268.15732,2271.837	313.4307,199.55026,2320.8389	345.33362,205.03217,2332.9268	355.33377,243.59302,2276.3792	304.02292,246.69843,2416.4155	272.5125,286.68454,2502.7441	290.6179,387.98965,2423.975	317.98224,293.80682,2521.2402	298.66113,493.20752,2351.016	325.91122,394.32788,2496.9482	272.5125,286.68454,2502.7441	327.9235,495.44907,2445.523	339.50543,173.6221,2211.46	313.57404,283.44235,2034.9326	
323.70856,150.44177,2244.4482	313.00574,200.05208,2322.9033	280.75827,194.66977,2310.042	279.5943,268.30313,2269.4255	313.00574,200.05208,2322.9033	344.8981,205.37512,2335.7646	359.12213,260.8161,2294.8838	303.71185,247.40894,2416.8486	272.27832,287.78067,2500.964	290.8034,389.25427,2406.083	317.77048,294.63635,2520.6238	300.827,495.82947,2320.96	326.85153,395.83124,2478.1423	272.27832,287.78067,2500.964	329.00684,497.10632,2435.0168	341.8965,192.30865,2229.2139	313.02515,283.4253,2034.6472	
